Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;170488;;"Tafel 1, Fig. 4";;Fossil;;"Fund 1804";;2001-08-08;"Humboldt-Uni Berlin Museum für
Naturkunde, Geologisch-
Paläontolog. Inst. u. Museum
10117 Berlin
(030) 20932770
Frau Ebber, Petra (Sekretärin)
030 20 93 88 62
petra.ebber@museum.hu-berlin.de";https://www.lostart.de/de/Verlust/170488;
Suchmeldung;Einzelobjekt;179694;"Unbekannt (Italienisch) [Künstler:in]";Schüssel;;Gefäß;136;"Italienische Majolika";"Verlust am Auslagerungsort Börnecke, 1945
Auslagerung (Börnecke)";2001-08-08;"Herzog Anton Ulrich-Museum
Kunstmuseum
des Landes Niedersachsen
38100 Braunschweig
(0531) 12250
(0531) 12252408
info.haum@3landesmuseen.de
https://www.3landesmuseen.de/Herzog-Anton-Ulrich-Museum.304.0.html
Dr. Silke Gatenbröcker (Leitung Gemäldegalerie)
0531-12252405
Dr. Thomas Richter (Leitender Museumsdirektor)
Sekretariat
0531 – 1225-2401";https://www.lostart.de/de/Verlust/179694;
Suchmeldung;Einzelobjekt;283507;"Kassatkin, Nikolaj Alexejewitsch [Künstler:in]";"Bettler in der Straße";"1906 [Datierung]";Malerei;Y-1476;"Gemälde; rechts unten eine russische Signatur: N. Kassatkin 1906";;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)
01004 Kiew
+38 (044) 287-12-44
museumru@ukr.net
http://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.html
Yuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))
+38 (044) 287-12-44
museumru@ukr.net";https://www.lostart.de/de/Verlust/283507;
Fundmeldung;Einzelobjekt;584112;"Voß, Julius [Autor:in]
Amelang [Verlag]";"Jni : Ein Roman aus dem ein und zwanzigsten Jahrhundert";"1810 [Erscheinungsdatum]";Buch;"Yw 6737<a>";"Frontisp. und Titelbl. ausgeschnitten und auf separate Blätter geklebtWeitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Vorbesitz: C. G. Schnuerersche Leihbibliothek in Goldberg | Bibliotheksexemplar | Stempel | Erläuterung: Stempel auf dem Titelblatt: C. G. Schnuerersche Leihbibliothek in GoldbergVorbesitz: David, Reinhard | Stempel | Erläuterung: Stempel auf dem Titelblatt: Reinhard David GoldbergVorbesitz: NN | Nummer Nr. 997 | Erläuterung: Handschriftlicher Eintrag auf dem Titelblatt: Nr. 997Vorbesitz: NN | Bibliotheksexemplar | Signatur No 1959 | Erläuterung: Handschriftlicher Eintrag auf dem Titelblatt: No 1959.Vorbesitz: NN | Bibliotheksexemplar | Etikett  | Signatur 1959 | Tilgung | Erläuterung: Etikett auf dem Buchrücken wurde überklebt und versucht zu entfernen.Vorbesitz: NN | Stempel | Erläuterung: Stempel auf dem Titelblatt: Polizei .... zu Goldberg [schlecht lesbar]Vorbesitz: Wallich, PaulVorbesitz: NN | Etikett | Erläuterung: Etikett auf dem vorderen Spiegel: Geschenk von Dr. Paul Wallich. Vermutlich von der Preußischen Staatsbibliothek eingeklebt | ProvenienzmerkmalZugang: Preußische Staatsbibliothek | Zugangsnummer D 1934.2524 | NS-Raubgut | Datum 1935-01-04 | Erläuterung: Verdacht auf NS-Raubgut. Herkunft laut Akzessionsjournal: Dr. Paul Wallich Berlin";2019-09-26;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/584112;
Suchmeldung;Einzelobjekt;475488;"Busch, Wilhelm [Künstler:in]";"Am Schanktisch";;Malerei;;"auch als ""Zechende Männer"" bezeichnet";"Sammlung Felix und Hedwig (geb. Bonnem) Henschel, Berlin; angeboten bei Gerhard Harms, Versteigerungshaus Berlin am 21. Mai 1941 unter unbekanntem Lot, vermutlich nicht verkauft; Beschlagnahme des Umzugsgutes in Berlin/Hamburg";2013-07-23;"von Trott zu Solz Lammek (Rechtsanwälte • Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/475488;
Suchmeldung;Einzelobjekt;85917;"Lenz, G. F. [Autor:in]";"Führer durch Berlin mit Geschichte, neuesten Plan der Stadt ... und karte der Umgebung";"1867 [Erscheinungsdatum]";Buch;10903;;;2001-08-08;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/85917;
Suchmeldung;Einzelobjekt;293076;"Wassilkowski, S.I. [Künstler:in]";Himmelstudie;;Malerei;"1347 kleines russisches sh, kleines russisches r,";Gemälde;;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)
61002 Kharkiv Oblast
+38 (256) 706-33-95 
artmuseum_kharkiv@i.ua
http://artmuseum.kh.ua/
Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))
+38 (057) 706 33 95
artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/293076;
Suchmeldung;Einzelobjekt;309991;"Unbekannt (Deutsch) [Künstler:in]";"Kleine Kupferemaildose";"1780 (um) [Datierung]";"Kunsthandwerk / -gewerbe";"Auktionskatalog Graupe Teil 2/162";"Kleine Kupferemaildose, mit Flachrelief und figürlichen Darstellungen. Im Deckel Damenporträt in Halbfigur mit Fächer. Deutschland. Kleine Beschädigung.";"Am 26. und 27. April 1935 (Teil 2) bei Paul Graupe, Berlin, versteigert.";2005-08-16;"Pierre-Yves Samson (Nachtragsliquidator)
liquidator@oppenheimer.legal";https://www.lostart.de/de/Verlust/309991;
Fundmeldung;Einzelobjekt;479245;"Trockij, Lev Davidovič [Autor:in]
Cootypographie] [Verlag]";"Cours nouveau";"1924 [Erscheinungsdatum]";Buch;"Ue 6831/526";"Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Vorbesitz: Goethe-Universität Frankfurt am Main, Institut für Sozialforschung, BüchereiZugang: Preußische Staatsbibliothek | Zugangsnummer Ifs 433 | NS-Raubgut | Erläuterung: Verdacht auf NS-Raubgut";2014-02-18;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/479245;
Fundmeldung;Einzelobjekt;395594;"Croisset, Francis ¬de [Herausgeber]
Ferenczi [Verlag]";"Nous avons fait un beau voyage";"1932 [Erscheinungsdatum]";Buch;S22/2005;"Kein Exlibris. Bibliothekseinband. Richter-Indizien: Inventarnummer; einziges Ex. der USB, Reparaturspuren die andereren Richter-Bücher gleichen.";"1941 verkauften die Wiener Romanistin, Prof. Dr. Elise Richter und ihre Schwester Dr. h. c. Helene Richter den größten Teil ihrer Bibliothek an die Universitäts- und Stadtbibliothek Köln. Es handelte sich im Wesentlichen um Bücher aus den Bereichen Romanistik, Sprach- und Literaturwissenschaft sowie Anglistik. Von 2235 Titeln konnten 535 im Bestand der USB Köln ermittelt werden. In einigen Büchern ist das Exlibris der Richter-Schwestern erhalten geblieben. Bei neu gebunden Büchern halfen Widmungen und Inventarnummernvergleich als Nachweis für den Richter-Besitz. Siehe auch: Externer Link
Status
restituiert";2007-10-19;"Universitätsstr. 33
50931 Köln
0221 470 3306
0221 470 5166
http://www.ub.uni-koeln.de
Christiane Hoffrath
hoffrath@ub.uni-koeln.de";https://www.lostart.de/de/Fund/395594;
