Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;310104;"Unbekannt (Spanisch) [Künstler:in]";"Ein Paar spanische Barocksessel";"1601/1700 [Datierung]";Möbel;"Auktionskatalog Graupe Teil 2/419";"Mit gepunzter Cordoba-Lederbespannung. Dunkel gebeiztes Gestell mit gedrechselten Beinen, frontal durch geschnitztes Brett verbunden. Das Leder mit Messingnägelbeschlag und reichstem geschnittenem Ornament. Spanien.";"Am 26. und 27. April 1935 (Teil 2) bei Paul Graupe, Berlin, versteigert.";2005-08-17;"Pierre-Yves Samson (Nachtragsliquidator)
liquidator@oppenheimer.legal";https://www.lostart.de/de/Verlust/310104;
Suchmeldung;Einzelobjekt;396319;"Bloemaert, Abraham (1566) [Künstler:in]";"Jesus in Gethsemane";"1640 [Datierung]";Zeichnung;;"datiert links unten, mit Rahmen";"Verlust: Flakturm Zoo, Berlin, 1945. Raum 21 (evtl. zusammen mit Teilen des Kupferstichkabinetts).";2007-11-01;"BKM | Referat K47 - Kulturgutverluste, Provenienzforschung
+49 (0) 30 18 681 44312
K47@bkm.bund.de";https://www.lostart.de/de/Verlust/396319;
Fundmeldung;Einzelobjekt;518316;"Pagel, J. [Autor:in]";"Baden und Bäder im Altertum. Von Prof. Dr. J. Pagel. Sonderabdruck aus der Balneologischen Central-Zeitung, Nr. 4/5 (28. Januar/ 4. Februar 1901), Berlin 1901.";"1901 [Erscheinungsdatum]";Buch;Depot-Nr.;"Reihe: Balneologischen Central-Zeitung, Band: 4/5";"Jüdische Gemeinde Berlin (Jüdische Gemeinde Berlin) Zum Exemplar in der ZLB-Datenbank
Status
restituiert";2014-04-24;"Stiftung Neue Synagoge Berlin - Centrum Judaicum
Oranienburger Straße 28-30
10117 Berlin
030-88028-300
030-88028-483
office@centrumjudaicum.de
http://www.centrumjudaicum.de";https://www.lostart.de/de/Fund/518316;
Suchmeldung;Einzelobjekt;228017;"Ert, Karl [Autor:in]
Marhold [Verlag]";"Die Anmassungen der Frauenbewegung. Studie";"1911 [Erscheinungsdatum]";Buch;"Fr.Fr. 262";"110 S.";"In das Schloss Kynau (die Angaben über diesen Ort sind widersprüchlich, zunächst heißt es Künau bei Grünberg, dann Schloss Kuhnau, gemeint ist aber wohl doch Kynau im Kreis Waldenburg, heute Zagorze Slaskie) wurden im Juni 1943 60 Kisten mit ca. 7.500 Bänden verlagert, die den wertvollsten Teil der Göritz-Lübeck-Stiftung, die Sammlung Friedlaender (12 Kisten), die Sammlung Jacobsen, die Werther-Sammlung (1 Kiste) enthielten. Nach einem Bericht vom 2.5.1945 soll das Bergungsgut abtransportiert worden sein.
Auslagerung (Kynau (Waldenburg), Schloss Kynau)";2001-08-08;"Zentral- und Landesbibliothek Berlin 
Abteilung 4 | Landesbibliothek
Breite Straße 30-36
10178 Berlin
http://www.zlb.de 
Zentral- und Landesbibliothek Berlin (Abteilung 4 | Landesbibliothek)
+49 30 90226-466
landesbibliothek@zlb.de";https://www.lostart.de/de/Verlust/228017;
Suchmeldung;Einzelobjekt;85156;"Hoefer, Martin [Autor:in]";"Special-Katalog der Collectiv-Ausstellung der Litteratur über Krankenpflege";"1899 [Erscheinungsdatum]";Buch;6573;;;2001-08-08;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/85156;
Suchmeldung;Einzelobjekt;534354;"Unbekannt (Deutsch (Meissen)) [Künstler:in]";Soldat;;"Kunsthandwerk / -gewerbe";"114e  (Liste Hausfelder)
197e (Liste Smendek)";"Porzellanfiguren.Quelle: PL - AP Wrocław, RW, I/16886.";"Sammlung David Friedmann, Breslau - 24.01.1940 -";2016-10-26;"Mondex Corporation
info@mondexcorp.com";https://www.lostart.de/de/Verlust/534354;
Suchmeldung;Einzelobjekt;5000006262;"Chodounsky, Franz [Autor:in]
Jänecke [Verlag]";"Die Bierbrauerei (Bibliothek d. gesamten Techni. Bd. 128)";"1910 [Erscheinungsdatum]";Buch;"Ob 74";;"Verlustgeschichte: Ausgelagert nach Michaelstein, Harz). Durch Bombardierung oder Kriegseinwirkung zerstört beziehungsweise nach 1945 nicht mehr auffindbar. Rückführung im Juni/Juli 1945 nur teilweise erfolgreich. Die angeführten Bände fehlen bis heute. 1948 Verlust durch die Sowjetische Militäradministration Sachsen-Anhalt. Vermutlich (!) heute in der Russischen Nationalbibliothek, St. Petersburg.
Auslagerung (Bad Wildungen, Kurverwaltung (Luftschutzkeller))
Auf Anordnung Görings errichtet.";2008-05-27;"Gottfried Wilhelm Leibniz 
Bibliothek - Niedersächsische
Landesbibliothek
Waterloostraße 8
30169 Hannover
+49 511 1267-0
+49 511 1267-202
information@gwlb.de 
http://www.gwlb.de
Anne May (Bibliotheksdirektorin)
+49 (0) 511 1267-303/304
direktion@gwlb.de";https://www.lostart.de/de/Verlust/5000006262;
Fundmeldung;Einzelobjekt;581395;"Martin, Rudolf [Autor:in]
Fischer [Verlag]";"Lehrbuch der Anthropologie in systematischer Darstellung ; 1. Somatologie";"1928 [Erscheinungsdatum]";Buch;"AMA 6-1,2.Aufl.";"Weitere Informationen im Katalog der Württembergischen Landesbibliothek Stuttgart: Externer Link";"Institut für Biologie und Rassenlehre. Bücherei. NS-Raubgut-Verdacht";2019-01-29;"Württembergische Landesbibliothek Stuttgart
Konrad-Adenauer-Str. 8  
70173 Stuttgart
+49 (0) 711 212 - 4454
+49 (0) 711 212 - 4422
http://www.wlb-stuttgart.de
Dr. Hans-Christian Pust (Leiter NS-Raubgutforschung)
+49 (0) 711/13798-560
pust@wlb-stuttgart.de";https://www.lostart.de/de/Fund/581395;
Suchmeldung;Einzelobjekt;415923;"Unbekannt [Künstler:in]";"Landschaft im Stil des Mi Fei";;Gemälde;;"Rollbild. Bezeichnet: Hsiao-ch`üan Li Jê-ch`ang mit zyklischem Datum. Otto Kümmel, Altchinesische Malerei, Ausstellung 1928, Nr. 44";"Zwangsversteigerung: Die Bestände der Firma Dr. Otto Burchard & Co., Berlin, in Liquidation, Auktionskatalog Paul Graupe, Berlin, Versteigerung 140, 22. und 23. März 1935, Losnummer 493.";2010-08-26;"Pierre-Yves Samson (Nachtragsliquidator)
liquidator@oppenheimer.legal";https://www.lostart.de/de/Verlust/415923;
Suchmeldung;Einzelobjekt;471776;"Unbekannt (Chinesisch) [Künstler:in]";"Zwei Räuchergefäße";;Gefäß;;"a) Löwenmaskenhenkel. Drachenrelief. Grünlicher, hellbraun geäderter Speckstein. b) Vier Maskenhenkel, die Wandung mit Pflanzenreliefs. Grün gebeizter Speckstein.";"24. Mai 1935 Auktion Ottmar Strauss bei Helbing Frankfurt (Main), Nr. 45, Lot 1788-1789";2013-03-07;"von Trott zu Solz Lammek (Rechtsanwälte • Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/471776;
