Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;188197;;"Gottfried Semper, Baumeister aus Dresden";;Archivgut;"Nr. 459 S 342";;;2001-08-08;"Sächsisches Staatsarchiv - 
Hauptstaatsarchiv Dresden
Archivstraße 14
01097 Dresden
01074 Dresden
Dr. Ute Essegern (Stellvertretende Abteilungsleiterin)
+49(0)351 89219-710
ute.essegern@sta.smi.sachsen.de
Prof. Dr. Peter Wiegand (Abteilungsleiter)
+49(0)351 89219-710
peter.wiegand@sta.smi.sachsen.de";https://www.lostart.de/de/Verlust/188197;
Suchmeldung;Einzelobjekt;443045;;"Testament Ihrer Hoheit der regierenden Frau Herzogin Antoinette von Anhalt, Prinzessin von Sachsen-Altenburg mit Höchsteigenhändiger Aufschrift und Höchsteignem umschriftlosen Alliancewappensiegel auf dem Papierumschlage, eingegangen von Seiner Excellenz dem Wirklichen Geheimen Rat und Haus- und Staatsminister Herrn Dr. von Koseritz am 19.Januar 1893";"1893 [Dokumentdatum]";Archivgut;"Z 44, A 7a Nr. 77";;"ehemaliges Staatsarchiv Zerbst";2011-09-13;"Landeshauptarchiv
Sachsen-Anhalt
Brückstraße 2
39114 Magdeburg
+49 (0) 391 59806-0
+49 (0) 391 59806-600
poststelle@lha.mi.sachsen-anhalt.de
http://www.lha.sachsen-anhalt.de
Volkmar, Dr. Christoph (Koordinator Lost Art)
+49 (0) 391 59806 230
volkmar@lha.mi.sachsen-anhalt.de";https://www.lostart.de/de/Verlust/443045;
Suchmeldung;Einzelobjekt;295063;;Sündenfall;;Malerei;"585-kleines russisches sh, kleines russisches s";Gemälde;;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)
61002 Kharkiv Oblast
+38 (256) 706-33-95 
artmuseum_kharkiv@i.ua
http://artmuseum.kh.ua/
Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))
+38 (057) 706 33 95
artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/295063;
Fundmeldung;Einzelobjekt;583456;"""Je sers"" [Verlag]";"Initiation syndicaliste. Le Syndicat et le syndicalisme";"1932 [Erscheinungsdatum]";Buch;3C/420;"Weitere Informationen im Katalog der Württembergischen Landesbibliothek Stuttgart: Externer Link";"Parti Socialiste SFIO. Schiltigheim. NS-Raubgut-VerdachtInstitut für Biologie und Rassenlehre. Bücherei. NS-Raubgut-Verdacht";2019-07-24;"Württembergische Landesbibliothek Stuttgart
Konrad-Adenauer-Str. 8  
70173 Stuttgart
+49 (0) 711 212 - 4454
+49 (0) 711 212 - 4422
http://www.wlb-stuttgart.de
Dr. Hans-Christian Pust (Leiter NS-Raubgutforschung)
+49 (0) 711/13798-560
pust@wlb-stuttgart.de";https://www.lostart.de/de/Fund/583456;
Suchmeldung;Einzelobjekt;205674;;"A. Neandri sacrae cantiones motectae appellatae quae 4 et 5 vocibus tantum concinnuntur,";"1610 [Erscheinungsdatum]";Buch;"B 305";;;2001-08-08;"Gleimhaus
Literaturmuseum
Domplatz 31
38820 Halberstadt
(03941) 68710
(03941) 687140
gleimhaus@halberstadt.de
http://www.gleimhaus.de
Lacher, Dr. Reimar (Kunstsammlung)
+49 (0)39 41.68 710
gleimhaus@halberstadt.de
Loose, Annegret (Bibliothekarin)
+49 (0)3941.68710
gleimhaus@halberstadt.de
Pott, Dr. Ute (Direktorin)
+49 (0)3941.68710
gleimhaus@halberstadt.de";https://www.lostart.de/de/Verlust/205674;
Suchmeldung;Einzelobjekt;262814;"Friedländer, Max J. [Autor:in]";"Max Liebermanns graphische Kunst.";"1920 [Erscheinungsdatum]";Buch;"D 105s,1";;;2002-06-26;"Staatliche Kunstsammlungen Dresden
Kupferstich-Kabinett 
Taschenberg 2
01067 Dresden
(0351) 4914 3210
kk@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 3210
kk@skd.museum";https://www.lostart.de/de/Verlust/262814;
Fundmeldung;Einzelobjekt;570308;"Fischer, Karl [Herausgeber]
Kohlhammer [Verlag]";"Handkommentar zu dem Gesetz über Arbeitsvermittlung und Arbeitslosenversicherung in neuester Fassung : Nachträge";"1931 [Erscheinungsdatum]";Buch;35.c.2114-2;"Weitere Informationen im Online-Katalog der Staats- und Universitätsbibliothek Bremen";"restituiert / Als Dauerleihgabe von den Erben erhaltenRückgabe erfolgtProvenienz: Arbeiterkammer BremenZugang: 1936.12.04
Status
restituiert";2017-10-11;"Staats- und Universitätsbibliothek Bremen
Bibliothekstraße
28359 Bremen
+49 (0)421 218 59610
suub@suub.uni-bremen.de
http://www.suub.uni-bremen.de
Müller, Maria-Elisabeth (Direktorin)
+49 (0)421 218 59400";https://www.lostart.de/de/Fund/570308;
Fundmeldung;Einzelobjekt;524555;"Stein, Leopold [Autor:in]
Auffarth [Verlag]";"Morgenländische Bilder in Abendländischem Rahmen : Talmudische Parabeln, Gleichnisse und Erzählung ausgewählte und metrisch wiedergegeben";"1885 [Erscheinungsdatum]";Buch;"F1 255";;"#1 - (Stein, Siegfried), Veränderung: [Tektur] Durchgestrichen: Autogramm; 'No. 21 Siegfried Stein'. Stein, Siegfried (Stein, Siegfried) Zum Exemplar in der ZLB-Datenbank";2015-03-13;"Stiftung Neue Synagoge Berlin - Centrum Judaicum
Oranienburger Straße 28-30
10117 Berlin
030-88028-300
030-88028-483
office@centrumjudaicum.de
http://www.centrumjudaicum.de";https://www.lostart.de/de/Fund/524555;
Suchmeldung;Einzelobjekt;83048;;"Spaziergang durch Alt-Berlin";"1929 [Erscheinungsdatum]";Buch;12544;;;2001-08-08;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/83048;
Suchmeldung;Einzelobjekt;263079;;"Ein neues Lied v. e. bösen Weib.";"1913 [Erscheinungsdatum]";Buch;"D 139bd,1";;;2002-06-26;"Staatliche Kunstsammlungen Dresden
Kupferstich-Kabinett 
Taschenberg 2
01067 Dresden
(0351) 4914 3210
kk@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 3210
kk@skd.museum";https://www.lostart.de/de/Verlust/263079;
