Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;315374;"Król, II.) August (Polska [Verfasser:in]";"Deutscher Brief mit Kriegsgeschehen an Kaiser, I.) Joseph (Römisch-Deutsches Reich";"1704-03-08 [Dokumentdatum]";Archivgut;42/86;"Kriegsgeschehen. Stellung der Truppen. Antwort auf Befehl von Joseph; (Römisch-Deutsches Reich, Kaiser, I.); Siegel; Beilage: Druck: Kanzelabkündigung betreffend die Einführung des Gregorianischen; Kalenders (1699);  Druck ""Die Diamanten Himmels Crone...""";;2006-06-23;"Stiftung Luthergedenkstätten
in Sachsen-Anhalt
Lutherhaus
Collegienstraße 54
06886 Lutherstadt Wittenberg
+49 (0) 3491 420 30
+49 (0) 3491 420 32 70
info@martinluther.de
http://www.martinluther.de
Anne-Katrin Ziesak (Stiftung Luthergedenkstätten in Sachsen-Anhalt)
+49(0)3491 4203 117
Anne-Katrin.Ziesak@martinluther.de
Petra Gröschl (Reformationsgeschichtliche Forschungsbibliothek)
+49 (0) 3491 5069 240
groeschl@rfb-wittenberg.de";https://www.lostart.de/de/Verlust/315374;
Suchmeldung;Einzelobjekt;520675;"Unbekannt [Künstler:in]";"George Wiegand (Verleger in Leipzig)";"1849 [Datierung]";Zeichnung;;"bez.: G. Kuhn. 49";"Sammlung Boguslav Jolles, Dresden; 1895 Auktion Hugo Helbing, München; Sammlung Dr. Michael Berolzheimer; Garmisch-Partenkirchen; 1939 Auktion Adolf Weinmüller, München";2014-07-14;"HCPO (Holocaust Claims Processing Office)
claimsques@dfs.ny.gov";https://www.lostart.de/de/Verlust/520675;
Suchmeldung;Einzelobjekt;206424;"(de la Harpe) [Autor:in]";Oeuvres.;"1777 [Erscheinungsdatum]";Buch;"C 4867-4869";;;2001-08-08;"Gleimhaus
Literaturmuseum
Domplatz 31
38820 Halberstadt
(03941) 68710
(03941) 687140
gleimhaus@halberstadt.de
http://www.gleimhaus.de
Lacher, Dr. Reimar (Kunstsammlung)
+49 (0)39 41.68 710
gleimhaus@halberstadt.de
Loose, Annegret (Bibliothekarin)
+49 (0)3941.68710
gleimhaus@halberstadt.de
Pott, Dr. Ute (Direktorin)
+49 (0)3941.68710
gleimhaus@halberstadt.de";https://www.lostart.de/de/Verlust/206424;
Fundmeldung;Einzelobjekt;526089;"Kauffmann [Verlag]";"Der Pentateuch ; 4. Numeri";"1920 [Erscheinungsdatum]";Buch;42.c.0261-4;"Weitere Informationen im Online-Katalog der Staats- und Universitätsbibliothek Bremen";"Provenienz: Juden-Auktion 2Zugang: 1942 Mai 15";2015-03-16;"Staats- und Universitätsbibliothek Bremen
Bibliothekstraße
28359 Bremen
+49 (0)421 218 59610
suub@suub.uni-bremen.de
http://www.suub.uni-bremen.de
Müller, Maria-Elisabeth (Direktorin)
+49 (0)421 218 59400";https://www.lostart.de/de/Fund/526089;
Fundmeldung;Einzelobjekt;470265;"Schönlank, Bruno [Autor:in]
Der Bücherkreis [Verlag]";"Agnes : Roman aus der Zeit des Sozialistengesetzes";"1929 [Erscheinungsdatum]";Buch;"Yx 55913/380";"Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Verdacht auf NS-Raubgut. Quellen: Archiv der Staatsbibliothek, Akten A62, Stade - Schreiben der Staatspolizeistelle für den Reg.-Bez. Stade in Wesermünde Nr. I 4105 1935-07-10 ""übersende ich in der Anlage das Verzeichnis A nebst den gewünschten Büchern"" mit hs. ergänzter Akz.-Nr. D 1935.640-647, P 1935.6037-45, ZD 1935.2121, ZD 1935.2242, ZD 35.2243, ZD 1935.2244 ; Schreiben des Landrates Wesermünde 1935-07-16 ""Bücher die bei staatsfeindlichen Organisationen und Einzelpersonen im Landkreis beschlagnahmt und eingezogen worden sind"" ; Akzessionsjournal der Preußischen Staatsbibliothek Pflicht P 1935.6040, ""erh. v. d. Staatspol. Reg. Bez. Stade in Wesermünde"", inventarisiert als Pflichtexemplar 1935-12-19Provenienz: Wesermünde <Landkreis>Provenienz: Deutschland <Deutsches Reich>, Geheime Staatspolizei, Staatspolizeistelle für den Regierungsbezirk StadeProvenienz: Preußische Staatsbibliothek <Berlin> / Zugang / Datum 1935-12-19 / Zugangsnummer P 1935.6040 / NS-RaubgutWesermünde <Landkreis>Deutschland <Deutsches Reich> / Geheime Staatspolizei / Staatspolizeistelle für den Regierungsbezirk Stade Preußische Staatsbibliothek <Berlin> NS-Raubgut";2013-02-28;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/470265;
Suchmeldung;Einzelobjekt;593931;"Porzellanmanufaktur Meissen [Manufaktur]";Teekännchen;"1730 (um) [Datierung]";Gefäß;;"In Gestalt eines sich duckenden, kampfbereiten Hahnes. Nach chinesischem Vorbild. Eiförmiger Leib, eng anliegende Flügel, angezogene Beine. Der nach unten ringförmig gebogene Schweif dient als Henkel, Hals und Kopf mit geöffnetem Schnabel als Ausguß. Flacher runder Deckel mit vergoldetem Löwen als Knauf. Die Flügelfedern eisenrot, purpurn und seegrün mit goldenen Kielen. Der Schweif purpurn mit Gold, am Ansatz eisenrot, am Ende gelb. Die Beine gelb mit schwarzen Krallen. Kopf und Hals in schwarz gestricheltem Blau, Violett, Eisenrot und Gold. Am Rücken Goldornament. [...] Ohne Marke.";"[…] bis Dezember 1926, Gustav von Klemperer (gest. 27.12.1926), Dresden [1]; 30.06.1927, Nachlassregelung, Nachlass zu gleichen Teilen an Victor, Herbert-Otto und Ralph-Leopold von Klemperer [2]; November 1938, Sicherstellung der Porzellansammlung in der Villa von Victor von Klemperer durch die Geheime Staatspolizei, Dresden [3]; Dezember 1938, Abtransport der Porzellansammlung aus der Villa von Victor von Klemperer, Tiergartenstraße 64, Dresden, in das „Johanneum“, Staatliche Porzellansammlung Dresden, Augustusstraße 1, Dresden [4]; November 1941, Verfall des Vermögens der Familie von Klemperer an das Deutsche Reich gemäß der 11. Verordnung zum Reichsbürgergesetz [5]; Januar 1943, unentgeltliche Übertragung der Sammlung von Klemperer an das Land Sachsen auf Grundlage eines Entscheids von Adolf Hitler [6]; 1943, kriegsbedingte Auslagerung aus der Staatlichen Porzellansammlung Dresden nach Schloss Rammenau in Sachsen [7]; 16.03.1945, kriegsbedingte Verlagerung von Schloss Rammenau in Sachsen nach Schloss Rothschönberg in Sachsen [8]";2021-02-08;;https://www.lostart.de/de/Verlust/593931;"Porzellansammlung Gustav von Klemperer, Dresden 1928, S. 119, Nr. 482; [1] Anette Loesch, Das Schicksal der Porzellansammlung Gustav von Klemperers, in: Beiträge öffentlicher Einrichtungen der Bundesrepublik Deutschland zum Umgang mit Kulturgütern aus ehemaligem jüdischen Besitz, bearb. von Ulf Häder (= Veröffentlichungen der Koordinierungsstelle für Kulturgutverluste, Bd. 1), Magdeburg 2001, S. 56-77; Andreas Graul, Gustav und Victor von Klemperer. Eine biographische Skizze (= Publikationen der Eugen-Gutmann-Gesellschaft, Bd. 2), Leipzig 2005; Sabine Rudolph, Restitution von Kunstwerken aus jüdischem Besitz. Dingliche Herausgabeansprüche nach deutschem Recht (= Schriften zum Kulturgüterschutz / Cultural Property Studies), Berlin 2007; [2] Rudolph 2007, S. 41-47, hier S. 41; Amtsgericht Dresden, Nachlassakte Gustav von Klemperer, Einantwortungsurkunde des Zivilgerichts für Inner-Prag, 30.06.1927; [3] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/1, Bl. 1-2, Fritz Fichtner (Direktor der Porzellansammlung) an Ministerium für Volksbildung, 01.12.1938; [4] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/1, Bl. 5, (nachrichtlich) Fritz Fichtner, 02.12.1938, entspricht der Anlage zu Bl. 4, Fritz Fichtner an Ministerium für Volksbildung, 03.12.1938; [5] Rudolph 2007, S. 45; [6] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/2, Bl. 1, Reichsministers der Finanzen an Oberfinanzpräsident Dresden, 04.01.1943; ebd., Bl. 10, Oberfinanzpräsident Dresden an Reichsstatthalter Sachsen, 14.01.1943; [7] Archiv der Porzellansammlung, Verzeichnis der außerhalb von Dresden geborgenen Kunstwerke, unpag., ca. 1943; SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/2, Bl. 13, (nachrichtlich) A. Richter (Oberregierungsrat, Sächsische Staatskanzlei) an Direktor der Porzellangalerie, 08.04.1943; ebd., Bl. 21, Fritz Fichtner an Sächsische Staatskanzlei, 30.04.1943; ebd., Bl. 48, Fritz Fichtner an Hermann Voss (Sonderbeauftragter für Linz), 25.08.1943; [8] Archiv der SKD, 02/VA 53, unpag., (nachrichtlich) Leuschner (Reg. Ass., Ministerium für Volksbildung), 26.03.1945.Katalog | catalogue: Externer Link"
Suchmeldung;Einzelobjekt;321998;"Lommatzsch [Autor:in]";"Geschichte der Dreifaltigkeits-Kirche in Berlin";"1889 [Erscheinungsdatum]";Buch;3394;;;2007-02-05;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/321998;
Suchmeldung;Einzelobjekt;449720;;"Ein Paar Messingleuchter";"1601/1700 [Datierung]";Beleuchtung;"Gundersheimer Gutachten S. 136, Nr. 5 und 6";"auf rundem, mehrfach profilertem Fuß und mit dreifacher Ringgliederung am Schaft";"Sammlung Ottmar Strauss";2011-12-19;"von Trott zu Solz Lammek (Rechtsanwälte • Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/449720;
Fundmeldung;Einzelobjekt;422421;"Münchhausen, Börries [Autor:in]
Lilien, Ephraim Mose [Illustrator:in]
F. A. Lattmann, Verlag / J. Jäger & Sohn [Verlag]";"Juda : Gesänge";"1901 [Erscheinungsdatum]";Buch;"Yo 28257";"Verlagseinband: vorderer Deckel: ""LILIEN""; Titelseite: ""Buchschmuck von E. M. Lilien""; Gewebe: dunkelblau; Prägung: blau weiß; Typo: weiß; Darstellung: Davidstern, rankende Rosen; Vorsatz: Buntpapier: mehrfarbig blau beige, Muster aus Menoras, industriell; VEBD.Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Vorbesitz: Księgarnia ""Oświata"" Michała Ettingera | Etikett | Erläuterung: Kleines, schwarzes Etikett mit roter Schrift: Księgarnia ""Oświata"" M. Ettingera w ŁodziVorbesitz: Deutsches Reich. Heer. Oberbefehlshaber Ost | Erläuterung: LieferantZugang: Preußische Staatsbibliothek | Zugangsnummer Or. 1940.242 | NS-Raubgut | Datum 1940-06-12 | Erläuterung: Akzessionsnummer auf der Rückseite des Titelblattes: Or. 1940.242. NS-Raubgut, Quelle: Akzessionsjournal der Preußischen Staatsbibliothek Or. 1940.242 ""Oberbefehlshaber Ost, Litzmannstadt"", inventarisiert als Donum";2011-01-01;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/422421;
Fundmeldung;Einzelobjekt;519386;"Sterne, Laurence [Autor:in]
Lincke [Verlag]";"Tristram Schandy's Leben und Meinungen ; Zweiter Band";"1801 [Erscheinungsdatum]";Buch;"19 ZZ 12193-2";"Exlibris: Ex Libris Heinrich Stahl, Semper prorsum numquam retrorsumHs. Eintrag auf dem VorsatzblattWeitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"NS-RaubgutProvenienz: Stahl, Heinrich / ExlibrisProvenienz: Kaiser, BrunoProvenienz: Deutsche Staatsbibliothek <Berlin, Ost> / Zugang / NS-Raubgut Stahl, HeinrichKaiser, Bruno Deutsche Staatsbibliothek <Berlin, Ost> NS-Raubgut";2014-06-23;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/519386;
