Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;443081;;"Rechnungen für Januar bis Juni 1804 6 Konvolute in 1 Paket";"1804 [Dokumentdatum]";Archivgut;"Z 44, A 12d Nr. 13a";;"ehemaliges Staatsarchiv Zerbst";2011-09-13;"Landeshauptarchiv
Sachsen-Anhalt
Brückstraße 2
39114 Magdeburg
+49 (0) 391 59806-0
+49 (0) 391 59806-600
poststelle@lha.mi.sachsen-anhalt.de
http://www.lha.sachsen-anhalt.de
Volkmar, Dr. Christoph (Koordinator Lost Art)
+49 (0) 391 59806 230
volkmar@lha.mi.sachsen-anhalt.de";https://www.lostart.de/de/Verlust/443081;
Fundmeldung;Einzelobjekt;395548;"Sandeau, Jules [Herausgeber]
Friedberg & Mode [Verlag]";"Mademoiselle de La Seiglière; Théâtre français : Collection Friedberg & Mode ; 14";"1881 [Erscheinungsdatum]";Buch;6C3924;"Kein Exlibris. Bibliothekseinband. Richter-Indizien: Inventarnummer, zweites Bändchen aus der Serie Friedberg & Mode von Sandeau.";"1941 verkauften die Wiener Romanistin, Prof. Dr. Elise Richter und ihre Schwester Dr. h. c. Helene Richter den größten Teil ihrer Bibliothek an die Universitäts- und Stadtbibliothek Köln. Es handelte sich im Wesentlichen um Bücher aus den Bereichen Romanistik, Sprach- und Literaturwissenschaft sowie Anglistik. Von 2235 Titeln konnten 535 im Bestand der USB Köln ermittelt werden. In einigen Büchern ist das Exlibris der Richter-Schwestern erhalten geblieben. Bei neu gebunden Büchern halfen Widmungen und Inventarnummernvergleich als Nachweis für den Richter-Besitz. Siehe auch: Externer Link
Status
restituiert";2007-10-19;"Universitätsstr. 33
50931 Köln
0221 470 3306
0221 470 5166
http://www.ub.uni-koeln.de
Christiane Hoffrath
hoffrath@ub.uni-koeln.de";https://www.lostart.de/de/Fund/395548;
Suchmeldung;Einzelobjekt;84712;"Griebel, Erich [Autor:in]";"Bilder vom Luch. Ein Heimatbuch.";"1925 [Erscheinungsdatum]";Buch;12480;;;2001-08-08;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/84712;
Suchmeldung;Einzelobjekt;180477;;Bettlerin;;Schnitzerei;"Elf 213";;;2001-08-08;"Herzog Anton Ulrich-Museum
Kunstmuseum
des Landes Niedersachsen
38100 Braunschweig
(0531) 12250
(0531) 12252408
info.haum@3landesmuseen.de
https://www.3landesmuseen.de/Herzog-Anton-Ulrich-Museum.304.0.html
Dr. Silke Gatenbröcker (Leitung Gemäldegalerie)
0531-12252405
Dr. Thomas Richter (Leitender Museumsdirektor)
Sekretariat
0531 – 1225-2401";https://www.lostart.de/de/Verlust/180477;
Suchmeldung;Einzelobjekt;122892;"Unbekannt (Niederländisch) [Künstler:in]";"Landschaft mit Windmühle";"1601/1700 [Datierung]";Zeichnung;1039;;;2001-08-08;"Kunsthalle Bremen
28195 Bremen
+49 (0) 421 32908 47
office@kunsthalle-bremen.de
http://www.kunsthalle-bremen.de
Dr. Christoph Grunenberg (Direktor)
+49 (0)421 32908 200
grunenberg@kunsthalle-bremen.de
Dr. Dorothee Hansen (Kustodin Alte Meister)
+49 (0)421 32908 260
hansen@kunsthalle-bremen.de
Dr. Maria Aresin (Kustodin Kupferstichkabinett)
+49 (0)421 32908 261
aresin@kunsthalle-bremen.de";https://www.lostart.de/de/Verlust/122892;
Suchmeldung;Einzelobjekt;417542;"Unbekannt (Französisch) [Künstler:in]";"Antiker Gobelin";"1701/1800 [Datierung]";"Gebrauchs- / Raumtextilie";;;"Sammlung Paul Stern, Frankfurt am Main; Beschlagnahme seines Umzugsgutes 1938";2010-05-20;"von Trott zu Solz Lammek (Rechtsanwälte • Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/417542;
Suchmeldung;Einzelobjekt;277307;"Unbekannt [Künstler:in]";"Abfahrt nach der Insel Cythera";;Malerei;"Handschriftliches Verzeichnis Nr. 435";"Kopie nach Jean-Antoine Watteau; große Kopie.Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung.";2003-04-04;"Kunstsammlung Neubrandenburg
17033 Neubrandenburg
(0395) 5551290
(0395) 5551299
kunstsammlung@neubrandenburg.de
http://www.kunstsammlung-neubrandenburg.de
Frau Dr. Elke Pretzel (wiss. Mitarbeiterin)
(0395) 5551292
Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277307;
Fundmeldung;Einzelobjekt;576004;"Street, Jennie / Verfasser eines Vorworts: Bernstorff, Albrecht [Autor:in]
Deutsche Evangelische Buch- und Traktat-Gesellschaft [Verlag]";"F. B. Meyer's Leben und Wirken";"1905 [Erscheinungsdatum]";Buch;"A 55/138";"Weitere Informationen im Online-Katalog des Bibliothekssystems der Justus-Liebig-Universität Gießen: Externer Link";"Deutschland (Gebiet unter Alliierter Besatzung, Amerikanische Zone). Amt der Militärregierung für Hessen. Offenbach Archival DepotAutogrammWidmungNS-RaubgutStempelZugangsnummerDatum 1921Datum 1949/50Datum 1955";2018-03-06;"Universitätsbibliothek Gießen
Otto-Behagel-Str. 8
35394 Gießen
+49 (0)641 99-14032
+49 (0)641 99-14039
auskunft@bibsys.uni-giessen.de
http://www.ub.uni-giessen.de
Dr. Olaf Schneider (Bibliotheksoberrat)
+49 (0)641/99-14052
Olaf.Schneider@bibsys.uni-giessen.de";https://www.lostart.de/de/Fund/576004;
Suchmeldung;Einzelobjekt;11151;"Vermeer, Jan (der Ältere) [Künstler:in]";"Befestigter Ort (Die Stadt Amersfoort)";;Malerei;640;"Signatur: Jeannes und ein undeutbares Zeichen.";"1886 Thiemsche Stiftung, Leipzig. 1945 am Auslagerungsort Nischwitz abhanden gekommen.";2001-08-08;"Katharinenstr. 10
04109 Leipzig
(0341) 216 999 0
(0341) 216 999 99
mdbk@leipzig.de
http://www.mdbk.de
Dr. Jan Nicolaisen  (Chefkurator Malerei und Skulptur)
+49 (0) 341 216 999 45
jan.nicolaisen@leipzig.de
Dr. Jeannette Stoschek (Chefkuratorin Grafische Sammlung)
+49 (0) 341 216 999 40
jeannette.stoschek@leipzig.de";https://www.lostart.de/de/Verlust/11151;
Fundmeldung;Einzelobjekt;524554;"Flavius, Josephus; Paret, Heinrich (Übers.) [Autor:in]
Metzler [Verlag]";"Des Flavius Josephus Werke. 1. Geschichte des jüdisches Krieges";"1855 [Erscheinungsdatum]";Buch;"D2 75 1";"Reihe: [], Band: 1";"#1 - (VB Lichterfelde), Stempel: Keine; 'Volksbibliothek des Westens  Gross-Lichterfelde'. #2 - (VB Lichterfelde), Objekt: Etikett: Nummer: Signatur; 'Gj 2'. #3 - (VB Lichterfelde), Von Hand: Keine; 'a 1060 I1-6  3.68  Tausch'. #4 - (VB Lichterfelde), Objekt: Etikett: Widmung: Allgemein; 'Stiftung des Bürgerbundes Berlin-Lichterfelde e.V.  1932'. #5 - (VB Lichterfelde), Von Hand: Nummer: Allgemein; '1381'. VB Lichterfelde (VB Lichterfelde) Zum Exemplar in der ZLB-Datenbank";2015-03-13;"Stiftung Neue Synagoge Berlin - Centrum Judaicum
Oranienburger Straße 28-30
10117 Berlin
030-88028-300
030-88028-483
office@centrumjudaicum.de
http://www.centrumjudaicum.de";https://www.lostart.de/de/Fund/524554;
