Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;189225;"Konrad Kachelofen [Drucker:in]";"Interpretationes nominum indeclinabilium";;"Wiegendruck / Frühdruck";"Thom. 1299";;"1945 Verlust am Auslagerungsort Schloss Mutzschen.
Auslagerung (Mutzschen, Schloss Mutzschen)";2001-08-08;"Universitätsbibliothek
'Bibliotheca Albertina'
Leipzig
Beethovenstr. 6
04107 Leipzig
+49 (0)341 97 30500
(0341) 9730596
http://www.ub.uni-leipzig.de
Dr. Anne Lipp (Direktorin)
+49 (0)341 9730501
lipp@ub.uni-leipzig.de";https://www.lostart.de/de/Verlust/189225;"Liste der vermißten Inkunabeln der Universitätsbibliothek Leipzig (Stand Mai 1991); evtl. maschinenschriftl. Verlustdokumentation; Leipzig; 1991"
Suchmeldung;Einzelobjekt;521381;"Unbekannt (Rokokostil) [Künstler:in]";Bestecksatz;;"Kunsthandwerk / -gewerbe";;"26 Obstgabeln und -messer mit Monogramm, silbervergoldet, etwa 1850g";"Sammlung Rudolf Mosse; Versteigerung, Berlin (Auktions-Haus ""Union"") 1934-6-6, Kat.Nr. 419";2014-09-02;"J. Eric Bartko (Director of Investigations) (Bartko, Zankel, Bunzel & Miller (www.bzbm.com))
ebartko@bzbm.com";https://www.lostart.de/de/Verlust/521381;
Suchmeldung;Einzelobjekt;284486;"Brjanski, Michael Wassiljewitsch [Künstler:in]";"Bildnis einer jungen Frau";"1801/1900 [Datierung]";Malerei;"russisches F 808; kleines russisches m 730";Gemälde;;2003-06-24;"Gruschevsky St. 6 (вул. Грушевського 6) 
01001 Kiew
+38 (044) 278 13 57
info@namu.ua 
https://namu.ua/
Yuliya O. Lytvynets (Юлія Олександрівна Литвинець) (Generaldirektorin (Генеральний директор))
+38 (044) 278 13 57
info@namu.ua | lytvynets76@gmail.com";https://www.lostart.de/de/Verlust/284486;
Suchmeldung;Einzelobjekt;459927;"Unbekannt [Künstler:in]";"Paar Louis XVI Konsole-Tische";;Möbel;"71 (Nachlaß Feist) → 26 und 27 (Simonis - Möbel)";"Hans Feist an Maurice Sandoz. Brief vom 6.8.1946. In: Nachlaß Feist, in: Literaturarchiv Marbach";"Sammlung Feist; Fluchtgut, Verlust 1941; Sammlung Maurice Sandoz, 1941";2012-10-11;"Rosbach & Fremy (Rechtsanwälte)
+49 (0) 30 280 70 71/72
office@ra-rff.de";https://www.lostart.de/de/Verlust/459927;
Fundmeldung;Einzelobjekt;453098;"Cohen, Hermann [Autor:in]";"Einleitung mit kritischem Nachtrag zu Fr. Alb. Lange's Geschichte des Materialismus in fünfter Auflage";"1896 [Erscheinungsdatum]";Buch;"Nk 3369";"Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Vorbesitz: Baeck, Leo *1873-1956* | Autogramm | Erläuterung: Handschriftlicher Eintrag auf der Titelseite: Bäck.Vorbesitz: Deutsches Reich / Geheime Staatspolizei | Erläuterung: LieferantZugang: Preußische Staatsbibliothek | Zugangsnummer D 1943.762 | NS-Raubgut | Datum 1943-11-22 | Erläuterung: Akzessionsnummer auf der Rückseite der Titelseite: D 1943.762. NS-Raubgut. Quelle: Akzessionsjournal der Preußischen Staatsbibliothek D 1943.762 ""Gestapo, Berlin (durch Orient.Abt.)"", inventarisiert als DonumAbgang: Preußische Staatsbibliothek | Beutegut | Datum 1943 bis 1945 | Erläuterung: KriegsverlustVorbesitz: Uniwersytet Warszawski / Biblioteka | Bibliotheksexemplar | Stempel | Erläuterung: ""Biblioteka Uniwersytecka w Warszawie"" | ProvenienzmerkmalVorbesitz: Uniwersytet Warszawski / Biblioteka | Restitutionsexemplar | Datum 1965 | Erläuterung: Nach 1945 aus verlagerten Beständen der Preußischen Staatsbibliothek an die Universitätsbibliothek Warschau gelangt und im Rahmen der Aktion ""Rückführung von Beständen aus Polen, RüBePol"" 1965 an die Deutsche Staatsbibliothek restituiert.Vorbesitz: NN | Nummer P.20.007 | Erläuterung: Handschriftlicher Eintrag auf der Titelseite: P.20.007Zugang: Deutsche Staatsbibliothek | Datum 1965";2012-04-10;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/453098;
Suchmeldung;Einzelobjekt;582377;"Kollwitz, Käthe [Künstler:in]";Arbeiterfrau;;Zeichnung;;"Arbeiterfrau, stehend, mit Säugling und Kind. Rechts unten voll bezeichnet.";"Clara und Julius Freund, Berlin; 21.03.1942 Auktion bei der Galerie Fischer, Luzern, Nr. 148; Verbleib unbekannt";2019-02-08;"von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/582377;
Suchmeldung;Einzelobjekt;250962;"Cicoquara, Leop. [Künstler:in]";"Storia delle scultura.";"1823/1824 [Datierung]";"Mappenwerk / Skizzenbuch";"B 1025,3";"Ort: Prato; Bd. 1¿7";;2002-04-03;"Staatliche Kunstsammlungen Dresden
Kupferstich-Kabinett 
Taschenberg 2
01067 Dresden
(0351) 4914 3210
kk@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 3210
kk@skd.museum";https://www.lostart.de/de/Verlust/250962;
Fundmeldung;Einzelobjekt;465158;"Radowitz, Joseph Maria [Autor:in]
Habbel [Verlag]";"Ausgewählte Schriften ; Bd. 1. Gespräche aus der Gegenwart über Staat und Kirche";"1911 [Dokumentdatum]";Buch;"Ra 14620";"Weitere Informationen im Online-Katalog der Bibliothek der Berlin-Brandenburgischen Akademie der Wissenschaften: Externer Link";"Stempel: Dr. Richert WittenbergeStempel: Deutsche Akademie der Wissenschaften zu Berlin, BibliothekQuelle: Zugangsbuch Kauf 1953-1955 der Deutschen Akademie der Wissenschaften zu Berlin 1955/332, ""Universit.-Buchh. Rostock"", inventarisiert als Kauf 1955-07-06Verdacht auf NS-Raubgut";2013-02-11;"Bibliothek der Berlin-Brandenburgischen Akademie 
der Wissenschaften
Unter den Linden 8
10117 Berlin
(030) 20370487
(030) 20370476
http://bibliothek.bbaw.de
Dr. Marianne Seidig (Leiterin der Akademiebibliothek)
(030) 20370487
seidig@bbaw.de";https://www.lostart.de/de/Fund/465158;
Suchmeldung;Einzelobjekt;520707;"Hasse, Ernst [Künstler:in]";"Wohnhaus des Künstlers";;Zeichnung;;"bez. u. r.: ""Hasse""";"Sammlung Boguslav Jolles, Dresden; 1895 Auktion Hugo Helbing, München; Sammlung Dr. Michael Berolzheimer; Garmisch-Partenkirchen; 1939 Auktion Adolf Weinmüller, München, Nr. 631";2014-07-16;"HCPO (Holocaust Claims Processing Office)
claimsques@dfs.ny.gov";https://www.lostart.de/de/Verlust/520707;
Fundmeldung;Einzelobjekt;477120;"Raunié, Émile [Herausgeber]
Quantin [Verlag]";"Chansonnier historique du XVIIIe siècle ; 5 = P. 2. Le règne de Louis XV : Ministère du duc de Bourbon et du Cardinal Fleury, 1724-1742 ; 1";"1881 [Erscheinungsdatum]";Bibliotheksgut;;"Weitere Informationen im Campus-Katalog Bibliothekssystem der Universität Hamburg: Externer Link";"Provenienz: Finck, Rudolf Carl von / Exlibris / MonogrammVorbesitz: Petschek, Ignaz | Exlibris | ProvenienzmerkmalVorbesitz: Petschek, Helene | Exlibris | ProvenienzmerkmalVorbesitz: Reichstauschstelle | NS-Raubgut | Erläuterung: LieferantVorbesitz: Reichstauschstelle | Notiz | Nummer 2823/28Zugang: Bibliothek der Hansestadt Hamburg | Datum 1944Abgang: Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky | Restitution | Datum 2013-07-17
Status
restituiert";2013-09-27;"Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky
Von-Melle-Park 3
20146 Hamburg
(040) 040 42838 3352
http://www.sub.uni-hamburg.de
Blödorn-Meyer, Dr. Petra (Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste)
040 42838 5858
Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste
nsraubgut@sub.uni-hamburg.de";https://www.lostart.de/de/Fund/477120;
