Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;228201;"Wielandt, Rudolf [Autor:in]
Hörning & Berkenbusch [Verlag]";"Recht und Pflicht der Frau im Kampf gegen die Unsittlichkeit. Vortr.";"1905 [Erscheinungsdatum]";Buch;"Fr.Fr. 3585";"16 S.";"In das Schloss Kynau (die Angaben über diesen Ort sind widersprüchlich, zunächst heißt es Künau bei Grünberg, dann Schloss Kuhnau, gemeint ist aber wohl doch Kynau im Kreis Waldenburg, heute Zagorze Slaskie) wurden im Juni 1943 60 Kisten mit ca. 7.500 Bänden verlagert, die den wertvollsten Teil der Göritz-Lübeck-Stiftung, die Sammlung Friedlaender (12 Kisten), die Sammlung Jacobsen, die Werther-Sammlung (1 Kiste) enthielten. Nach einem Bericht vom 2.5.1945 soll das Bergungsgut abtransportiert worden sein.
Auslagerung (Kynau (Waldenburg), Schloss Kynau)";2001-08-08;"Zentral- und Landesbibliothek Berlin 
Abteilung 4 | Landesbibliothek
Breite Straße 30-36
10178 Berlin
http://www.zlb.de 
Zentral- und Landesbibliothek Berlin (Abteilung 4 | Landesbibliothek)
+49 30 90226-466
landesbibliothek@zlb.de";https://www.lostart.de/de/Verlust/228201;
Suchmeldung;Einzelobjekt;459853;"Vlaminck, Maurice de [Künstler:in]";"Kirche von Brezole";"1924 (1927) [Datierung]";Aquarell;;;"Florent Fels, Paris; 1940 Beschlagnahme durch den ERR in Paris";2012-10-08;"von Trott zu Solz Lammek (Rechtsanwälte • Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/459853;
Suchmeldung;Einzelobjekt;437598;"Luther, Martin [Autor:in]
Lotther [Drucker:in]";"Der CXXVII. Psalm in lat. Sprach durch Mar. Luther ausgelegt";"1536 [Erscheinungsdatum]";"Wiegendruck / Frühdruck";"Th 2054";;"Stadtbibliothek Magdeburg";2011-06-08;"Stadtbibliothek Magdeburg
Magdeburg
39015 Magdeburg
(0391) 5404880
(0391) 5404803
stadtbibliothek@magdeburg.de
http://stadtbibliothek.magdeburg.de
Lesesaal
(0391) 5404836
Petsch, Peter (Direktor)
(0391) 5404801
Sekretariat
(0391) 5404800";https://www.lostart.de/de/Verlust/437598;
Suchmeldung;Einzelobjekt;244716;"Kalitsch, Werner von [Künstler:in]";"Winterbild mit Sauen";;Malerei;;"mit schwerem Goldrahmen";"1946 Schloss Teutschenthal, Damensalonverschollen";2002-02-26;"Carl-Friedrich Wentzel
cf@wentzel.at";https://www.lostart.de/de/Verlust/244716;
Suchmeldung;Einzelobjekt;275720;;"Bildnis einer jungen Frau";;Malerei;"4497 52";Miniatur;;2003-02-28;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)
01004 Kiew
+38 (044) 287-12-44
museumru@ukr.net
http://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.html
Yuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))
+38 (044) 287-12-44
museumru@ukr.net";https://www.lostart.de/de/Verlust/275720;
Suchmeldung;Einzelobjekt;173441;;"Klosterurkunde Kloster Dargun";"1301.08.13. [Dokumentdatum]";"Urkunde / Faksimile";"139 c";;;2001-08-08;"Graf-Schack-Allee 2
19053 Schwerin
+49 (0) 385 588794 10
+49 (0) 385 588794 12
poststelle@landeshauptarchiv-schwerin.de
http://www.kulturwerte-mv.de/cms2/LAKD1_prod/LAKD1/de/Landesarchiv/Landeshauptarchiv_Schwerin/index.jsp
Dr. Martin Schoebel (Leiter)
+49 (0) 385 58879410
poststelle@landeshauptarchiv-schwerin.de";https://www.lostart.de/de/Verlust/173441;
Suchmeldung;Einzelobjekt;319954;"Kirchner, E. [Autor:in]";"Geschichte der Klöster in der Mark Brandenburg";"1858 [Erscheinungsdatum]";Buch;558;;;2007-02-05;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/319954;
Fundmeldung;Einzelobjekt;567008;"Hertz [Verlag]";"Fürst Bismarck ; Bd. 4. 1879 - 1885 : bis zur Nationalfeier des 70. Geburtstages des Fürsten";"1886 [Erscheinungsdatum]";Bibliotheksgut;;"Weitere Informationen im Campus-Katalog Bibliothekssystem der Universität Hamburg: Externer Link";"Vorbesitz: Singer, Arthur *1870-1931* | ExlibrisVorbesitz: Bismarck-Bücherei Specht <Sachsenwald-Hofriede> | Exlibris | Datum 1915Zugang: Bibliothek der Hansestadt Hamburg | NS-Raubgut | Erläuterung: Altbestand (Bodenaktion), Verdacht auf NS-Raubgut, Kennung NS-RaubgutAbgang: Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky | Restitution | Datum 2021-10-XX
Status
restituiert";2017-02-27;"Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky
Von-Melle-Park 3
20146 Hamburg
(040) 040 42838 3352
http://www.sub.uni-hamburg.de
Blödorn-Meyer, Dr. Petra (Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste)
040 42838 5858
Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste
nsraubgut@sub.uni-hamburg.de";https://www.lostart.de/de/Fund/567008;
Fundmeldung;Einzelobjekt;305171;"Frank, Paul [Autor:in]
Stern [Verlag]";"Mitternachtsbuch. Novellen";"1922 [Erscheinungsdatum]";Buch;"IKG 43. 111";;"Bei Kriegsende wurden ca. 8 000 Bände in den Redaktionsräumen des NS-Blattes ""Der Stürmer"" und auf dem Landgut Pleikershof von Julius Streicher vorgefunden. Diese Bestände wurden im Juni/Juli 1945 von der US-Militärregierung beschlagnahmt und sollten der sich neu konstituierenden jüdischen Gemeinde übergeben werden. Da diese für die Bücher zu dieser Zeit keine Verwendung hatte, verfügte sie, dass die Bücher als Dauerleihgabe der Israelitischen Kultusgemeinde der Stadt Nürnberg überlassen werden sollten. Die Bestände wurden noch im Sommer 1945 der Stadtbibliothek Nürnberg übergeben.Die Bestände stammen größtenteils aus ehemaligem jüdischen Besitz und sind den Vorbesitzern verfolgungsbedingt in der Zeit von 1933 bis 1945 von nationalsozialistischen Gruppierungen entzogen worden. Sie lagerten bei Kriegsende in den Redaktionsräumen des antisemitischen Hetzblattes ""Der Stürmer"" (Pfannenschmiedsgasse 18) bzw. dem Landgut ""Pleikershof"" von Julius Streicher. Die Bestände wurden 1945 von der US-Armee beschlagnahmt und der sich neu konstituierenden jüdischen Gemeinde übergeben. Letztere verfügte, dass die Bücher in ihrem Besitz verbleiben, aber als Dauerleihgabe der Israelitischen Kultusgemeinde der Stadt überlassen und in der Stadtbibliothek aufbewahrt werden sollen.Paul Frank (Autorenwidmung)";2004-10-19;"Stadtbibliothek im Bildungscampus Nürnberg
Gewerbemuseumsplatz 4
90403 Nürnberg
90317 Nürnberg
+49 (0) 911 231 7565
+49 (0) 911 231 5476
http://www.stadtbibliothek.nuernberg.de
Dr. Christine Sauer (Leiterin der Historisch-Wissenschaftlichen Stadtbibliothek)
+49 (0) 911 231 2832
Christine.Sauer@stadt.nuernberg.de
Leibl Rosenberg (Sachgebiet Handschriften und Alte Drucke)
+49 (0) 911 231 2721
Leibl.Rosenberg@stadt.nuernberg.de";https://www.lostart.de/de/Fund/305171;
Suchmeldung;Einzelobjekt;451619;"Unbekannt [Künstler:in]";"Zwei Bronzestatuetten / Deux statuettes de bronze";;"Plastik / Skulptur";;;"Sammlung Graupe und Cie Paris; Inventarliste Geschäftsräume Paris No. 8; Beschlagnahme durch den Einsatzstab Reichsleiter Rosenberg (ERR) in Paris 1941/42";2012-02-20;"von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/451619;
