Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;294200;"Wassilkowski, S.I. [Künstler:in]";Königskerze;;Malerei;"683 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294200;
Suchmeldung;Einzelobjekt;294201;"Wassilkowski, S.I. [Künstler:in]";"Vorwerk Koropiw";;Malerei;"684 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294201;
Suchmeldung;Einzelobjekt;294202;"Wassilkowski, S.I. [Künstler:in]";Stadt;;Malerei;"685 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294202;
Suchmeldung;Einzelobjekt;294203;"Wassilkowski, S.I. [Künstler:in]";"Kirche in Galizien";;Malerei;"686 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294203;
Suchmeldung;Einzelobjekt;294205;"Wassilkowski, S.I. [Künstler:in]";Mondnacht;;Malerei;"688 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294205;
Suchmeldung;Einzelobjekt;294206;"Wassilkowski, S.I. [Künstler:in]";"Weg zum Wald";;Malerei;"689 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294206;
Suchmeldung;Einzelobjekt;294207;"Popoff, Lukian Wassiljewitsch [Künstler:in]";Gänse;;Malerei;"69 kleines russisches sh, kleines russisches r, kl";Gemälde;;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294207;
Suchmeldung;Einzelobjekt;294175;"Wassilkowski, S.I. [Künstler:in]";Kirche;;Malerei;"655 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294175;
Suchmeldung;Einzelobjekt;294176;"Wassilkowski, S.I. [Künstler:in]";"Steppe und Wald im Herbst";;Malerei;"656 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294176;
Suchmeldung;Einzelobjekt;294178;"Wassilkowski, S.I. [Künstler:in]";Hütten;;Malerei;"658 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294178;
Suchmeldung;Einzelobjekt;294180;"Wassilkowski, S.I. [Künstler:in]";Sonnenuntergang;;Malerei;"660 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294180;
Suchmeldung;Einzelobjekt;294184;"Wassilkowski, S.I. [Künstler:in]";"Winter im Dorf";;Malerei;"666 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294184;
Suchmeldung;Einzelobjekt;294188;"Ajvazovskij, Ivan Konstantinovic [Künstler:in]";"Sturm am Meer";"1866 [Datierung]";Malerei;"67 kleines russisches sh, kleines russisches r, kl";Gemälde;;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294188;
Suchmeldung;Einzelobjekt;294194;"Wassilkowski, S.I. [Künstler:in]";"Umgebungen von Smejew";;Malerei;"675 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294194;
Suchmeldung;Einzelobjekt;294196;"Wassilkowski, S.I. [Künstler:in]";"Am Wald";;Malerei;"679 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294196;
Suchmeldung;Einzelobjekt;294197;"Ajvazovskij, Ivan Konstantinovic [Künstler:in]";"Tatarisches Dorf";"1863 [Datierung]";Malerei;"68 kleines russisches sh, kleines russisches r, kl";Gemälde;;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294197;
Suchmeldung;Einzelobjekt;294208;"Wassilkowski, S.I. [Künstler:in]";Kirche;;Malerei;"691 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294208;
Suchmeldung;Einzelobjekt;294209;"Wassilkowski, S.I. [Künstler:in]";Morgen;;Malerei;"692 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294209;
Suchmeldung;Einzelobjekt;294305;"Wassilkowski, S.I. [Künstler:in]";Waldrand;;Malerei;"796 kleines russisches sh, kleines russisches r, k";"Gemälde; Studie";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)61002 Kharkiv Oblast+38 (256) 706-33-95 artmuseum_kharkiv@i.uahttp://artmuseum.kh.ua/Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))+38 (057) 706 33 95artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/294305;
Suchmeldung;Einzelobjekt;250497;"Unbekannt [Künstler:in]";"Porträt von August Friedrich Sigismund Green (1736-1798)";"1800 (um) [Datierung]";Malerei;;"dargestellt Kopf frontal, Oberkörper Seitenansicht, Perücke, roter Samtrock. Original im alten Rathaus in Leipzig.";"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250497;
Suchmeldung;Einzelobjekt;250498;"Unbekannt [Künstler:in]";"Porträt von Caroline Christiane Green (1778-1828)";"1820 (um) [Datierung]";Malerei;;"dargestellt mit Biedermeier Spitzenkopfhaube, Kragen und Halstuch, Hände überkreuzt. Goldrahmen, 5 cm breit";"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250498;
Suchmeldung;Einzelobjekt;250499;"Unbekannt [Künstler:in]";"Porträt von Ernst Heinrich Kohl (1825-1901)";"1880 (um) [Datierung]";Malerei;;"dargestellt in Seitenansicht mit dunklem Rock. Goldrahmen profiliert mit breiter Innenleiste, 7 cm breit.";"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250499;
Suchmeldung;Einzelobjekt;250514;"Egersdörfer, Andreas [Künstler:in]";"Frankfurter Warte (Stadttor)";;Malerei;;"vermutlich Bockenheimer Warte";"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250514;
Suchmeldung;Einzelobjekt;250515;"Egersdörfer, Andreas [Künstler:in]";"Frankfurter Warte";;Malerei;;"vermutlich Friedberger Warte";"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250515;
Suchmeldung;Einzelobjekt;250516;"Egersdörfer, Andreas [Künstler:in]";"Frankfurter Warte";;Malerei;;"vermutlich Sachsenhäuser W.";"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250516;
Suchmeldung;Einzelobjekt;250519;"Hoffmann, Philipp Heinrich [Künstler:in]";"Landschaft Vorarlberg";;Malerei;;;"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250519;
Suchmeldung;Einzelobjekt;250520;"Schütz, Gisbert (?) [Künstler:in]";Enten;;Malerei;;;"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250520;
Suchmeldung;Einzelobjekt;250521;"Schütz, Gisbert (?) [Künstler:in]";Fohlenweide;;Malerei;;;"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250521;
Suchmeldung;Einzelobjekt;250522;"Schütz, Gisbert (?) [Künstler:in]";Hase;;Malerei;;;"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250522;
Suchmeldung;Einzelobjekt;250523;"Werner, Anton Alexander von [Künstler:in]";Ente;;Malerei;;;"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250523;
Suchmeldung;Einzelobjekt;250534;"Gogh, Vincent van [Künstler:in]";"Pont de Gleize bei Arles";;Malerei;;"Signatur: VincentF 396, JH 1367";"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250534;
Suchmeldung;Einzelobjekt;250536;"Uhde, Fritz von [Künstler:in]";"Pferd mit Reiter";;Malerei;;"Darstellung des Pferdes mit Rückhand.Widmung auf der Rückseite: Meinem lieben Vetter Ferdinand FvU.";"Verlust: Dresden, Sammellager in Blasewitz, 1945.";2002-03-27;;https://www.lostart.de/de/Verlust/250536;
