Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Fundmeldung;Einzelobjekt;596123;"Armbrust, Karl [Künstler:in]";"Jüngling und Mädchen mit Flöte";;Gemälde;"AZ 357";;"erworben 1934/35 vom Wohlfahrtsamt der Stadt Kassel; vor 1935 vom Wohlfahrtsamt durch die Übernahme eines unbekannten Nachlasses erworben";2021-07-13;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/596123;
Fundmeldung;Einzelobjekt;596143;"Keller, Ferdinand [Künstler:in]";"Husarenpatrouille, Studie";"1881 [Datierung]";Gemälde;"AZ 1274";;"erworben 1952 von Konrad „Kurt“ Kröning, Bad Wildungen";2021-07-13;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/596143;
Fundmeldung;Einzelobjekt;596127;"Essig, Gustav [Künstler:in]";"Straßenbild in Rothenburg ob der Tauber";"1921 [Datierung]";Gemälde;"AZ 542";;"erworben 1943 vom Kunsthaus Wilhelm Ettle, Frankfurt/M.; Versteigerung Kunsthaus Ettle, Frankfurt/M. vom 23./24.02.1943, Nr. 90 (Auftraggeber: ""M. B."")";2021-07-13;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/596127;
Fundmeldung;Einzelobjekt;569663;"Bury, Friedrich [Künstler:in]";"Kurfürstin Auguste";;Malerei;1875/1628;;"Erworben zwischen 1932 und 1945.";2017-10-06;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/569663;
Fundmeldung;Einzelobjekt;596120;"Kolitz, Louis [Künstler:in]";"Prozession vor San Pietro, Frascati";"1892 [Datierung]";Gemälde;"AZ 69";;"erworben 1942 von der Galerie Gurlitt, Berlin";2021-07-13;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/596120;
Fundmeldung;Einzelobjekt;596126;"Eckenfelder, Friedrich [Künstler:in]";"Pflügender Bauer mit zwei Pferden";;Gemälde;"AZ 539";;"erworben 1943 vom Kunsthaus Wilhelm Ettle, Frankfurt/M.; Versteigerung Kunsthaus Ettle, Frankfurt/M. vom 23./24.02.1943, Nr. 86 (Auftraggeber: ""A. Wa."")";2021-07-13;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/596126;
Fundmeldung;Einzelobjekt;596130;"Rau, Georg Wilhelm AD. [Künstler:in]";"Interieur (Mädchen vor einer Staffelei mit kleinem Hund)";"1907 [Datierung]";Gemälde;"AZ 558";;"erworben 1943 vom Kunsthaus Wilhelm Ettle, Frankfurt/M.; Versteigerung Kunsthaus Ettle, Frankfurt/M. vom 23./24.02.1943, Nr. 189 (Auftraggeber: ""Dr. B."")";2021-07-13;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/596130;
Fundmeldung;Einzelobjekt;596131;"Unbekannt (heute: Eduard Stiegel zugeschrieben) [Künstler:in]";"Landschaft mit Sturzbach";;Gemälde;"AZ 579";;"erworben vor 1951";2021-07-13;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/596131;
Fundmeldung;Einzelobjekt;569665;"Glinzer, Carl [Künstler:in]";"Pilze im Wald (Studie)";;Malerei;1875/1636;;"Erworben vor 1939. Herkunft unbekannt.";2017-10-06;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/569665;
Fundmeldung;Einzelobjekt;596128;"Kampf, Arthur [Künstler:in]";"Rückmarsch von der Winterjagd";;Gemälde;"AZ 546";;"erworben 1943 vom Kunsthaus Wilhelm Ettle, Frankfurt/M.; Versteigerung Kunsthaus Ettle, Frankfurt/M. vom 23./24.02.1943, Nr. 139 (Auftraggeber: ""Fr. Sch."")";2021-07-13;"Hessen Kassel Heritage / Neue Galerie
Schloss WilhelmshöheSchlosspark 1 34131 Kassel(0561) 31680-153 +49-(0)561-31680-111info@heritage-kassel.dehttps://www.heritage-kassel.deDr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)+49 (0) 561-31680-112justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/596128;
