Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;73777;"Wisnieski, Oskar [Künstler:in]";"Veteranen (aus der Zeit Friedrichs II.)";;Malerei;6876;;"Verliehene Gemälde (L), 1936 Leihgabe an das Artillerieregiment 3, Frankfurt/Oder (L ?)";2001-08-08;"Stiftung Preußische Schlösser
und Gärten Berlin-Brandenburg
Gemäldesammlung
14469 Potsdam
14414 Potsdam
(0331) 96940
(0331) 9694307
schloesserdirektion@spsg.de
http://www.spsg.de
Dr. Samuel Wittwer (Direktor der Schlösser und Sammlungen)
+49 (0) 331 96 94 307
schloesserdirektion(at)spsg.de
Dr. Ulrike Schmiegelt-Rietig (Provenienzforschung)
+49 (0) 331 96 94 874
u.schmiegelt@spsg.de";https://www.lostart.de/de/Verlust/73777;
Fundmeldung;Einzelobjekt;436425;"Verwey, B. L. [Autor:in]
Schiller (Br. Cotti) [Drucker] [Verlag]";"Verzeichniss der Büchersammlung der Loge Modestia cum Libertate im Orient von Zürich";"1875 [Erscheinungsdatum]";Buch;"Ao 9086";"Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Vorbesitz: Großloge der Alten Freien und Angenommenen Maurer von Österreich, Großlogenbibliothek | Bibliotheksexemplar | Stempel | Erläuterung: Gestempelt: Bibliothek der Großloge von Wien | ProvenienzmerkmalVorbesitz: NN | Nummer W 148 | Erläuterung: Handschriftlicher Eintrag: W 148 [= Nummer der Bibliographie ""Wolfstieg, A. Freimaurer. Lit.""]Vorbesitz: NN | Grafisches Zeichen | Nummer F I 7082 | Erläuterung: Durchgestrichener handschriftlicher Eintrag: [Dreieck] F I 7082Vorbesitz: NN | Etikett | Nummer 995 | Erläuterung: Etikett auf dem vorderen Spiegel mit gedruckter Nummer 995Vorbesitz: NN | Etikett | Erläuterung: Etikett auf dem vorderen Spiegel mit handschriftlich eingetragenem HVorbesitz: Deutsches Reich. Sicherheitsdienst | Erläuterung: LieferantZugang: Preußische Staatsbibliothek | Zugangsnummer Frm 90 | NS-Raubgut | Datum 1938-12-08 | Erläuterung: Akzessionsnummer auf der Rückseite des Titelblatts: Frm 90. NS-Raubgut, Quelle: Akzessionsjournal der Preußischen Staatsbibliothek Frm ""... Dubletten aus den beschlagnahmten Freimaurerlogen-Bibliotheken"", Nr. 90Abgang: Staatsbibliothek zu Berlin | Restitution | Datum 2019-01-31 | Erläuterung: Restituiert an die Großloge von Österreich der Alten, Freien und Angenommenen Maurer
Status
restituiert";2011-05-17;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/436425;
Suchmeldung;Einzelobjekt;322449;"Meyer, J. und Bode [Autor:in]";"Beschreibendes Verzeichnis der Gemälde Gallerie";"1878 [Erscheinungsdatum]";Buch;3994;;;2007-02-05;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/322449;
Suchmeldung;Einzelobjekt;167744;"Unbekannt (Deutsch) [Künstler:in]";"Rundschild, geschwärztes Eisen";"1546/1555 [Datierung]";"Waffen / Zubehör";"W.-G.-I. Nr. 4307";;"Die Exponate wurden am 8.2.1946 auf Veranlassung des sowjetischen Stadtkommandanten von Eisenach in die Gastwirtschaft 'Clemda' in der Clemdastraße gebracht und dort in Kisten verpackt. Die Kisten wurden am 24.2.1947 auf Anweisung eines Gardegenerals von der Sowjetischen Militäradministration in Weimar in Waggons der Reichsbahn verladen. Bestimmungsort war Merseburg.";2001-08-08;"Auf der Wartburg 1
99817 Eisenach
+49 (0) 36 91 25 00
+49 (0) 36 91 20 33 42
info@wartburg.de
http://www.wartburg-eisenach.de/frame_st.htm
Günter Schuchardt (Direktor / Burghauptmann)
+49 (0) 36 91 25 00
info@wartburg.de";https://www.lostart.de/de/Verlust/167744;"Domagala, Rosemarie: Die Rüstkammer der Wartburg; Kleine Schriftenreihe der Wartburgstiftung, Bd. 3, hg. von der Wartburg-Stiftung; Druckhaus Dierichs; Kassel; 1990Diener-Schönberg, Alfons: Die Waffen der Wartburg. Beschreibendes Verzeichnis der Waffensammlung S.K.H. des Grossherzogs Wilhelm Ernst von Sachsen-Weimar-Eisenach; Mit ... Abb. ... nach photographischen Aufnahmen von Hans Lucas von Cranach; Berlin; 1912 Nr. 270"
Fundmeldung;Einzelobjekt;471439;"Seyffarth, Ludwig Wilhelm *1829-1903* [Autor:in]
Siegismund & Volkening [Verlag]";"Johann Amos Comenius nach seinem Leben und seiner pädagogischen Bedeutung";"1883 [Dokumentdatum]";Buch;"Se 92800";"Weitere Informationen im Online-Katalog der Bibliothek der Berlin-Brandenburgischen Akademie der Wissenschaften: Externer Link";"Stempel: Siegel der Comenius-Gesellschaft. Gestiftet zu Berlin 10. Oct. 1891Stempel: Deutsche Akademie der Wissenschaften zu Berlin, BibliothekQuelle: Zugangsbuch Alle Erwerbungsarten 1950-1953 der Deutschen Akademie der Wissenschaften zu Berlin 1951/77, ""unbekannt"", inventarisiert als Kauf 1951-01-25Verdacht auf NS-Raubgut";2013-03-06;"Bibliothek der Berlin-Brandenburgischen Akademie 
der Wissenschaften
Unter den Linden 8
10117 Berlin
(030) 20370487
(030) 20370476
http://bibliothek.bbaw.de
Dr. Marianne Seidig (Leiterin der Akademiebibliothek)
(030) 20370487
seidig@bbaw.de";https://www.lostart.de/de/Fund/471439;
Suchmeldung;Einzelobjekt;296527;"Guibal-Schule [Künstler:in]";"Minerva ?";;Zeichnung;"C 00000";;;2003-10-23;"Staatsgalerie Stuttgart
Konrad-Adenauer-Str. 30 - 32
70173 Stuttgart
+49 (0) 711 470 40 0
+49 (0) 711 236 99 83
info@staatsgalerie.de
http://www.staatsgalerie.de/
Johanna Poltermann (Provenienzforscherin)
+49 (0) 711 470 40-462 (-250)
johanna.poltermann@staatsgalerie.bwl.de";https://www.lostart.de/de/Verlust/296527;
Suchmeldung;Einzelobjekt;188985;"Vincentius Ferrerius [Autor:in]
Konr. Zeninger [Drucker:in]";"Opusculum de fine mundi";;"Wiegendruck / Frühdruck";"Script. eccl. 1312";;"1945 Verlust am Auslagerungsort Schloss Mutzschen.
Auslagerung (Mutzschen, Schloss Mutzschen)";2001-08-08;"Universitätsbibliothek
'Bibliotheca Albertina'
Leipzig
Beethovenstr. 6
04107 Leipzig
+49 (0)341 97 30500
(0341) 9730596
http://www.ub.uni-leipzig.de
Dr. Anne Lipp (Direktorin)
+49 (0)341 9730501
lipp@ub.uni-leipzig.de";https://www.lostart.de/de/Verlust/188985;
Suchmeldung;Einzelobjekt;445345;"Neisse [Künstler:in]";"Korps-Jägerbüchse mit Hirschfänger";"1801/1830 [Datierung]";"Waffen / Zubehör";02.242;"Achtkantiger Lauf, Nasenband mit Schraube. Hirschfängerhalter, kleines Messingkorn, Visier mit zwei Klappen. Auf dem Lauf gekröntes Monogramm ""FW"" und die Buchstaben ""G"" und ""PL"". Schloss französische Form, Messingpfanne ohne Schirm, Schaft mit Schublade, eiserner Ladestock. Hirschfänger mit schwarzer Scheide. Scheide mit gekröntem ""FW"". Schubdeckel innen beschrieben: ""G.A. Zollner in Suhl"". Gewicht: 5.075 g; Lauf: 67 cm lang, Kal. 1,5";"Dieses Objekt wurde 1902 erworben";2011-09-19;"Stiftung Deutsches Historisches Museum
Unter den Linden 2
10117 Berlin
+49 (0) 30 203 040 
+49 (0) 30 20304543
info@dhm.de
http://www.dhm.de/
Dr. Brigitte Reineke (Leiterin Zentrale Dokumentation und Provenienzforschung)
+49 (0) 30 203 04406
reineke@dhm.de
Fritz Backhaus (Direktor Sammlungen)
+49 (0) 30 203 04200
backhaus@dhm.de
Prof. Dr. Raphael Gross (Präsident)
+49 (0) 30 203 04101
praesident@dhm.de";https://www.lostart.de/de/Verlust/445345;
Suchmeldung;Einzelobjekt;416044;;"Große Flaschenvase";"1736/1796 [Datierung]";Gefäß;;"Mit Sang-de-bŒuf-artiger, etwas geflammter Glasur. Ch`ien-lung.";"Zwangsversteigerung: Die Bestände der Firma Dr. Otto Burchard & Co., Berlin, in Liquidation, Auktionskatalog Paul Graupe, Berlin, Versteigerung 140, 22. und 23. März 1935, Losnummer 233.";2009-11-24;"Pierre-Yves Samson (Nachtragsliquidator)
liquidator@oppenheimer.legal";https://www.lostart.de/de/Verlust/416044;
Fundmeldung;Einzelobjekt;570970;"Kedem [Verlag]";"Arbeiterinnen erzählen : Kampf und Leben in Erez Jisrael";"1935 [Erscheinungsdatum]";Buch;"NSR A/584683";"Weitere Informationen im Campus-Katalog Bibliothekssystem der Universität Hamburg: Externer Link";"Vorbesitz: Deutsches Reich, Geheime Staatspolizei | Erläuterung: LieferantZugang: Bibliothek der Hansestadt Hamburg | Zugangsnummer D 1941/11381 | NS-Raubgut";2017-10-25;"Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky
Von-Melle-Park 3
20146 Hamburg
(040) 040 42838 3352
http://www.sub.uni-hamburg.de
Blödorn-Meyer, Dr. Petra (Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste)
040 42838 5858
Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste
nsraubgut@sub.uni-hamburg.de";https://www.lostart.de/de/Fund/570970;
