Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Fundmeldung;Einzelobjekt;526543;"Parvus [Autor:in]
Buchhandlung Vorwärts [Verlag]";"Der Klassenkampf des Proletariats ; [4]. Der Sozialismus und die soziale Revolution";"1910 [Erscheinungsdatum]";Buch;"Fc 8555/25-3/4<a>";"Etikett: Sozialdemokratischer Verein für den Wahlkreis Bielefeld-Wiedenbrück, Ortsgruppe Isselhorst, Buch-Nr. 35. Die Leihfrist dieses Buches beträft 4 WochenEingeklebter Zettel: ""Bibliothek-Reglement ...""Hs. Nummer auf der Rücks. des Titelbl.: Pol. 2.235Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Verdacht auf NS-RaubgutProvenienz: Sozialdemokratischer Verein für den Wahlkreis Bielefeld-Wiedenbrück, Ortsgruppe Isselhorst / EtikettSozialdemokratische Partei Deutschlands / Ortsverein <Isselhorst> NS-Raubgut";2015-03-17;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/526543;
Suchmeldung;Einzelobjekt;295261;;Straßensänger;"1801/1900 [Datierung]";Malerei;"480-kleines russisches sh, kleines russisches s";Gemälde;;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)
61002 Kharkiv Oblast
+38 (256) 706-33-95 
artmuseum_kharkiv@i.ua
http://artmuseum.kh.ua/
Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))
+38 (057) 706 33 95
artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/295261;
Suchmeldung;Einzelobjekt;84274;"Ermisch, Hubert [Autor:in]";"Erläuterungen zur historisch-statistischen Grundkarte";"1899 [Erscheinungsdatum]";Buch;6497;;;2001-08-08;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/84274;
Fundmeldung;Einzelobjekt;533283;"Maltitz, Gotthilf A. [Autor:in]
Hoffmann & Campe [Verlag]";"Pfefferkörner ; H. 2";"1832 [Erscheinungsdatum]";Bibliotheksgut;;"Weitere Informationen im Campus-Katalog Bibliothekssystem der Universität Hamburg: Externer Link";"Vorbesitz: Jellinek-Mercedes, Raoul Fernand | Exlibris | ProvenienzmerkmalVorbesitz: Erdmann, Eduard | ExlibrisZugang: Bibliothek der Hansestadt Hamburg | NS-RaubgutAbgang: Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky | Restitution | Datum 2016-10-07
Status
restituiert";2016-05-23;"Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky
Von-Melle-Park 3
20146 Hamburg
(040) 040 42838 3352
http://www.sub.uni-hamburg.de
Blödorn-Meyer, Dr. Petra (Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste)
040 42838 5858
Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste
nsraubgut@sub.uni-hamburg.de";https://www.lostart.de/de/Fund/533283;
Suchmeldung;Einzelobjekt;429154;"Corinth, Lovis [Künstler:in]";Stillleben;;Zeichnung;;"Leuchter mit brennender Kerze";"Sammlung Arthur Nahm, Mannheim; Beschlagnahme und Verwertung des Umzugsgutes; Umzugsgut von Rotterdam nach Mannheim zurückverbracht und dort verwertet";2011-01-12;"von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/429154;
Suchmeldung;Einzelobjekt;321386;;"Katalog der allgemeinen Deutschen Ausstellung auf dem Gebiete der Hygiene und Rettungswesen";"1883 [Erscheinungsdatum]";Buch;1910;;;2007-02-05;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/321386;
Suchmeldung;Einzelobjekt;414114;"Wolf, Rudolf [Künstler:in]";"Zwei Reiter in alter Tracht und ein graues Pferd";;Malerei;;;"Wien/ Verlust nach 1938. Der Großvater des Anspruchstellers, Ignatz Pick, besaß eine Galerie für Klassische Kunst und hatte eine große Privatsammlung in Wien. Nach dem Anschluss Österreichs wurde erst in der Galerie und später auch in der Privatsammlung von Ignatz Pick ein NS-Interimsverwalter namens Robert Grehs eingesetz";2009-06-02;"HCPO (Holocaust Claims Processing Office)
claimsques@dfs.ny.gov";https://www.lostart.de/de/Verlust/414114;
Suchmeldung;Einzelobjekt;424480;"Silvestre, Louis (der Jüngere) [Künstler:in]";"Porträt des Kronprinzen";"1686/1750 [Datierung]";Malerei;"інв. Н/3/ІІ";"Objekt-Nr. 1.815; Porträt";;2010-11-26;"Stefanyk Str. 3 (вул. Стефаника 3)
79000 Lviv
+ 38 (032) 261 44 48
lviv.national.gallery@gmail.com
Taras S. Voznyak (Тарас Степанович Возняк) (Generaldirektor (Генеральний директор))
+38 (032) 261 44 48
lviv.national.gallery@gmail.com";https://www.lostart.de/de/Verlust/424480;
Fundmeldung;Einzelobjekt;473637;"Đelošević, Dragoš M. [Autor:in]
Kon [Verlag]";"Poljska fortifikacija";"1933 [Erscheinungsdatum]";Buch;54-4-1151;;"Knjižara Gece Kona <Beograd>
Status
restituiert";2013-05-06;"Universitätsbibliothek
'Bibliotheca Albertina'
Leipzig
Beethovenstr. 6
04107 Leipzig
+49 (0)341 97 30500
(0341) 9730596
http://www.ub.uni-leipzig.de
Dr. Anne Lipp (Direktorin)
+49 (0)341 9730501
lipp@ub.uni-leipzig.de";https://www.lostart.de/de/Fund/473637;
Fundmeldung;Einzelobjekt;448370;"Erdmannsdörffer, Hans Gustav / Verf. e. Vorw.: Oeser, Rudolf [Autor:in]
Zentralverlag [Verlag]";"Der Kampf um Ruhr und Rhein : deutsche Reparationen - französischer Rechtsbruch";"1923 [Erscheinungsdatum]";Buch;"8 H RHEN 842/e";"Weitere Informationen im Göttinger Universitätskatalog: Externer Link";"Verdacht auf NS-Raubgut; Bezugsquelle: Landratsamt Kreis Leer in Ostfriesland; Stempel: Überreicht durch: Reichszentrale für Heimat die(...) Landesabteilung Oldenburg-(...) Bremen, Domhof 12Provenienz: Landratsamt Kreis Leer in OstfrieslandProvenienz: Überreicht durch Reichszentrale für Heimat die(...) Landesabteilung Oldenburg-(...) Bremen / StempelZugang: 1935-06-25 / Verdacht auf NS-RaubgutLandratsamt <Kreis Leer in Ostfriesland>";2011-11-18;"Niedersächsische Staats- und 
Universitätsbibliothek Göttingen
Platz der Göttinger Sieben 1
37073 Göttingen
http://www.sub.uni-goettingen.de
Dr. Christian Fieseler (Leiter der Abt. Spezialsammlungen)
0551-3925280
fieseler@sub.uni-goettingen.de
Dr. Wilfried Enderle  (Fachreferat Geschichte)
0551-395200
enderle@sub.uni-goettingen.de";https://www.lostart.de/de/Fund/448370;
