Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Fundmeldung;Einzelobjekt;477136;"Mann, Heinrich [Autor:in]
Zsolnay [Verlag]";"Gesammelte Werke. Mutter Marie";"1927 [Erscheinungsdatum]";Buch;"NSR A/9285";"Weitere Informationen im Campus-Katalog Bibliothekssystem der Universität Hamburg: Externer Link";"Vorbesitz: Bibliothek Heckscher | Erläuterung: Verdacht auf NS-Raubgut, Kennung NS-RaubgutVorbesitz: Deutsches Reich, Geheime Staatspolizei | Erläuterung: LieferantZugang: Bibliothek der Hansestadt Hamburg | Zugangsnummer D 1940/948 | NS-RaubgutZugang: Bibliothek der Hansestadt Hamburg | Zensurexemplar | Erläuterung: Stempel Sekretiert, Schrift abgekratzt";2013-09-27;"Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky
Von-Melle-Park 3
20146 Hamburg
(040) 040 42838 3352
http://www.sub.uni-hamburg.de
Blödorn-Meyer, Dr. Petra (Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste)
040 42838 5858
Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste
nsraubgut@sub.uni-hamburg.de";https://www.lostart.de/de/Fund/477136;
Suchmeldung;Einzelobjekt;5000004642;"Neumayr, Melchior [Autor:in]
R. Oldenbourg [Verlag]";"Die Ornatenthone von Tschulkowo und die Stellung der russischen Jura";"1876 [Erscheinungsdatum]";Buch;;;;2006-01-09;"Humboldt-Uni Berlin Museum für
Naturkunde, Geologisch-
Paläontolog. Inst. u. Museum
10117 Berlin
(030) 20932770
Frau Ebber, Petra (Sekretärin)
030 20 93 88 62
petra.ebber@museum.hu-berlin.de";https://www.lostart.de/de/Verlust/5000004642;
Suchmeldung;Einzelobjekt;314051;"Andree, Julius [Künstler:in]";"13 Blätter architektonische Zeichnungen: Fürstenschloß in einer Provinzialstadt";"1879 [Datierung]";Zeichnung;;;;2006-05-24;"Akademie der Künste
Kunstsammlung
Luisenstraße 60
10117 Berlin
(030) 200 57 4030 
(030) 200 57 4033
kunstsammlung@adk.de
http://www.adk.de
Doris Kachel (Provenienzforschung)
+49(0)30 200 57- 40 36
kachel@adk.de";https://www.lostart.de/de/Verlust/314051;
Suchmeldung;Einzelobjekt;226677;"Georges, Karl Ernst [Autor:in]
Hahn [Verlag]";"Gnomologia sive veterum Latinorum sententiae. Collegit ...";"1863 [Erscheinungsdatum]";Buch;"Jac 1635, 1636";"168 S.";"In das Schloss Kynau (die Angaben über diesen Ort sind widersprüchlich, zunächst heißt es Künau bei Grünberg, dann Schloss Kuhnau, gemeint ist aber wohl doch Kynau im Kreis Waldenburg, heute Zagorze Slaskie) wurden im Juni 1943 60 Kisten mit ca. 7.500 Bänden verlagert, die den wertvollsten Teil der Göritz-Lübeck-Stiftung, die Sammlung Friedlaender (12 Kisten), die Sammlung Jacobsen, die Werther-Sammlung (1 Kiste) enthielten. Nach einem Bericht vom 2.5.1945 soll das Bergungsgut abtransportiert worden sein.
Auslagerung (Kynau (Waldenburg), Schloss Kynau)";2001-08-08;"Zentral- und Landesbibliothek Berlin 
Abteilung 4 | Landesbibliothek
Breite Straße 30-36
10178 Berlin
http://www.zlb.de 
Zentral- und Landesbibliothek Berlin (Abteilung 4 | Landesbibliothek)
+49 30 90226-466
landesbibliothek@zlb.de";https://www.lostart.de/de/Verlust/226677;
Suchmeldung;Einzelobjekt;436038;"Menzel, Adolph [Künstler:in]";"Wirklichkeit und Ende";"1834 [Datierung]";Druckgrafik;;"beiliegende Dublette, Lithographie auf blauem Papier, monogrammiert A.M., ""Künstlers Erdenwallen"" herausgegeben von L. Sachse & Co., Berlin 1834, Folge von 11 Kompositionen auf sechs Blättern";"21.03.1942 Auktion bei Galerie Fischer,Luzern, Nr. 344 f); 1942 Erwerb durch Posse";2011-05-10;"von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/436038;
Fundmeldung;Einzelobjekt;480671;"Thüringer Verl.-Anst. [Verlag]";"Sozialismus und Bevölkerungspolitik : Tagung in Jena 25/26. Sept. 1926";"1926 [Erscheinungsdatum]";Buch;"Fe 8983/120";"Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Vorbesitz: Goethe-Universität Frankfurt am Main, Institut für Sozialforschung, BüchereiZugang: Preußische Staatsbibliothek | Zugangsnummer Ifs Z 58 | NS-Raubgut | Erläuterung: Verdacht auf NS-Raubgut";2014-02-19;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/480671;
Fundmeldung;Einzelobjekt;534557;"Saphir, Adolph [Autor:in]
Hinrichs [Verlag]";"Christus und die Schrift";"1882 [Erscheinungsdatum]";Buch;581378;"Lila LeineneinbandWeitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Vorbesitz: NN | Notiz | Erläuterung: Hs. Eintrag auf dem vorderen Spiegel: Catal.137Vorbesitz: NN | Nummer 1102/457 | Erläuterung: Hs. Eintrag auf dem Vortitelblatt: 1102/457Vorbesitz: Gesellschaft zur Beförderung des Christentums unter den Juden, Berlin | Bibliotheksexemplar | Stempel | Erläuterung: Gesellschaft z. Beförderung d. Christenthums u. d. Juden in Berlin. [überstempelt mit] Ausgeschieden | ProvenienzmerkmalVorbesitz: Gesellschaft zur Beförderung des Christentums unter den Juden, Berlin | Bibliotheksexemplar | Signatur Gb. 22 | Erläuterung: Hs. Eintrag auf dem Titelblatt neben dem Stempel der Gesellschaft: Gb. 22Vorbesitz: Reichsinstitut für Geschichte des neuen Deutschlands, Berlin | Stempel | Erläuterung: Stempel auf S. 43: Reichsinstitut für Geschichte des neuen Deutschlands | ProvenienzmerkmalVorbesitz: Reichsinstitut für Geschichte des neuen Deutschlands, Bibliothek | Bibliotheksexemplar | Stempel | Erläuterung: Reichsinstitut für Geschichte des neuen Deutschlands, Bibliothek [überstempelt mit] Ausgeschieden | ProvenienzmerkmalVorbesitz: Reichsinstitut für Geschichte des neuen Deutschlands, Bibliothek | Bibliotheksexemplar | Nummer 23764 | Erläuterung: Hs. Eintrag auf dem Titelblatt neben dem Stempel des Reichsinstituts: 23764Vorbesitz: Reichsinstitut für Geschichte des neuen Deutschlands, Bibliothek | Bibliotheksexemplar | Signatur R 7112 | Erläuterung: Hs. Eintrag auf dem Titelblatt oben: R 7112Vorbesitz: Reichsinstitut für Geschichte des neuen Deutschlands, Bibliothek | Bibliotheksexemplar | Notiz | Erläuterung: Hs. Eintrag auf dem Titelblatt unten: R.J.Vorbesitz: Warthmüller | Erläuterung: LieferantZugang: Staatsbibliothek Preußischer Kulturbesitz | NS-Raubgut | Datum 1982-11-11 | Erläuterung: Als Donum inventarisiertAbgang: Staatsbibliothek zu Berlin | Restitution | Datum 2016-08-18 | Erläuterung: Restituiert an das Berliner Missionswerk der Evangelischen Kirche Berlin-Brandenburg-schlesische Oberlausitz
Status
restituiert";2016-11-17;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/534557;
Suchmeldung;Einzelobjekt;528690;"Unbekannt (Deutsch) [Künstler:in]";"Zwei Zeugdrucke, früher eine Altardecke, jetzt geteilt";"1400 (um) [Datierung]";"Gebrauchs- / Raumtextilie";;"Unter Glas in braunem Holzrahmen.  Spätgotik. Ergänzend bei Ball: Photos: 91084, 91085 und 16)";"Mayer-Fuld, Lucie - Berlin; 1938 durch Nationalsozialisten in Berlin  beschlagnahmt, ""Anmeldung zu Vermögensverlusten nach dem Krieg vor den Wiedergutmachungsämtern Berlin"", Anlage zu B, 5a, Nr. 48; Brief von A. R. Ball Works of Art ""The Dorset"" 30 West 54th Street, Circle 7-7300 vom 19. November 1960 an Frau Mayer-Fuld";2015-09-02;"Von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 00
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/528690;
Suchmeldung;Einzelobjekt;308573;;"Hanauer Fächerteller";"1701/1800 [Datierung]";"Kunsthandwerk / -gewerbe";"Auktionskatalog Graupe Teil 1/290";"Hanauer Fächerteller mit tiefem Fond und blauem Chinesendekor.";"Am 25. und 26. Januar 1935 (Teil 1) bzw. am 26. und 27. April 1935 (Teil 2) bei Paul Graupe, Berlin, versteigert.";2005-05-23;"Pierre-Yves Samson (Nachtragsliquidator)
liquidator@oppenheimer.legal";https://www.lostart.de/de/Verlust/308573;
Fundmeldung;Einzelobjekt;571197;"La Farge, Oliver [Autor:in]
Tauchnitz [Verlag]";"Tauchnitz edition of British and American authors ; 5192. Laughing boy";"1935 [Erscheinungsdatum]";Buch;"NSR A 1943/1870";"Weitere Informationen im Campus-Katalog Bibliothekssystem der Universität Hamburg: Externer Link";"Vorbesitz: Lippmann, Leo | NummerZugang: Bibliothek der Hansestadt Hamburg | Zugangsnummer K 1943.5789 | NS-RaubgutVorbesitz: Hamburg, Gerichtsvollzieheramt | NS-Raubgut | Erläuterung: LieferantZugang: Staats- und Universitätsbibliothek Hamburg | NS-Raubgut | Erläuterung: Verdacht auf NS-Raubgut, Kennung: entschädigt";2017-10-25;"Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky
Von-Melle-Park 3
20146 Hamburg
(040) 040 42838 3352
http://www.sub.uni-hamburg.de
Blödorn-Meyer, Dr. Petra (Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste)
040 42838 5858
Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste
nsraubgut@sub.uni-hamburg.de";https://www.lostart.de/de/Fund/571197;
