Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;283180;"Hollpein, Heinrich [Künstler:in]";"Bildnis von Feliks Sobanski";"1848 [Datierung]";Malerei;"963 Y-185";"Gemälde; links unten eine Signatur: Hollpein 1848.";;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)
01004 Kiew
+38 (044) 287-12-44
museumru@ukr.net
http://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.html
Yuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))
+38 (044) 287-12-44
museumru@ukr.net";https://www.lostart.de/de/Verlust/283180;
Suchmeldung;Einzelobjekt;440240;"Unbekannt (Deutsch (Nymphenburg)) [Künstler:in]";"Ein Paar Figürchen aus der Serie ""ovidische Götter""";;Kleinkunst;;"Paar Figürchen aus der Serie ""ovidische Götter"", Proserpina und Vulkan in bunter Bemalung und Vergoldung. Ohne Marke.";"Sammlung Otto Jourdan, Frankfurt/Main; 26./27.10.1937 Versteigerung Nr. 52 Kunsthaus Hahn, Frankfurt/Main (Katalog-Nr. 402)";2011-09-12;;https://www.lostart.de/de/Verlust/440240;
Fundmeldung;Einzelobjekt;519568;"Adam, Otto [Autor:in]
Klöppel [Drucker] [Verlag]";"Die Hussiten : ein Schauspiel in fünf Aufzügen";"1890 [Erscheinungsdatum]";Buch;"Yp 5005-10";"Aus restauratorischen Gründen für die Benutzung gesperrtMit Orig.-Umschl.Etikett der Preußischen Staatsbibliothek: Bibliothek deutscher Privat- und Manuskriptdrucke - D 1939.1, [hs. erg.] 10 Deutsche Lit. 8, 850Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"NS-Raubgut. Quelle: Akzessionsjournal der Preußischen Staatsbibliothek D 1939.1 ""Gesellschaft f. deutsche Literatur Bln."", inventarisiert als Donum 1939-04-01Provenienz: Gesellschaft für Deutsche LiteraturProvenienz: Gesellschaft für Deutsche Literatur, Bibliothek Deutscher Privat- und ManuskriptdruckeProvenienz: Preußische Staatsbibliothek <Berlin> / Zugang / Datum 1939-04-01 / Zugangsnummer D 1939.1 / NS-RaubgutProvenienz: Preußische Staatsbibliothek <Berlin> / Etikett / Zugangsnummer D 1939.1,10Gesellschaft für Deutsche Literatur Preußische Staatsbibliothek <Berlin> NS-Raubgut";2014-06-23;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/519568;
Fundmeldung;Einzelobjekt;453194;"Koerber, Lenka [Autor:in]
Societäts-Verl. [Verlag]";"Menschen im Zuchthaus";"1930 [Erscheinungsdatum]";Buch;"28, 8 : 233 [1]";"Weitere Informationen im Online-Katalog NS-Raubgut der Herzogin Anna Amalia Bibliothek";"Sammlung Preußische Staatsbibliothek und Reichstauschstelle <Weimar, Herzogin-Anna-Amalia-Bibliothek>Forschungssammlung NS-Raubgut <Weimar, Herzogin-Anna-Amalia-Bibliothek>Vorbesitz: NN | MerkzeichenVorbesitz: Deutsche Staatsbibliothek | Erläuterung: Lieferant. - Quelle: Zugangsbuch: Loc A: 200.1933Zugang: Thüringische Landesbibliothek Weimar | Stempel | Zugangsnummer 1936.211 | Datum 1936-06-11 | Erläuterung: Erwerbungsart: ÜSammlung: Sammlung Preußische Staatsbibliothek und Reichstauschstelle";2012-04-10;"Klassik Stiftung Weimar / Herzogin Anna Amalia Bibliothek
Platz der Demokratie 1
99423 Weimar
+49 (0) 3643 545 200  
+49 (0) 3643 545 220 
haab@klassik-stiftung.de
http://www.klassik-stiftung.de/einrichtungen/herzogin-anna-amalia-bibliothek/";https://www.lostart.de/de/Fund/453194;
Suchmeldung;Einzelobjekt;5000004539;"Dienemann, W.; Burre, Otto [Autor:in]
Enke Verlag [Verlag]";"Die nutzbaren Gesteine Deutschlands und ihre Lagerstätten. Mit Ausnahme der Kohlen, Erze und Salze";"1929 [Erscheinungsdatum]";Buch;;;;2005-12-12;"Humboldt-Uni Berlin Museum für
Naturkunde, Geologisch-
Paläontolog. Inst. u. Museum
10117 Berlin
(030) 20932770
Frau Ebber, Petra (Sekretärin)
030 20 93 88 62
petra.ebber@museum.hu-berlin.de";https://www.lostart.de/de/Verlust/5000004539;
Suchmeldung;Einzelobjekt;284588;"Winogradoff, Ssergej Arssenjewitsch [Künstler:in]";"Die Flegel";"1886/1915 [Datierung]";Zeichnung;"p 1566";Zeichnung;;2003-06-25;"Gruschevsky St. 6 (вул. Грушевського 6) 
01001 Kiew
+38 (044) 278 13 57
info@namu.ua 
https://namu.ua/
Yuliya O. Lytvynets (Юлія Олександрівна Литвинець) (Generaldirektorin (Генеральний директор))
+38 (044) 278 13 57
info@namu.ua | lytvynets76@gmail.com";https://www.lostart.de/de/Verlust/284588;
Suchmeldung;Einzelobjekt;148736;"Dolhopff, Georg Andreas [Herausgeber]
Dolhopff [Verlag]";"Lapis Mineralis Oder Die höchste Artzney/ Auß Denen Metallen und Mineralien/ Absonderlich dem Vitriolo";"1681 [Erscheinungsdatum]";Buch;;;;2001-08-08;"August-Bebel-Str. 50a
06108 Halle (Saale)
+49 (0) 345 47 239 147
+49 (0) 345 47 239 149
bibliothek@leopoldina.org
http://www.leopoldina.org
Deutsche Akademie der Naturforscher Leopoldina e. V.
+49 (0) 345 47 239 147
bibliothek@leopoldina.org";https://www.lostart.de/de/Verlust/148736;
Suchmeldung;Einzelobjekt;310179;"Unbekannt (Deutsch) [Künstler:in]";"Ein Paar Eckschränke, Louis XVI.";"1780 (um) [Datierung]";Möbel;"Auktionskatalog Graupe Teil 2/493";"Geschweifte Form auf kurzen Vierkantbeinen, die Tür geschnitzt mit Blumenornament. Achen.";"Am 26. und 27. April 1935 (Teil 2) bei Paul Graupe, Berlin, versteigert.";2005-08-17;"Pierre-Yves Samson (Nachtragsliquidator)
liquidator@oppenheimer.legal";https://www.lostart.de/de/Verlust/310179;
Suchmeldung;Einzelobjekt;129813;"Meulen, Adam Frans van der (Kopie) [Künstler:in]";"Ludwig XIV. im Gefecht am Kanal von Brügge";"1650/1741 [Datierung]";Malerei;"Gal.-Nr. 1116";"Im Mittelgrund tobt das Gefecht. Vorn im Walde sprengen der König und ein Offizier, der entblößten Hauptes neben ihm reitet, fast von hinten gesehen, dahin.";"1741 duch v. Keyserlingk; 1937 in einer Dienststelle des Auswärtigen Amtes. Inv. ""vor 1741"" (Nachtrag).";2001-08-08;"Staatliche Kunstsammlungen Dresden 
Gemäldegalerie Alte Meister 
Zwinger
Theaterplatz 1
01067 Dresden
+49 (0)351 4914 6679
AlteMeister@skd.museum
https://www.skd.museum/ 
Direktion
+49 (0)351 4914 6679";https://www.lostart.de/de/Verlust/129813;"Marx, Harald (Hrsg.). Gemäldegalerie Alte Meister Dresden. Illustriertes Gesamtverzeichnis Bd. II, Köln 2005, S. 737."
Suchmeldung;Einzelobjekt;87008;"Rosenberg, Adolf [Autor:in]";"Geschichte der modernen Kunst";"1889 [Erscheinungsdatum]";Buch;11806;;;2001-08-08;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/87008;
