Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;283057;"Alekseev, Fedor Jakovlevic [Künstler:in]";"Italienische Stadtlandschaft";;Malerei;"russisches Sh-146";Gemälde;;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283057;
Suchmeldung;Einzelobjekt;283058;"Wassiljeff, Fjodor Alexandrowitsch [Künstler:in]";Landschaft;;Malerei;"russisches Sh-150 H-86";Gemälde;;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283058;
Suchmeldung;Einzelobjekt;283059;"Kryloff, Nikofor Stepanowitsch [Künstler:in]";"Kinder auf den Garben";;Malerei;"russisches Sh-153";Gemälde;;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283059;
Suchmeldung;Einzelobjekt;283060;"Ssudkowskij, Rufin Gawrilowitsch [Künstler:in]";Meer;;Malerei;"russisches Sh-162";Gemälde;;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283060;
Suchmeldung;Einzelobjekt;283061;"Orlowski, Alexander [Künstler:in]";"Orientalisches Motiv";;Malerei;;Gemälde;;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283061;
Suchmeldung;Einzelobjekt;283062;;"Bildnis eines unbekannten Offiziers, des Oberleutnants Iwan Fjesorowitsch Paskewitsch";"1801/1850 [Datierung]";Malerei;;Gemälde;;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283062;
Suchmeldung;Einzelobjekt;283063;"Wereschtschagin, Wassilij Wassiljewitsch [Künstler:in]";Lama;"1874/1876 [Datierung]";Malerei;"4385-a 2389";"Gemälde (oval; Maßangaben beziehen sich auf das Rahmeninnenmaß); Studie von der ersten Indienreise.";;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283063;
Suchmeldung;Einzelobjekt;283064;"Worobjeff, Maxim Nikiforowitsch [Künstler:in]";"Ankunft der Imperatorin Aleksandra Fjodorowna, der Ehefrau von Nikolaj I., in Palermo im Jahr 1845";"1847 [Datierung]";Malerei;"1864 2388 H-167";"Gemälde, Studie; unten in der Mitte eine halbverwischte Signatur (auf Russisch): ?. Worobjeff 1847.";;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283064;
Suchmeldung;Einzelobjekt;283049;"Jassnowskij, Fjodor Iwanowitsch [Künstler:in]";Kuhherde;;Malerei;"russisches Sh+M897-141";Gemälde;;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283049;
Suchmeldung;Einzelobjekt;283050;"Ryloff, Arkadij Alexandrowitsch [Künstler:in]";"Wiese im Wald";"1938 [Datierung]";Malerei;"russisches Sh-102";Gemälde;;2003-06-05;"Tereshchenkivs'ka St. 9 (вул. Терещенківська 9)01004 Kiew+38 (044) 287-12-44museumru@ukr.nethttp://www.primetour.ua/de/excursions/museum/Kievskiy-muzey-russkogo-iskusstva.htmlYuri E. Vakulenko (Юрій Євгенович Вакуленко)  (Generaldirektor (Генеральний директор))+38 (044) 287-12-44museumru@ukr.net";https://www.lostart.de/de/Verlust/283050;
