Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;566358;"Feid, Joseph [Künstler:in]";"Wiener Wald mit Staffagefiguren";"1830 [Datierung]";Malerei;"KAL 98  (ERR)";"Im Vordergrund auf einer Bank Mann mit Fernrohr und auf dem Weg eine Frau mit Kindern. Gerahmt, signiert Joseph Feid 1830. Quelle: US - NARA, RG 260, NARA M1943. Records and photographic prints from the Einsatzstab Reichsleiter Rosenberg (ERR), 1940-1945. Roll 10. ERR Card File. Ka 901 - LAT 22. Blatt 270 - 341.";"Sammlung Emmerich Kálmán, Wien - Paris, - 22.04.1942 Beschlagnahme durch Einsatzstab Reichsleiter Rosenberg (ERR), Paris 22.04.1942 Depot Jeu de Paume";2017-01-31;"Mondex Corporation
info@mondexcorp.com";https://www.lostart.de/de/Verlust/566358;
Fundmeldung;Einzelobjekt;220600;"Amerling, Friedrich von [Künstler:in]";"Südtiroler Bauer mit hohem Hut";;Malerei;mü8575;"Signatur: F. Amerling; Nach halbrechts mit großem Bart; Hut mit Federn.";"1935 Auktionshaus Kende in Wien; 1941 Versteigerung bei Weinmüller in München, von dort über Frau Almas-Dietrich an das Deutsche Reich verkauft";2001-08-08;"Kunstverwaltung des Bundes
Herbert-Bayer-Straße 5
13086 Berlin
provenienzforschung@kvdb.bund.de
http://www.kunstverwaltung.bund.de";https://www.lostart.de/de/Fund/220600;
Fundmeldung;Einzelobjekt;573056;;"Torah shield";"1801/1850 [Datierung]";"Kunsthandwerk / -gewerbe";"B50.02.0326;148/093";"Object Name: Torah shieldSubject: Torah shields";"Received through JRSO (Jewish Restitution Successor Organization)Wiesbaden collecting point number: 3677";2018-01-10;"Israel Museum
POB 71117
9171002 Jerusalem
972-2-6708811
972-2-5631833
info@imj.org.il
Bareket Mann (Registrar)
bareket@imj.org.il";https://www.lostart.de/de/Fund/573056;
Suchmeldung;Einzelobjekt;453506;"Unbekannt [Künstler:in]";Terrine;;Gefäß;13098;"Ornamentale Bemalung in Rot, Grün, Gelb. Terrine ist mehrfach bestoßen.";;2012-04-17;"Staatliche Kunstsammlungen Dresden
Kunstgewerbemuseum
Schloss Pillnitz
August-Böckstiegel-Straße 2
01326 Dresden
(0351) 2613 200
kgm@skd.museum
http://www.skd.museum/
Direktion
(0351) 2613 200
kgm@skd.museum";https://www.lostart.de/de/Verlust/453506;
Suchmeldung;Einzelobjekt;308752;"Tiepolo, Giovanni Battista [Künstler:in]";"Die heilige Anna mit der heiligen Maria";;Gemälde;"Auktionskatalog Graupe Teil 2/96";"Die heilige Anna in hellgrauem Kopftuch neigt sich zu der blonden, blauäugigen Maria, die sie auf den Armen hält. Das Kind ist mit einem leuchtend blauen Mantel bekleidet und hält einen Vogel in der linken Hand. Hellblauer Hintergrund. Goldener Rahmen. Gutachten: Alexandre Benois, Marius Paulme, Voß (""...charakteristische eigenständige Schöpfung des G.B. Tiepolo aus der reifen Zeit seines Schaffens...Einfachheit der Erfindung und Kühnheit der Kontrastwirkung vereinigen sich mit dem unvergleichlichen Zauber der Tierpolesken Palette zu einem Werke von seltener Geschlossenheit und Stärke des Eindruckes."") 24.10.28. Aus venezianischem Besitz.";"Am 26. und 27. April 1935 bei Paul Graupe, Berlin versteigert.";2005-06-24;"Pierre-Yves Samson (Nachtragsliquidator)
liquidator@oppenheimer.legal";https://www.lostart.de/de/Verlust/308752;
Suchmeldung;Einzelobjekt;208558;"Petrus, Jakob (1651) (?) [Künstler:in]";Becher;"1684 [Datierung]";Gefäß;"Nr. 51/34 (Zeichen-Inventar)";"Einer von elf Bechern. Auf den konischen Bechern befindet sich jeweils ein eingraviertes Monogramm (vermutlich ein mehrfach verschlungenes F) mit Fürstenkrone und der Jahreszahl 1684.";;2001-08-08;"Stiftung Schloss Friedenstein 
Gotha
Schlossplatz 1
99867 Gotha
0049 (0) 03621 8234-0
0049 (0) 03621 8234-290
http://www.stiftungfriedenstein.de
Dr. Tobias Pfeifer-Helke (Stiftungsdirektor)
+49 (0) 621-8234 100
vorstand@stiftung-friedenstein.de
Dr. Timo Trümper (Kustode für Gemälde und Plastik)
+49 (0) 3621 8234 553
truemper@stiftung-friedenstein.de
Ronny Licht (Provenienzforscher)
+49 (0) 3621-82 34 329
ronny.licht@friedenstein-stiftung.de";https://www.lostart.de/de/Verlust/208558;"Zeichen-Inventar um 1900, Nr. 51/34"
Fundmeldung;Einzelobjekt;305728;"Jasper, Victor [Künstler:in]";"Bildnis Maximilian I.";"ca. 1600-1900 [Zeitraum]
19th c [Datierung]";Druckgrafik;;"Größe der Druckplatte: 36,4 cm x 29,5 cm; Inschrift des Druckes: ""V. Jasper sct.; A. Dürer pxt.""";"1947: Privatsammlung Finnland? (Finnish collector?); seit (since) 1947: Museumsbesitz Finnland (Finnish museum collection)";2004-11-24;"Hakkarainen, Maarit (Projektleiterin)
Tiina Koivulahti, Ph.Lic. (Projektleiterin)
tiina.e.koivulahti@gmail.com";https://www.lostart.de/de/Fund/305728;
Suchmeldung;Einzelobjekt;484426;"Hintze, Heinrich [Künstler:in]";"Nordende der Breiten Straße mit Blick auf das Schloss";"1830 (um) [Datierung]";Malerei;"XI 26377";;"aus altem Besitz 04.05.1929 neuinventarisiert";2014-03-12;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/484426;
Fundmeldung;Einzelobjekt;475080;"Lienemann, August Wilhelm [Künstler:in]";"Salzlöffel mit Wildschweinklaue";"1809 (vor) [Datierung]";Essbesteck;"KH 2003/7 SE";"Kleiner eiförmiger Löffel, glatt angesetzt stabförmiger Stiel, in der Mitte in Spirale gedreht, das obere Ende als Wildschweinklaue gebildet. Meistermarke, Steuerstempel 1809.";"unbekannt, lt. Inventarbuch: Alter Besitz des Berlin Museums";2013-06-24;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Fund/475080;
Fundmeldung;Einzelobjekt;578921;"Fendi, Peter [Künstler:in]";"Vorhalle einer Kirche mit Kruzifix, Priester und Messknaben";"1801/1850 [Datierung]";Aquarell;"C 1944-310";;"Carl Heumann, Chemnitz; Februar 1944 Kunstantiquariat C. G. Boerner, Leipzig; 15. Mai 1944 vom Kunstantiquariat C. G. Boerner, Leipzig, für den ""Sonderauftrag Linz"" erworben
Status
restituiert";2018-08-30;"Staatliche Kunstsammlungen Dresden
Kupferstich-Kabinett 
Taschenberg 2
01067 Dresden
(0351) 4914 3210
kk@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 3210
kk@skd.museum";https://www.lostart.de/de/Fund/578921;
