Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;307569;"Unbekannt (Chinesisch) [Künstler:in]";"sackförmige Vase mit schmalem Hals";"1500-1900 [Zeitraum]
1601/1700 [Datierung]";Gefäß;;;"bis 1942 Sammlung Max Rüdenberg, Hannover; am 1. Juli 1942 konfisziert und im Januar 1943 versteigert bei Urban in Hannover";2005-04-25;;https://www.lostart.de/de/Verlust/307569;
Suchmeldung;Einzelobjekt;593600;"Porzellanmanufaktur Meissen [Manufaktur]";"Unterschale eines Schokoladenbechers";"1720-25 (um) [Datierung]";Gefäß;;"[Schokoladebecher mit Unterschale; (Der Schokoladebecher wurde 1991 restituiert; Anm. SKD, Porzellansammlung Dresden)]. [...] Im Spiegel der Unterschale entsprechende Szene [Chinesenbilder in radierter Goldmalerei auf schmalen Streifen, darunter Laub- und Bandelwerk] mit vornehmem Chinesen auf einer von zwei Dienern getragenen Bahre und Schirmträger. Breiter Goldrand mit entsprechender Bordüre. [...] Ohne Marke. Lüsterzeichen O und C.";"[…] bis Dezember 1926, Gustav von Klemperer (gest. 27.12.1926), Dresden [1]; 30.06.1927, Nachlassregelung, Nachlass zu gleichen Teilen an Victor, Herbert-Otto und Ralph-Leopold von Klemperer [2]; November 1938, Sicherstellung der Porzellansammlung in der Villa von Victor von Klemperer durch die Geheime Staatspolizei, Dresden [3]; Dezember 1938, Abtransport der Porzellansammlung aus der Villa von Victor von Klemperer, Tiergartenstraße 64, Dresden, in das „Johanneum“, Staatliche Porzellansammlung Dresden, Augustusstraße 1, Dresden [4]; November 1941, Verfall des Vermögens der Familie von Klemperer an das Deutsche Reich gemäß der 11. Verordnung zum Reichsbürgergesetz [5]; Januar 1943, unentgeltliche Übertragung der Sammlung von Klemperer an das Land Sachsen auf Grundlage eines Entscheids von Adolf Hitler [6]; 1943, kriegsbedingte Auslagerung aus der Staatlichen Porzellansammlung Dresden nach Schloss Rammenau in Sachsen [7]";2021-02-08;;https://www.lostart.de/de/Verlust/593600;"Porzellansammlung Gustav von Klemperer, Dresden 1928, S. 38, Nr. 19; [1] Anette Loesch, Das Schicksal der Porzellansammlung Gustav von Klemperers, in: Beiträge öffentlicher Einrichtungen der Bundesrepublik Deutschland zum Umgang mit Kulturgütern aus ehemaligem jüdischen Besitz, bearb. von Ulf Häder (= Veröffentlichungen der Koordinierungsstelle für Kulturgutverluste, Bd. 1), Magdeburg 2001, S. 56-77; Andreas Graul, Gustav und Victor von Klemperer. Eine biographische Skizze (= Publikationen der Eugen-Gutmann-Gesellschaft, Bd. 2), Leipzig 2005; Sabine Rudolph, Restitution von Kunstwerken aus jüdischem Besitz. Dingliche Herausgabeansprüche nach deutschem Recht (= Schriften zum Kulturgüterschutz / Cultural Property Studies), Berlin 2007; [2] Rudolph 2007, S. 41-47, hier S. 41; Amtsgericht Dresden, Nachlassakte Gustav von Klemperer, Einantwortungsurkunde des Zivilgerichts für Inner-Prag, 30.06.1927; [3] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/1, Bl. 1-2, Fritz Fichtner (Direktor der Porzellansammlung) an Ministerium für Volksbildung, 01.12.1938; [4] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/1, Bl. 5, (nachrichtlich) Fritz Fichtner, 02.12.1938, entspricht der Anlage zu Bl. 4, Fritz Fichtner an Ministerium für Volksbildung, 03.12.1938; [5] Rudolph 2007, S. 45; [6] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/2, Bl. 1, Reichsministers der Finanzen an Oberfinanzpräsident Dresden, 04.01.1943; ebd., Bl. 10, Oberfinanzpräsident Dresden an Reichsstatthalter Sachsen, 14.01.1943; [7] Archiv der Porzellansammlung, Verzeichnis der außerhalb von Dresden geborgenen Kunstwerke, unpag., ca. 1943; SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/2, Bl. 13, (nachrichtlich) A. Richter (Oberregierungsrat, Sächsische Staatskanzlei) an Direktor der Porzellangalerie, 08.04.1943; ebd., Bl. 21, Fritz Fichtner an Sächsische Staatskanzlei, 30.04.1943; ebd., Bl. 48, Fritz Fichtner an Hermann Voss (Sonderbeauftragter für Linz), 25.08.1943.Katalog | catalogue: Externer Link"
Suchmeldung;Einzelobjekt;208513;"Unbekannt (Deutsch (Augsburg), ?) [Künstler:in]";Diana-Trinkspiel;"1600-1625 [Datierung]";Gefäß;"Ahv 11";"Eins von zwei Diana-Trinkspielen. Die einander identischen Hirsche sind mit Ausnahme der Geweihe vergoldet. Beide tragen jeweils eine silberne Diana, deren Haare, Stirnband und Gewand vergoldet sind. Auf den vergoldeten, mit silbernen Verzierungen beschlagenen Fußgestellen befinden sich jeweils ein Jagdhund und zehn kleine Tiere - Hasen, Eidechsen, Frösche und dgl. aus Silber. An einem Hirsch sind beide Hinterläufe zusammengenietet und ein Teil des Sattelzeugs am Hinterteil fehlt. Am anderen sind zwei Enden des Geweihs abgebrochen und der rechte Vorderlauf ist beschädigt. An beiden Fußgestellen fehlt ein Stück des Silberbeschlages; Bei beiden Figuren fehlen Köcher und Bogen.";"Von Herzog Johann Ernst I. von Sachsen-Weimar in Frankfurt am Main beim Wahltag des Kaisers Matthias 1612 im Ringelrennen gewonnen (vgl. Inv. 1656, Rathgeber 1835); seit 1656 in der Gothaer Kunstkammer. [...] Befindet sich derzeit im Schweizer Kunsthandel.";2001-08-08;"Stiftung Schloss Friedenstein 
Gotha
Schlossplatz 1
99867 Gotha
0049 (0) 03621 8234-0
0049 (0) 03621 8234-290
http://www.stiftungfriedenstein.de
Dr. Tobias Pfeifer-Helke (Stiftungsdirektor)
+49 (0) 621-8234 100
vorstand@stiftung-friedenstein.de
Dr. Timo Trümper (Kustode für Gemälde und Plastik)
+49 (0) 3621 8234 553
truemper@stiftung-friedenstein.de
Ronny Licht (Provenienzforscher)
+49 (0) 3621-82 34 329
ronny.licht@friedenstein-stiftung.de";https://www.lostart.de/de/Verlust/208513;"Inventar 1659, S. 14, Nr. 3; Inventar 1717, fol. 6r, Nr. 12; Inventar 1721, fol. 7r, Nr. 19; Inventar 1764, fol. 6v, Nr. 13; Inventar 1830, fol. 6r, Nr. 116; Inventar 1858, Bd. 1, Kap. XXII, Nr. 48 Aldenhoven Geräth und Schmuck, Goldschmiedsarbeit Nr. 10; Zeichen-Inventar um 1900, Nr. 11"
Fundmeldung;Einzelobjekt;218967;"Leibl, Wilhelm Maria Hubertus [Künstler:in]";"Bauernmädchen ohne Hut mit weißem Halstuch";"1897 [Datierung]";Gemälde;mü11219;"Das Werk ist oben rechts signiert und datiert „W. Leibl 97“.Verso: Etikett „11219 (547)“ (Mü-Nr., Linz-Nr.); Etikett „W 3987/1“ (nicht identifiziert); Etikett „547/464“ (nicht identifiziert); in blauer Kreide „14“ (nicht identifiziert); in Blau [unleserlich]; „ou[?]“ (nicht identifiziert); „27[?]“ (nicht identifiziert); Fragmente von Etiketten; Etikett ehemaliger Leihnehmer (nach 1945).";"1897–29.11.1898 Deutscher Kunstverein, Berlin Ab 29.11.1898 Oscar Rothschild (?–?), Berlin(…)Spätestens 1930-mindestens Mai 1938 Dr. Alexander Lewin (1879–1942), Guben(…)Spätestens Februar 1939 Reichsvermögen („Sonderauftrag Linz“)Ab Sommer 1943 Eingang in das Bergwerk Alt-Aussee22.10.1945 Eingang in den Central Collecting Point München1949–2009 Bundesvermögen30.09.2009 restituiert an die Erben nach Dr. Alexander Lewin
Status
restituiert";2001-08-08;"Kunstverwaltung des Bundes
Herbert-Bayer-Straße 5
13086 Berlin
provenienzforschung@kvdb.bund.de
http://www.kunstverwaltung.bund.de";https://www.lostart.de/de/Fund/218967;
Suchmeldung;Einzelobjekt;421944;"Scholz, Richard [Künstler:in]";"Im Plauenschen Grunde";;Malerei;;;"19.07.1925 Förderankauf der Stadt Dresden auf Gesuch des Künstlers beim Sächsischen Kunstverein, 500,- RM; nicht inventarisiert; Verbleib unbekannt.";2010-10-21;"Museen der Stadt Dresden
Städtische Galerie Dresden 
Wilsdruffer Straße 2
01067 Dresden
+49 (0) 351 488 73 01
+49 (0) 351 488 73 03 
sekretariat@museen-dresden.de 
http://www.galerie-dresden.de/
Dr. Gisbert Porstmann (Direktor)
+49 (0) 351 488 73 01
gisbert.porstmann@museen-dresden.de
Johannes Schmidt (Kustos)
johannes.schmidt@museen-dresden.de";https://www.lostart.de/de/Verlust/421944;"Stadtarchiv Dresden 2.3.1 II H9, Bd. II Beleg Nr. 172-174, Bd. III Beleg Nr. 10; StA 13.18.86 Beleg Nr. 59-61; Sommerausstellung 1925. Künstlervereinigung Dresden 1925 Nr. 12."
Fundmeldung;Einzelobjekt;569667;"Gunckel, Friedrich Ludwig [Künstler:in]";"Porträt Gustav Kaupert";;Malerei;1875/1718;;"Erworben nicht vor dem 27.09.1939. Herkunft unbekannt.";2017-10-06;"Hessen Kassel Heritage / Neue Galerie
Schloss Wilhelmshöhe
Schlosspark 1 
34131 Kassel
(0561) 31680-153 
+49-(0)561-31680-111
info@heritage-kassel.de
https://www.heritage-kassel.de
Dr. Justus Lange (Provenienz-, Rückgabe- und Restitutionsanfragen)
+49 (0) 561-31680-112
justus.lange@heritage-kassel.de";https://www.lostart.de/de/Fund/569667;
Suchmeldung;Einzelobjekt;522453;"Menzel, Adolph [Künstler:in]";"Pflanzenstudie aus einem Garten";"1886 [Datierung]";Zeichnung;;"bez. u. l.: A.M. 86; Vordergrund Aloe, dahinter Lebensbaum im Kübel (Titel aus den 20-er Jahren, durch Abbildungsvergleich gesichert)";"Hermann Paechter, Adele Paechter, Auktion H. W. Lange 5./6. April 1940, Nr. 113 (dort unter dem Titel: ""Stechpalme und Konifere"")";2014-12-16;"Dr. Monika Tatzkow (Wissenschaftlicher Dokumentationsdienst)
+49 (0) 30 64 128 13
tatzkow@t-online.de";https://www.lostart.de/de/Verlust/522453;
Fundmeldung;Einzelobjekt;438494;"Busch, Wilhelm [Künstler:in]";"Skizzentafel mit vier Köpfen";"1890 (um) [Datierung]";Gemälde;1/110;"Motiv: In dem an zentraler Stelle angelegten großen Hochoval ist die Büste eine jungen Mannes mit roter Jacke und breitrandigem schwarzen Hut gegeben. Ihm blickt eine junge Frau über die Schulter. Die Skizzen von zwei bäuerlichen Halbfiguren folgen am unteren Bildrand. Werkvz.-Nr. Gm 933. Verso zwei Aufkleber mit den handschriftlichen Bezeichnungen: 1.: AR 595; 2.: A.R. 1287. Des weiteren befinden sich auf der verso-Seite folgende handschriftliche Bezeichnungen: 1.: B. 34; 2.: 8 (gerahmt von blauem Dreieck";"Erworben im November 1941 bei einem unbekannten Kunsthändler in Bukarest (Rumänien)";2011-08-10;"Wilhelm Busch  - Deutsches Museum für Karikatur und Zeichenkunst  
Georgengarten
30167 Hannover
(0511) 51116999911
(0511) 51116999999
mail@karikatur-museum.de
http://www.karikatur-museum.de
Ruth Brunngraber-Malottke M.A. (Wiss. Kuratorin Sammlung Wilhelm Busch - Provenienzforschung)
0511 169999-19
brunngraber-malottke@karikatur-museum.de";https://www.lostart.de/de/Fund/438494;
Suchmeldung;Einzelobjekt;584369;"Brekelenkam, Quiringh Gerritsz. van [Künstler:in]";"De Kleermaker / Der Schneider";"1661 [Datierung]";Gemälde;"Goudstikker Inventory no. 817";"Monogrammiert und datiert 1661; Auf der Rückseite Aufkleber mit Inventarnummer und Siegel. (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";"H. Bredeman, sale, Amsterdam, July 1, 1788, no. 44 (or no. 51-53?); van Heynsbergen, sale, The Hague, April 18, 1839 (?); sale H. P: Cunliffe, Christie's, London, May 9, 1903, no. 82; sale W. A. L. Fletcher, Christie's, London, May 15, 1914, no. 42 (or no. 50 or 51 ?); Jacques Goudstikker, Amsterdam, before October 1916; looted by the Nazis, Amsterdam, July, 1940; Hermann Göring; Alois Miedl, Amsterdam; sale Hans W. Lange, Berlin, December 3-4, 1940, no. 28, sold for RM 8.000,--; Verbleib unbekannt / whereabouts unknown.";2019-10-09;"Dr. Ewald Volhard (Ansprechpartner für Rückfragen in Deutschland) (Wantuch Thole Volhard Rechtsanwälte GbR)
+49 (0) 171 227 8411
volhard@wtv-art.com
Yaél M. Weitz (Ansprechpartnerin für Rückfragen weltweit ausgenommen Deutschland) (Freedman Normand Friedland LLP)
+1 646 974 0816
yweitz@fnf.law";https://www.lostart.de/de/Verlust/584369;"Archive/Archives: NL -Stadsarchief Amsterdam, Collection 1341, File 38: (= ""Blackbook""), p. 23; NL - Kunsthandel Pieter de Boer, Amsterdam, Archief Beelddocumentatie; NL - Rijksbureau voorKunsthistorische Dokumentatie, Den Haag, RKD Beelddocumentatie; NL - Rijksbureau voor Kunsthistorische Dokumentatie, Den Haag, RKD Archief, Goudstikker Kaartsystem; GB - The Courtauld Institute, London, Witt Library; Ausstellungen/Exhibitions: Collectje Goudstikker „Pulchri Studio“, Den Haag, La Haye, Oktober 1916; Ancient Art II, 1917, p. 29; Nieuwenhuizen Segaar, G.J., Kunsthandel, A. Nieuwenhuizen Segaar, Oude Kunst 1935, 23.10.1935 - 21.11.1935, No. 6; Literatur/Literature: Weltkunst Verlag, Auktionsergebnisse vom 1. Juli 1940 bis 30. Juni 1941, Berlin, Paris, 1943, no. 4, ill.; Lasius, Angelika. Quirinngh van Brekelenkam. Doornspijk: Davaco Publishers, 1992, no. 54"
Suchmeldung;Einzelobjekt;116954;"Lier, Adolf Heinrich [Künstler:in]";"Felslandschaft mit Büschen";;Zeichnung;37/238;;;2001-08-08;"Kunsthalle Bremen
28195 Bremen
+49 (0) 421 32908 47
office@kunsthalle-bremen.de
http://www.kunsthalle-bremen.de
Dr. Christoph Grunenberg (Direktor)
+49 (0)421 32908 200
grunenberg@kunsthalle-bremen.de
Dr. Dorothee Hansen (Kustodin Alte Meister)
+49 (0)421 32908 260
hansen@kunsthalle-bremen.de
Dr. Maria Aresin (Kustodin Kupferstichkabinett)
+49 (0)421 32908 261
aresin@kunsthalle-bremen.de";https://www.lostart.de/de/Verlust/116954;"Baldin, Viktor: Liste der Kunstwerke aus dem Besitz der Kunsthalle Bremen, die der Autor nach dem Krieg nach Moskau brachte; Manuskript (maschinenschriftlich ?) in der Kunsthalle Bremen; ca. 1989 Nr. 221/61."
