Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;600820;"Unbekannt (Japan) [Künstler:in]";Raiden_Donnergott;;Kleinkunst;;"Raiden der Donnergott sitzt bis auf einen Lendenschurz nackt am Boden; hat das Antlitz eines Dämon mit Fangzähnen aus Elfenbein; Hörner, gewaltig entwickelte Muskeln an Armen und Beinen, die in drei Tigerklauen auslaufen und wie die Arme in den Fesseln mit Bändern geschmückt sind; auf dem Rücken trägt er die Donnertrommel.";"Erworben 1908 durch Herbert Ginsberg in Japan; 1908 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600820;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Götter-Heilige-Teufel, Nr. 21."
Suchmeldung;Einzelobjekt;600821;"Unbekannt (Japan) [Künstler:in]";Futen_Windgott;;Kleinkunst;;"Flutan der Windgott kniet auf seinem Windsack, welcher wolkenartig ornamentiert ist; er hat das Antlitz eines Dämon; Ansätze von Hörnern; langes Haar und ist nackt bis auf einen Lendenschurz, dessen Abschluss im Rücken kunstvoll verziert und mit einer sorgfältigen Schleife geknotet ist; mit seinen Armen, die wie die Beine kräftige Muskulatur zeigen, hält er eine pagodenförmige Urne; signiert.";"Erworben 1908 durch Herbert Ginsberg in Japan; 1908 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600821;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Götter-Heilige-Teufel, Nr. 22."
Suchmeldung;Einzelobjekt;600822;"Unbekannt (Japan) [Künstler:in]";Riujin_Drachenkönig;;Kleinkunst;;"Riujin, der Drachenkönig der See, steht aufrecht da mit dem Antlitz eines erzürnten Dämon; er ist nackt bis auf einen Blätterschurz um Lende und Schulter; auf den seine langen Haare herabfallen; mit der linken Hand hält er das Schweifende seiner Drachentochter, die sich entlang seines Rückens zu seinen Füßen ringelt und zu ihm emporschaut; signiert.";"Erworben 1907 durch Herbert Ginsberg von der Firma Glenck, Berlin; 1907 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600822;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Götter-Heilige-Teufel, Nr. 23."
Suchmeldung;Einzelobjekt;600823;"Unbekannt (Japan) [Künstler:in]";"Nio Aka Oni_zwei Könige";;Kleinkunst;;"Knopfeinrahmung aus graviertem Elfenbein; eingefügte Metallplatte beiderseitig bearbeitet; Shakudo mit Hochrelief, Gold und Silberintarsie; auf der Vorderseite ein Tempelwächter, eine Dämonengestalt; alles ist bei ihm in höchster Erregung; offener Mund; wilde Augen; erhobene Priesterkeule; steht mit stark betonten Brustwarzen und Nabel nur mit Lendenschurz bekleidet da; Rückseite der Platte zeigt Pfosten und Flechtwerk des Tempelgitters; signiert: Katsushika Chikokuku.";"Erworben 1908 durch Herbert Ginsberg in Japan aus der Sammlung Vautier; 1908 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600823;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Buddhismus, Nr. 24."
Suchmeldung;Einzelobjekt;600824;"Unbekannt (Japan) [Künstler:in]";"Fugen Butatsu_buddhistische Gottheit";;Kleinkunst;;"Der kleine Fugen Butatsu sitzt in Gestalt eines Knaben mit Heiligenschein auf dem Rücken eines großen Elefanten, der einen Lotusstengel im erhobenen Rüssel trägt; signiert: Shuraku nach Okyo.";"Erworben 1908 durch Herbert Ginsberg in Japan aus der Sammlung Vautier; 1908 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600824;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Buddhismus, Nr. 25."
Suchmeldung;Einzelobjekt;600825;"Unbekannt (Japan) [Künstler:in]";Rakangruppe;;Kleinkunst;;"Kreisförmig angeordnete Gruppe von 13 Rakan, die mit ihren Attributen dargestellt sind.";"Erworben 1908 durch Herbert Ginsberg in Japan; 1908 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600825;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Buddhismus, Nr. 26."
Suchmeldung;Einzelobjekt;600826;"Unbekannt (Japan) [Künstler:in]";"Rakan Hottra Sonja";;Kleinkunst;;"sitzende Hottara Sonja (oder Bharda) mit einem Tiger zu seinen Füßen; in der rechten Hand hält er den kurzen Zauberstab (Nioi); signiert: Shuraku. Hochrelief";"Erworben 1908 durch Herbert Ginsberg in Japan aus der Sammlung Vautier; 1908 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600826;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Buddhismus, Nr. 27."
Suchmeldung;Einzelobjekt;600860;"Unbekannt (Japan) [Künstler:in]";"Shoki am heiligen Brunnen";;Kleinkunst;;"Shoki im Kriegsgewand mit langem Kinnbart und Haare, den Flügelhelm auf dem Kopf, das Schwert, dessen schwere korbgeflochtene Scheide auf seinem Rücken hängt; in der Rechten, beugt sich über den Rand des heiligen Brunnens Shinsen, in den sich ein Oni - er dient als Ojime (2 cm.) - geflüchtet hat, am Seil des Eimers hinabgleitend; signiert: Rigioku.";"Erworben 1908 durch Herbert Ginsberg in Japan; 1908 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600860;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Buddhismus, Nr. 61."
Suchmeldung;Einzelobjekt;600861;"Unbekannt (Japan) [Künstler:in]";Shoki;;Kleinkunst;;"Knopfeinfassung aus Bambus; eingefügte Metallplatte aus Silber; darauf in versenktem Relief und Gravierung, die kühnen Pinselstriche eines chinesischen Tuschbildes nachahmend; Shoki im Flügelhelm mit gesträubtem Haar und Bart, das gewaltige Schwert zum Stoß erhebend.";"Erworben 1908 durch Herbert Ginsberg in Japan aus der Sammlung Vautier; 1908 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600861;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Buddhismus, Nr. 62."
Suchmeldung;Einzelobjekt;600862;"Unbekannt (Japan) [Künstler:in]";Oni;;Kleinkunst;;"Oni (Dämon) nackt bis auf einen Lendenschurz und Hosen aus Tigerfell kniet am Boden; mit beiden Klauenhänden hält er vor seinem Rücken einen Strohhut, um sich gegen die Erbsenwürfe zu schützen; es gelingt ihm nicht ganz; einige Erbsen sind zwar am Strohhut haften geblieben, aber sein Kopf bleibt auch nicht verschont, so dass sich sein Gesicht doch schmerzhaft verzieht; signiert.";"Erworben 1908 durch Herbert Ginsberg in Japan; 1908 bis 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 in Rotterdam durch den SD beschlagnahmt.";2022-07-14;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/600862;"Undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921, Abschnitt Netsuke und Okimono, Buddhismus, Nr. 63."
