Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;11545;;Setzkompass;"1601/1700 (?) [Datierung]";Messgerät;"II 110; A 465; 415";"Ein mit vorigem ganz ähnlicher kleinerer Setzkompaß. Auf dem Deckel sind die Buchstaben >>R. V. V.<< gestochen. Die Beschreibung lautet: Ein kleiner messingener, vergoldeter und gravierter Setzkompaß mit stehender Magnetnadel. Das 1zweidrittel Zoll (3,9 cm) im Durchmesser haltende, einschließlich des Deckels 1 Zoll (2,4 cm) hohe runde Gehäuse ist auf einer Platte befestigt, die zwei geradlinig verlaufende Seiten und zwei nach der Gehäuseform abgerundete Seiten besitzt. Auf der kürzeren geraden Seite steht eine andere kleine senkrechte Platte, in der sich ein Stift mittels Knopfes und Feder durchdrücken läßt, um den Eckpunkt auf Papier zu vermerken. An der anderen Ecke der geraden langen Seite befindet sich ein kleines Öhr.; Signatur: R. V. V.";;2001-08-08;"Staatliche Kunstsammlungen Dresden
Mathematisch-Physikalischer Salon
Theaterplatz 1
01067 Dresden
(0351) 4914 6660
mps@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 6660
mps@skd.museum";https://www.lostart.de/de/Verlust/11545;
Suchmeldung;Einzelobjekt;187046;"Sophie Westenholz [Autor:in]";"Sonate per il Cembalo. Sonate aller Sorten. (c-moll)";;Handschrift;"ND VI - 388 u";;;2001-08-08;"Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky
Von-Melle-Park 3
20146 Hamburg
(040) 040 42838 3352
http://www.sub.uni-hamburg.de
Blödorn-Meyer, Dr. Petra (Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste)
040 42838 5858
Hauptabteilung Collectionen, Bestandsaufbau, Catalogdienste
nsraubgut@sub.uni-hamburg.de";https://www.lostart.de/de/Verlust/187046;
Suchmeldung;Einzelobjekt;187700;;"Neufriedrichsdorf (Filmnegativrolle [Kleinbild], fotokopierte Kirchenbücher)";"1848/1882 [Dokumentdatum]";Kirchenbuch;"K. 29-19";;"Verlustgeschichte: Nach Weteritz, Kreis Gardelegen, ausgelagert und dort verlorengegangen.
Auslagerung (Weteritz (Gardelegen), Gutshaus (Keller))";2001-08-08;"Mützelstraße 22
39307 Genthin
+49 (0) 3933 803521
+49 (0) 3933 803521
kreismuseumjl.genthin@web.de
https://www.lkjl.de/de/kreismuseum.html";https://www.lostart.de/de/Verlust/187700;
Suchmeldung;Einzelobjekt;187307;;"Burg, St. Petri (Filmnegativrolle [Kleinbild], fotokopierte Kirchenbücher)";"1901/1925 [Dokumentdatum]";Kirchenbuch;"K. 92 d";;"Verlustgeschichte: Nach Weteritz, Kreis Gardelegen, ausgelagert und dort verlorengegangen.
Auslagerung (Weteritz (Gardelegen), Gutshaus (Keller))";2001-08-08;"Mützelstraße 22
39307 Genthin
+49 (0) 3933 803521
+49 (0) 3933 803521
kreismuseumjl.genthin@web.de
https://www.lkjl.de/de/kreismuseum.html";https://www.lostart.de/de/Verlust/187307;
Suchmeldung;Einzelobjekt;11803;;Schnellwaage;"1601/1700 (?) [Datierung]";Messgerät;"XII 16";;;2001-08-08;"Staatliche Kunstsammlungen Dresden
Mathematisch-Physikalischer Salon
Theaterplatz 1
01067 Dresden
(0351) 4914 6660
mps@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 6660
mps@skd.museum";https://www.lostart.de/de/Verlust/11803;
Suchmeldung;Einzelobjekt;484254;"Unbekannt [Künstler:in]";Zigarrenspitze;"1801/1900 [Datierung]";"Kunsthandwerk / -gewerbe";"VI 21762";"mit kleiner Kette, Zigarrenhalter besteht aus Kopf mit ringförmigem Abschluss";"Schenkung von Gottlieb Meyerhoff, Breslau, 17.04.1937";2014-03-12;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/484254;
Suchmeldung;Einzelobjekt;149689;"Nose, Carl Wilhelm [Autor:in]
Gebhard ; Körber [Verlag]";"Sammlung einiger Schriften über vulkanische Gegenstände und den Basalt : aus dem Französischen und Dänischen ; nebst vier Kupfertafeln";"1795 [Erscheinungsdatum]";Buch;;;;2001-08-08;"August-Bebel-Str. 50a
06108 Halle (Saale)
+49 (0) 345 47 239 147
+49 (0) 345 47 239 149
bibliothek@leopoldina.org
http://www.leopoldina.org
Deutsche Akademie der Naturforscher Leopoldina e. V.
+49 (0) 345 47 239 147
bibliothek@leopoldina.org";https://www.lostart.de/de/Verlust/149689;
Suchmeldung;Einzelobjekt;321314;;"Catalog Ausstellung der Cartons von P. von Cornelius";;Buch;1823;;;2007-02-05;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/321314;
Fundmeldung;Einzelobjekt;518467;"Julius Sittenfeld [Verlag]";"Seder tefillot kol ha-shanah : Gebetbuch für die neue Synagoge in Berlin. Theil II. Neujahrsfest und Versöhnungstag";"1896 [Erscheinungsdatum]";Buch;"F233 190 [2]";"Reihe: [], Band: 2";"#1 - (Herzberg, Gertrud), Von Hand: Autogramm; 'Gertrud Herzberg  Frankfurt. Oder  Junker Str No 24'. Herzberg, Gertrud (Herzberg, Gertrud) Zum Exemplar in der ZLB-Datenbank";2014-04-24;"Stiftung Neue Synagoge Berlin - Centrum Judaicum
Oranienburger Straße 28-30
10117 Berlin
030-88028-300
030-88028-483
office@centrumjudaicum.de
http://www.centrumjudaicum.de";https://www.lostart.de/de/Fund/518467;
Suchmeldung;Einzelobjekt;302702;;"Johann Tristram quittiert dem Rat zu [Langen]salza den Empfang seiner Provision von 20 Gulden.";"1543-11-19 [Dokumentdatum]";"Urkunde / Faksimile";"10001 Ältere Urkunden, Nr. 11151";"Sprache: Deutsch";"Kloster Homburg; in Auslagerungsstelle Schloss Bieberstein verschollen
Auslagerung (Bieberstein, Schloss Bieberstein)";2004-05-13;"Sächsisches Staatsarchiv - 
Hauptstaatsarchiv Dresden
Archivstraße 14
01097 Dresden
01074 Dresden
Dr. Ute Essegern (Stellvertretende Abteilungsleiterin)
+49(0)351 89219-710
ute.essegern@sta.smi.sachsen.de
Prof. Dr. Peter Wiegand (Abteilungsleiter)
+49(0)351 89219-710
peter.wiegand@sta.smi.sachsen.de";https://www.lostart.de/de/Verlust/302702;
