Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;599052;"Unbekannt [Künstler:in]";"Porträt eines jungen Mannes";;Malerei;;"Junger Mann mit Stehkragen und Buch oder Manuskript in der Hand.";"Sammlung Ralph von Klemperer, Dresden; Verbleib unbekannt; Entzug durch nationalsozialistische Verfolgung nicht ausgeschlossen";2022-04-04;"Dr. Sabine Rudolph (Rechtsanwältin)
+49 (0)351 / 448 333-0
s.rudolph@steinmeier.eu";https://www.lostart.de/de/Verlust/599052;"Privatalbum Ralph von Klemperer, Dresden, Wiener Str. 86 [undatiert], Privatbesitz"
Suchmeldung;Einzelobjekt;599053;"Unbekannt [Künstler:in]";"Tierdarstellung (?)";;Malerei;;"groß, Darstellung verschiedener Vögel (?)";"Sammlung Ralph von Klemperer, Dresden; Verbleib unbekannt; Entzug durch nationalsozialistische Verfolgung nicht ausgeschlossen";2022-04-04;"Dr. Sabine Rudolph (Rechtsanwältin)
+49 (0)351 / 448 333-0
s.rudolph@steinmeier.eu";https://www.lostart.de/de/Verlust/599053;"Privatalbum Ralph von Klemperer, Dresden, Wiener Str. 86 [undatiert], Privatbesitz"
Suchmeldung;Einzelobjekt;599004;"Unbekannt (Chinesisch ? | Chinese ?)) [Künstler:in]";"Vier Paneele mit Einlagen (Teil eines Sets)";;Relief;;"Hochformat, mit floralen Motiven der vier Jahreszeiten (?) und Segenssprüchen, Qing-Dynastie (?)";"Sammlung Ralph von Klemperer, Dresden; Verbleib unbekannt; Entzug durch nationalsozialistische Verfolgung nicht ausgeschlossen.";2022-04-04;"Dr. Sabine Rudolph (Rechtsanwältin)
+49 (0)351 / 448 333-0
s.rudolph@steinmeier.eu";https://www.lostart.de/de/Verlust/599004;"Privatalbum Ralph von Klemperer, Dresden, Wiener Str. 86 [undatiert], Privatbesitz."
Suchmeldung;Einzelobjekt;599005;"Unbekannt (Chinesisch ? | Chinese ?)) [Künstler:in]";"Paneel mit Einlagen (Teil eines Sets)";;Relief;;"Querformat, mit floralen Motiven, Qing-Dynastie (?).";"Sammlung Ralph von Klemperer, Dresden; Verbleib unbekannt; Entzug durch nationalsozialistische Verfolgung nicht ausgeschlossen.";2022-04-04;"Dr. Sabine Rudolph (Rechtsanwältin)
+49 (0)351 / 448 333-0
s.rudolph@steinmeier.eu";https://www.lostart.de/de/Verlust/599005;"Privatalbum Ralph von Klemperer, Dresden, Wiener Str. 86 [undatiert], Privatbesitz."
Suchmeldung;Einzelobjekt;599006;"Bologna, Giovanni [Künstler:in]";"Venus nach dem Bade";;Vollplastik;"82 (Cassirer)";"Stehend, den linken Fuß auf eine Vase gestellt, trocknet sie mit dem Tuch das linke Bein. In der erhobenen Linken hält sie ein anderes Tuch, das auf ihre Schultern niederfällt. Wiederholungen u. a. in Florenz, Museo Nazionale, in Berlin, Kaiser-Friedrich-Museum.Katalog F. Goldschmidt, Bronzestatuetten, Nr. 136 und sonst. In Berlin auch eine gleichfalls mehrfach vorkommende Variante (Katalog Nr. 135). Die Statuette ist das Gegenstück zu Goldschmidt Nr. 134.Früher Sammlung A. v. Beckerath, Auktionskatalog, Berlin 1916 (Lepke), Nr. 345.Statuette. Bronze, bräunliche Patina. H. 13 cm (ohne Sockel). Auf oberitalienischem (paduanischem) Sockel vom Beginn des 16. Jahrhunderts. Der Sockel, dreieckig, in Form eines Kandelaberfußes, von drei Zwergen getragen. Auf den Seitenflächen ein die Doppelflöte blasender Satyr, ein Bacchant und eine Tänzerin. Auf den abgestumpften Kanten Ornamentfüllungen, auf der unteren Bodenfläche ein Medaillon mit dem Brustbild einer gefügelten Frau, die einen Pfeil in der Linken hält. Die obere Fläche mit Ornamentfüllung und rundem Mittelfeld. Die gleichen Figuren finden sich an der Porta Stanga aus Cremona im Louvre. Die Plaketten finden sich zusammen mit einer vierten als Seiten eines Tintenfasses in Berlin, Katalog Goldschmidt, Nr.251.";"Sammlung Ralph von Klemperer, Dresden 1928 -; Verbleib unbekannt; Entzug durch nationalsozialistische Verfolgung nicht ausgeschlossen.";2022-04-04;"Dr. Sabine Rudolph (Rechtsanwältin)
+49 (0)351 / 448 333-0
s.rudolph@steinmeier.eu";https://www.lostart.de/de/Verlust/599006;"Kunstsalon Paul Cassirer: Die Sammlung Oscar Huldschinsky: [Versteigerung: Donnerstag, den 10. Mai, Freitag, den 11. Mai 1928]. Berlin 1928. Lot 82."
Suchmeldung;Einzelobjekt;599010;"Canova, Antonio [Künstler:in]";"Herakles [Herkules] und Lichas [Lycas]";;Vollplastik;;"Auf hohem Sockel. Die Bronzen existieren in verschiedenen Größen und Ausführungen. Frühe französische Ausführungen (ab 1832), die wahrscheinlich nach einem verloren gegangenen Modell von Antonio Canova gegossen wurden, sind eher um 41 cm hoch. Der Abguß des gesuchten Objekts erscheint jedoch in Art und Höhe eher späteren italienischen Ausführungen (1850/1900) zu ähneln, die als reduzierte Versionen des Originals in Größen von 63 bis 90 cm überliefert sind.";"Sammlung Gustav von Klemperer, Dresden; Verbleib unbekannt; Entzug durch nationalsozialistische Verfolgung nicht ausgeschlossen.";2022-04-04;;https://www.lostart.de/de/Verlust/599010;"Privatarchiv Klemperer, Foto Interieur Villa Wienerstraße 25 (undatiert [nach Februar 1912])Vgl. Bernard Black: Canova’s lost model for Hercules and Lichas preserved in bronze. The definitive French casts, the copies and confusions. In: Apollo. 102(2000)463, S.13-21, hier Abb. 11, S.19f, FN 57.Vgl. Kunsthaus Heinrich Hahn: Sammlung M.H. ..., Sammlung J.H. ..., Sammlung E.W. de B. ..., Sammlung Generalkonsul E. ..., aus verschiedenem Privatbesitz ...: Versteigerung: Dienstag, den 22. und Mittwoch, den 23. November 1938 (Katalog Nr. 56). Frankfurt a. M. 1938. Kat. Nr. 268. Einlieferer 973: A.E.veryimportantlot.com/en/lot/view/grosse-bronze-gruppe-herkules-und-lichas-nach-ant-7567; www.craigcarrington.com/exceptional-bronze-of-hercules-and-lichas-after-antonio-canova~1275."
Suchmeldung;Einzelobjekt;599109;"Unbekannt [Künstler:in]";Frauenporträt;;Grafik;;"gerahmt, hinter Glas (?), Graphik (?)";"Sammlung Victor von Klemperer, Dresden; Verbleib unbekannt; Entzug durch nationalsozialistische Verfolgung nicht ausgeschlossen";2022-04-04;"Dr. Sabine Rudolph (Rechtsanwältin)
+49 (0)351 / 448 333-0
s.rudolph@steinmeier.eu";https://www.lostart.de/de/Verlust/599109;"Privatarchiv Klemperer, Foto Interieur Villa Tiergartenstraße 64 [vor Februar 1938]"
Suchmeldung;Einzelobjekt;599110;"Unbekannt [Künstler:in]";Supraporte;;Relief;;"oval, drei Kinder (Putten?) in Landschaft, links Baum";"Sammlung Gustav von Klemperer, Dresden; Sammlung Victor von Klemperer, Dresden; Verbleib unbekannt; Entzug durch nationalsozialistische Verfolgung nicht ausgeschlossen";2022-04-04;"Dr. Sabine Rudolph (Rechtsanwältin)
+49 (0)351 / 448 333-0
s.rudolph@steinmeier.eu";https://www.lostart.de/de/Verlust/599110;"Privatarchiv Klemperer, Foto Interieur Villa Wienerstraße 25 (undatiert [nach Februar 1912]); Ebd., Foto Interieur Villa Tiergartenstraße 64 (undatiert)"
Fundmeldung;Einzelobjekt;598028;"Stainer, Jacobus (later copy of the violins made by) [Künstler:in]";Violine;"1890 (ca.) [Datierung]";Musikinstrument;;"Die Decke ist aus fein-/mitteljähriger Fichte. Der Boden ist aus einem Stück fein- bis mittelkörnigem Ahorn.Die Zargen, der Hals und die Schnecke sind aus ähnlichem Ahorn.Die Farbe des Lacks auf dem Boden, den Zargen und der Schnecke ist schattiert gelb/braun, während der Lack der Decke hellbraun ist, wobei alle Schattierungen entfernt wurden.Die Geige ist derzeit mit verschiedenen Palisandergarnituren ausgestattet. Der Zustand der Geige ist etwas beeinträchtigt, mit einem Stimmstockriss auf der Decke und der bereits erwähnten Veränderung des Deckenlacks. Die Geige hat zwei Zettel (einen originalen und einen späteren), die beide die Aufschrift ""Jacobus Stainer in Absan propro Oenipontom 16__"" tragen.";"von US-amerikanischen Soldaten Ende des II. Weltkrieges aus zerbombtem Musikgeschäft in Frankfurt am Main verbracht; heute Country Music Hall of Fame® and Museum";2022-04-04;"Country Music Hall of Fame® and Museum
222 Rep. John Lewis Way S
37203 Nashville, Tennessee 
615-416-2001
info@countrymusichalloffame.org
https://countrymusichalloffame.org/";https://www.lostart.de/de/Fund/598028;"Letter of an U.S. servicemen written in 1969"
Fundmeldung;Einzelobjekt;599119;"Klein-Chevalier, Friedrich [Künstler:in]";Brückenbauer;;Gemälde;;"Das Bild zeigt zwei Männer beim Durchsägen eines Balkens mit einer Rahmensäge.Signiert rechts unten: Klein ChevalierAuf dem Spannrahmen verschiedene Nummern und Etiketten.";"erworben 2015 (?) aus Galerie Frankfurt (Main) - Privatbesitz";2022-04-05;"Helle Dokken 
0175 3829170
helle.dokken@web.de";https://www.lostart.de/de/Fund/599119;
