Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;475063;"Schiele, Egon [Künstler:in]";"Stehender Knabe";"1910 [Datierung]";Zeichnung;"462  (WV Kallir)";"Ausstellungen: Paris, 1976, no. 16, ill; Vienna, 1977, no. 27, ill; ""Europäische Meisterzeichnungen und Aquarelle (1878-1978),"" Galerie Pels-Leusden, Berlin (Oct. 16,1978-Jan. 13,1979), no. 159, ill; ""XIX & XX Century Drawings, Watercolors, Pastels, Gouaches and Collages,"" Acquavella Galleries, New York (Oct. 21-Nov. 24,1982), ill. Compare: D. 463";"Karl Mayländer; Richard Lanyi; Galerie Pels-Leusden, Berlin; Acquavella Galleries, New York; Mrs. Robert J. Newman";2013-06-24;"Israelitische Kultusgemeinde Wien (Abteilung für Restitutionsangelegenheiten)
+43 (0) 1 53104 201
restitution@ikg-wien.at";https://www.lostart.de/de/Verlust/475063;
Suchmeldung;Einzelobjekt;594050;"Unbekannt (Thailand) [Künstler:in]";Buddha-Statue;"1300/1500 [Datierung]";"Plastik / Skulptur";;"Der Buddha steht aufrecht da. Die rechte Hand liegt vor der Brust. Die Finger formen die Ahaga-Mudra; die Mudra, die Furchtlosigkeit austeilt. Der rechte Arm zeigt nach unten und ist eng am Körper anliegend. Die Bronze ist mit einer vergoldeten Lackschicht überzogen, die stellenweise abgeblättert ist. Die Figur stammt aus einem Kloster bei Phitsanulok, Thailand.";"[...] - 1942 Ostasiatica-Sammlung Herbert Ginsberg, Berlin; 1942 wurden große Teile der Ginsberg-Sammlung in Rotterdam durch den Sicherheitsdienst (SD) beschlagnahmt; Verbleib unbekannt";2021-02-10;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/594050;"Wiedergutmachungsakte im Landesarchiv Berlin: LAB, B Rep. 025-02 Nr. 233/57; undatierter Katalog (um Nov. 1929), in: DigiBaeck, Leo Baeck Institute New York (LBI NY), Gilbert Family Collection, AR 1028/MF 818, Box 7, folder 4, S. 690-921"
Fundmeldung;Einzelobjekt;231946;;Uhr;"1790 (um) [Datierung]";Uhr;"V 12799";"Taschenuhr. Schlüsselaufzug an der Rückseite. Silbernes Ziffernblatt mit römischen Ziffern. Zwischen den einzelnen Ziffern kleine aufgesetzte Rosetten. Arkadenförmige Minuterie mit arabischen Ziffern. Zentriert das Wappen des Vereinigten Königreiches von. Herstellungsort: Kraiburg am Inn";"Moritz Holzer, Pforzheim; Vermögen durch die „Abteilung jüdische Vermögen, Polizeipräsidium Pforzheim“ eingezogen; Uhrensammlung zur Begutachtung an das Badische Landesmuseum Karlsruhe überstellt; 1941 Ankauf von 37 Uhren durch das Badische Landesmuseum Karlsruhe;1955 erhielt die Familie Holzer eine auf einem Vergleich basierende Schadensersatzzahlung für die entzogenen Uhren.";2001-08-08;"Badisches Landesmuseum 
Karlsruhe
76131 Karlsruhe
(0721) 9266514/42
(0721) 9266537 und -6549
info@landesmuseum.de
http://www.landesmuseum.de
Prof. Dr. Eckart Köhne (Direktor)
+49 (0) 721 926 6501
direktion@landesmuseum.de";https://www.lostart.de/de/Fund/231946;
Fundmeldung;Einzelobjekt;482102;"Puccini, G. [Autor:in]
Ricordi [Verlag]";Turandot;"1900 [Erscheinungsdatum]";Buch;"G 41.1454";;"NS-Raubgut 1.) Geschenk der Stadt Speyer an die Saarpfälzische Landesbibliothek 1941 im Zuge der Deportation der saarpfälzischen Juden am 22.10.1940 nach Gurs (Frankreich) 2.) Autogramm ""Liselotte Weil"": Weil, Liselotte, geb. 1908, wohnhaft in Speyer, Schwester von Kurt Weilrestituiert im Oktober 2015
Status
restituiert";2014-02-12;"Pfälzische Landesbibliothek
Otto-Mayer-Str. 9
67346 Speyer
+49 (0)6232 9006 - 224
 Info.PLB@lbz.rlp.de
http://www.lbz.rlp.de
Dr. Armin Schlechter (Sachgebietsleiter Handschriften / Altes Buch)
Armin.Schlechter@lbz.rlp.de";https://www.lostart.de/de/Fund/482102;
Fundmeldung;Einzelobjekt;429453;"Kolb, Alois [Künstler:in]";"Der Überfall auf die Reisekutsche";;Druckgrafik;"A 1936-121";;"laut Inventarbuch des Kupferstich-Kabinetts Dresden: Überwiesen vom Ministerium des Innern";2011-02-15;"Staatliche Kunstsammlungen Dresden
Kupferstich-Kabinett 
Taschenberg 2
01067 Dresden
(0351) 4914 3210
kk@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 3210
kk@skd.museum";https://www.lostart.de/de/Fund/429453;
Fundmeldung;Einzelobjekt;305700;"Unbekannt [Künstler:in]";"Bildnis Michael Schaphirow";"ca. 1600-1900 [Zeitraum]
1601-1700 [Datierung]";Druckgrafik;;"Größe der Druckplatte: 14,5 cm x 8,9 cm; Aufschriften der Vorderseite: Michael Schaphirov Sr. Czaar. Maj. Staatsminister";"1947: Privatsammlung Finnland? (Finnish collector?); seit (since) 1947: Museumsbesitz Finnland (Finnish museum collection)";2004-11-24;"Hakkarainen, Maarit (Projektleiterin)
Tiina Koivulahti, Ph.Lic. (Projektleiterin)
tiina.e.koivulahti@gmail.com";https://www.lostart.de/de/Fund/305700;
Suchmeldung;Einzelobjekt;233028;"KPM Königliche Porzellan-Manufaktur Berlin [Manufaktur]";"16-teiliges Tee- und Kaffeservice";"1500/2000 [Zeitraum]";"Kunsthandwerk / -gewerbe";;"Ein 16-teiliges Tee- und Kaffeservice bestehend aus 2 Teetassen mit Untertassen, zwei Kaffeetassen mit Untertassen, einer Teekanne mit Deckel, einer Kaffekanne mit Deckel, einer Zucherdose mit Deckel und einem weiterem Gefäß und einer Platte.";"Residenzschloß Dessau";2001-08-08;"Wolf von Trotha (Bevollmächtigter)
+49 (0) 69 710 35 554
office@trotha.de";https://www.lostart.de/de/Verlust/233028;
Suchmeldung;Einzelobjekt;420477;"Tischbein, Johann Friedrich August [Künstler:in]";"Friedrich August Anhalt-Dessau (1799-1864)";;Gemälde;2604;"Sohn des Erbprinzen Friedrich, als Engel in Wolken mit Maiblumen in der Hand";"Herzog Joachim Ernst von Anhalt, Dessauer Schloss, eingelagert im Schlosstresor";2010-08-31;"Wolf von Trotha (Bevollmächtigter)
+49 (0) 69 710 35 554
office@trotha.de";https://www.lostart.de/de/Verlust/420477;
Suchmeldung;Einzelobjekt;519088;"Berretz, Gerhard [Künstler:in]";Kosakenangriff;"1942 [Datierung]";Aquarell;;"signiert: ""Berretz 42""";"Familie Berretz, Köln; Verlust nach 1942 (zur Ausstellung in einem Berliner Museum, von dort nicht zurückerlangt); möglicherweise verbrannt; seit Kriegsende verschollen";2014-06-02;;https://www.lostart.de/de/Verlust/519088;
Fundmeldung;Einzelobjekt;470200;"Hackaert, Jan [Künstler:in]";Landschaft;;Gemälde;12162;"verso: laut Bildakt: ""Rundplakette, weiß gezackt: C 102/28 -- Geschenk an Frank 1936, Gebr. Douwes, Rockin 46 Amsterdam / 6156 -- 21.-24.10.1936 Frank angeboten von ausländischen Freunden der Akademie für Dr. Recht, bei der 3. Jahrestagung der Akademie in München -- auf Zierrahmen in Kreide: Minister Frank (und undeutlich) 20.11.36 -- in Blaustift auf Keilrahmen Nr. 38049 (Münchner Nummer)""";"Unbekannter Vorbesitz -- 1936 Gebr. Douwes, Rokin 46 Amsterdam, Nr. 6156 -- 21.-24.10.1936 Hans Frank angeboten von ausländischen Freunden der Akademie für Dr. Recht -- 20.11.1936 Minister Frank (Eintrag in Kreide auf Zierrahmen, Datum undeutlich) -- Aus dem zu Wiedergutmachungszwecken eingezogenen Nachlass von Hans Frank (23.5.1900 - 16.10.1946), Reichsleiter des Rechtsamts der NSDAP, Reichsminister und Generalgouverneur für die besetzten polnischen Gebiete. -- Münchner Nummer 38049. -- 16.1.1953 Übertragungsurkunde Nr. 19 des Bayerische Landesamt für Vermögensverwaltung und Wiedergutmachung -- 2.3.1953 vom Finanzministerium überwiesen an BSTGS -- 6.10.1958 gemäß KME Nr. VII 68 574 übernommen";2013-03-04;"Bayerische
Staatsgemäldesammlungen
München
Barer Str. 29
80799 München
+45 (0)89 23805-391
provenienz@pinakothek.de 
http://www.pinakothek.de
Dr. Andrea Bambi (Referat für Provenienzforschung)
+49 (0)89 23805-0
provenienz@pinakothek.de
Stephanie Niederalt (Zentrale Dienste der Staatl. Museen und Sammlungen, Juristisches Referat)
+49 (0)89 23805-0";https://www.lostart.de/de/Fund/470200;
