Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;91782;"Pleydenwurff, Hans [Künstler:in]";"Gottvater mit dem toten Christus (Gnadenstuhl) und zwei Stiftern";;Malerei;1706;"Tafelmalerei: Bild:";"(frühere) Verwaltung: Berlin; (öffentliche) Sammlung; Staatliche Museen; Abteilung: Gemäldegalerie; Inv. Nr. 1706; Zugangsart: Schenkung; Zugangsdatum: 1913; Auslagerungsort: Berlin; Friedrichshain; Flakturm Friedrichshain; Besitzzeit: bis 1945; Zugangsart: Auslagerung; Zugangsdatum: 1941/1942";2001-08-08;"Stiftung Preußischer Kulturbesitz
Staatliche Museen zu Berlin
Gemäldegalerie 
Matthäikirchplatz
10785 Berlin
+49 (0) 30 266 42 4001
+49 (0) 30 266 42 4003
gg@smb.spk-berlin.de
http://www.smb.spk-berlin.de
Dr. Neville Rowley (Kurator für italienische Kunst vor 1500)
+49 (0) 30 266 42 4006
n.rowley@smb.spk-berlin.de";https://www.lostart.de/de/Verlust/91782;
Suchmeldung;Einzelobjekt;568848;"Unbekannt (Russisch (?)) [Künstler:in]";Tafelaufsatz;"1750 (um) [Datierung]";"Kunsthandwerk / -gewerbe";"163 (Lepke)";"breite, geschweifte, reich profilierte Fußplatte mit Blumen und Trauben in Relief, auf vier blattförmigen Füßen, als Aufsatz durchbrochenes Körbchen, von geschwungenen Blütenzweigen getragen, aus denen sich die vier Kerzenarme entwickeln. Beschau der hannoverschen Goldschmiede. Meisterstempel GCB (Rosenberg 3/2518).";"Sammlung Alexander und Richard Ball, BerlinAuktion Lepke, Berlin 07.- 08.10. 1936 Käufer: Willner, 1800 RM";2017-08-15;"Rosbach & Fremy (Rechtsanwälte)
+49 (0) 30 280 70 71/72
office@ra-rff.de";https://www.lostart.de/de/Verlust/568848;
Fundmeldung;Einzelobjekt;572684;;Amulet;"1801/1900 [Datierung]";Schmuck;"B52.05.3968;103/313";"Object Name: AmuletSubject: Amulets, amuletic ringsIllegible inscription";"Received through JRSO (Jewish Restitution Successor Organization)";2018-01-10;"Israel Museum
POB 71117
9171002 Jerusalem
972-2-6708811
972-2-5631833
info@imj.org.il
Bareket Mann (Registrar)
bareket@imj.org.il";https://www.lostart.de/de/Fund/572684;
Suchmeldung;Einzelobjekt;595175;;"Flache, bräunlich gefärbte Schale";;Gefäß;;"dabei vier kleine Flaschen, zwei in Stangen-, zwei in Kugelform";"Herbert M. Gutmann, Potsdam - Herbertshof; aus dessen Sammlung Auktion Paul Graupe 12.-14. April 1934, Los 193; Verbleib unbekannt";2021-03-23;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/595175;"Auktionskatalog Paul Graupe, Versteigerung 132, Sammlung Herbert M. Gutmann, Herbertshof bei Potsdam - Gemälde, meist aus dem 18. Jahrhundert, Möbel, Silber, Porzellan, Textilien, Alte syrische Gläser, Ostasiatische und islamische Kleinkunst, Berlin, 12.-14.04.1934"
Fundmeldung;Einzelobjekt;572961;;"Torah mantle";"1801/1900 [Datierung]";"Kunsthandwerk / -gewerbe";"B50.02.1732;151/042";"Object Name: Torah mantleSubject: Torah mantlesHebrew inscriptions: ""Torah Crown""; ""The Tent of Meeting""; ""The Golden Altar""; ""Gold Candelabrum"", ""The Showbread""";"Received through JRSO (Jewish Restitution Successor Organization)Wiesbaden collecting point number: 221";2018-01-10;"Israel Museum
POB 71117
9171002 Jerusalem
972-2-6708811
972-2-5631833
info@imj.org.il
Bareket Mann (Registrar)
bareket@imj.org.il";https://www.lostart.de/de/Fund/572961;
Suchmeldung;Einzelobjekt;593589;"Porzellanmanufaktur Meissen [Manufaktur]";"Vogel auf einem Baumstamm";"1900 (um) [Datierung]";Kleinkunst;;"Der nicht näher zu bestimmende Vogel sitzt auf einem Baumstamm mit Bewuchs. Er hat einen spitzen Schnabel, das Gefieder scheint wenig differenziert zu sein. Modelleur unbekannt.";"[…] bis Dezember 1926, Gustav von Klemperer (gest. 27.12.1926), Dresden [1]; 30.06.1927, Nachlassregelung, Nachlass zu gleichen Teilen an Victor, Herbert-Otto und Ralph-Leopold von Klemperer [2]; November 1938, Sicherstellung der Porzellansammlung in der Villa von Victor von Klemperer durch die Geheime Staatspolizei, Dresden [3]; Dezember 1938, Abtransport der Porzellansammlung aus der Villa von Victor von Klemperer, Tiergartenstraße 64, Dresden, in das „Johanneum“, Staatliche Porzellansammlung Dresden, Augustusstraße 1, Dresden [4]; November 1941, Verfall des Vermögens der Familie von Klemperer an das Deutsche Reich gemäß der 11. Verordnung zum Reichsbürgergesetz [5]; Januar 1943, unentgeltliche Übertragung der Sammlung von Klemperer an das Land Sachsen auf Grundlage eines Entscheids von Adolf Hitler [6]; 22.11.1944, kriegsbedingte Auslagerung aus der Staatlichen Porzellansammlung nach Schloss Reichstädt [7]; nach dem 08.05.1945, Rückkehr aus den Auslagerungsdepots nach Dresden [8]; 02.04.1948, Erfassung des Objektes durch Arthur Leuschner [9].";2021-02-08;;https://www.lostart.de/de/Verlust/593589;"Archiv der Porzellansammlung, Archivnummer GN_A_2_i, Aufnahme von Fritz Fichtner im Johanneum Dresden, Oktober 1939; [1] Anette Loesch, Das Schicksal der Porzellansammlung Gustav von Klemperers, in: Beiträge öffentlicher Einrichtungen der Bundesrepublik Deutschland zum Umgang mit Kulturgütern aus ehemaligem jüdischen Besitz, bearb. von Ulf Häder (= Veröffentlichungen der Koordinierungsstelle für Kulturgutverluste, Bd. 1), Magdeburg 2001, S. 56-77; Andreas Graul, Gustav und Victor von Klemperer. Eine biographische Skizze (= Publikationen der Eugen-Gutmann-Gesellschaft, Bd. 2), Leipzig 2005; Sabine Rudolph, Restitution von Kunstwerken aus jüdischem Besitz. Dingliche Herausgabeansprüche nach deutschem Recht (= Schriften zum Kulturgüterschutz / Cultural Property Studies), Berlin 2007; [2] Rudolph 2007, S. 41-47, hier S. 41; Amtsgericht Dresden, Nachlassakte Gustav von Klemperer, Einantwortungsurkunde des Zivilgerichts für Inner-Prag, 30.06.1927; [3] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/1, Bl. 1-2, Fritz Fichtner (Direktor der Porzellansammlung) an Ministerium für Volksbildung, 01.12.1938; [4] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/1, Bl. 5, (nachrichtlich) Fritz Fichtner, 02.12.1938, entspricht der Anlage zu Bl. 4, Fritz Fichtner an Ministerium für Volksbildung, 03.12.1938. Das Objekt ist u.a. aufgeführt in folgenden zwei Quellen: (1) Archiv der SKD, 02/GD 805, Bl. 144-146, Porzellansammlung [...] von Klemperer (nicht im Katalog verzeichnet), ohne besonderen Kunstwert, Gebrauchsgeschirr, undat., hier Bl. 145, Nr. 31 oder Nr. 32. Diese Auflistung der nicht im Katalog (Porzellansammlung Gustav von Klemperer, Dresden 1928) verzeichneten Objekte, die mit „ohne besonderen Kunstwert“ bzw. als „Gebrauchsgeschirr“ bezeichnet werden, entstand nach der im November 1938 erfolgten „Sicherstellung“ der Gegenstände in der Villa von Klemperer. (2) Archiv der SKD, 02/GD 804, Bl. 198-213, Anlage zum gedruckten Katalog der Porzellansammlung Klemperer (Nicht im Katalog verzeichnete Porzellane), undat., hier Bl. 201 und/oder Bl. 204. Das Objekt kann nicht sicher einer Position in dieser Quelle zugeordnet werden. Auch kann nicht ausgeschlossen werden, dass ein Objekt mehrfach in dieser Quelle aufgeführt wurde. Diese Auflistung der nicht im Katalog (Porzellansammlung Gustav von Klemperer, Dresden 1928) verzeichneten Porzellane entstand nach der im November 1938 erfolgten „Sicherstellung“ der Gegenstände in der Villa von Klemperer, aber sicher vor dem 20.02.1939; vgl. SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/1, Bl. 65, Fritz Fichtner (Direktor der Porzellansammlung) an Ministerium für Volksbildung, 20.02.1939. [5] Rudolph 2007, S. 45; [6] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/2, Bl. 1, Reichsministers der Finanzen an Oberfinanzpräsident Dresden, 04.01.1943; ebd., Bl. 10, Oberfinanzpräsident Dresden an Reichsstatthalter Sachsen, 14.01.1943; [7] Archiv der Porzellansammlung, Verzeichnis der außerhalb von Dresden geborgenen Kunstwerke, Klemperer Glas und Porzellan ohne Kunstwert (Porz. Gal. Kl. II), unpag., hier Kiste Nr. 47, Nr. 31 oder Nr. 32. Zur Auslagerung vgl. u.a. auch SächsStA-D, 10701 Staatskanzlei, Nr. 320/38 (Schloss Reichstädt); [8] Die Objekte gelangten offenbar zu unterschiedlichen Zeiten und auf verschiedenen Wegen aus den Auslagerungsdepots nach Dresden zurück. Eine Quelle, die über die Rückkehr der einzelnen Stücke aus der Porzellansammlung Gustav von Klemperer konkret Auskunft gibt, ist zurzeit nicht bekannt. [9] Dieses Objekt ist auf einer Liste, die von Arthur Leuschner (Mitarbeiter der Porzellansammlung) im Frühjahr 1948 erstellt wurde, greifbar; Archiv der SKD, 02/GD 805, Bl. 166, Liste der restlichen Gegenstände aus der Porzellansammlg. der Brüder Klemperer, 02.04.1948. Katalog | catalogue: Externer Link"
Suchmeldung;Einzelobjekt;63662;"Kupezky, Johann [Künstler:in]";"Der heilige Hieronymus in der Wüste (Der barmherzige Samariter)";;Malerei;"GK I 5044";;"Gemäldevorrat im Neuen Palais (P-NP-V) - am 18. April 1946 verpackt und die Sowjetunion abtransportiert (Kiste 36)";2001-08-08;"Stiftung Preußische Schlösser
und Gärten Berlin-Brandenburg
Gemäldesammlung
14469 Potsdam
14414 Potsdam
(0331) 96940
(0331) 9694307
schloesserdirektion@spsg.de
http://www.spsg.de
Dr. Samuel Wittwer (Direktor der Schlösser und Sammlungen)
+49 (0) 331 96 94 307
schloesserdirektion(at)spsg.de
Dr. Ulrike Schmiegelt-Rietig (Provenienzforschung)
+49 (0) 331 96 94 874
u.schmiegelt@spsg.de";https://www.lostart.de/de/Verlust/63662;"Stiftung Preußische Schlösser und Gärten, Zerstört, entführt, verschollen. Die Verluste der preußischen Schlösser im Zweiten Weltkrieg, Gemälde I, Potsdam 2004, S. 287-288"
Suchmeldung;Einzelobjekt;405936;;"Medaillenkleinod mit Brustbild und Wappen des Kurfürsten Georg Wilhelms";"1619 (um) [Datierung]";"Medaille / Plakette";2;"Kleinod an drei kleinen mit einem Ring verbundenen Ketten hängend, unten drei weiße Perlen";"Königlicher Hausschatz, Hohenzollernmuseum, Schloss Monbijou, Berlin; Verlust 1945.";2008-09-16;"Michaela Blankart (Generalverwaltung)
+49 (0) 30 803 1138
berlin@preussen.de
Stefan Schimmel (Kunstsammlungen)
+49 (0) 30 803 1138
schimmel@preussen.de";https://www.lostart.de/de/Verlust/405936;"Kemper, Thomas: Schloss Monbijou. Von der königlichen Residenz zum Hohenzollern-Museum. Berlin, 2005."
Fundmeldung;Einzelobjekt;594912;"Unbekannt [Künstler:in]";"Anbetung der Hirten";"1601/1700 [Datierung]";Gemälde;"S 1346";"Nachtstück, mittig Maria mit dem Jesuskind in der Krippe, das Jesuskind hält ein Papier in beiden Händen, Josef links neben Maria, links und rechts der Heiligen Familie drei das Kind anbetende Hirten, im Hintergrund ein Esel, in rechter oberer Bildecke ein Engelskopf";"Sehr wahrscheinlich aus dem Besitz der Deutschen Reichsbank im Zuge der Öffnung von Banktresoren nach dem 8. Mai 1945 in die Verfügung der Tresorverwaltung des Ministeriums der Finanzen der DDR gelangt; im Juni 1953 von der Tresorverwaltung des Ministeriums der Finanzen der DDR an die Staatlichen Museen Berlin und im Oktober 1959 von dort an die Staatlichen Kunstsammlungen Dresden überwiesen";2021-03-08;"Staatliche Kunstsammlungen Dresden 
Gemäldegalerie Alte Meister 
Zwinger
Theaterplatz 1
01067 Dresden
+49 (0)351 4914 6679
AlteMeister@skd.museum
https://www.skd.museum/ 
Direktion
+49 (0)351 4914 6679";https://www.lostart.de/de/Fund/594912;"Ministerium der Finanzen der DDR, Abt. Tresorverwaltung, Tresorverzeichnis, Berlin 30.12.1950, BArch DN 1/3439.Gutachten Wolfgang Balzer, datiert 08.01.1952, Liste [undatiert] „Tresor 128 im Ministerium für Finanzen "", I. Gemälde, B. Religiöse Darstellungen, Nr. 2 [SLUB Handschriften, Autographen, Nachlässe: Mscr. Dresd. App. 2550, 31b und 2550, 31a, Bl. 37.Übernahmeliste Staatliche Kunstsammlungen Dresden 1959, Archiv der SKD, 02/GD 451, Bl. 2, Nr. 55"
Suchmeldung;Einzelobjekt;449998;"Johann von Halbig [Künstler:in]";"Johann Gottfried Steffan (1815 - 1905)";"1864 [Datierung]";"Plastik / Skulptur";"WAF B 94";"Inschrift am Sockel: JOH. GOTTFR. STEFFAN MALER, Inv. 1890, 177; Inv. 1829, 256";"1864 durch König Ludwig I. vom Künstler erworben; Werk vor dem Zweiten Weltkrieg in Schloss Schleißheim nachweisbar. Allem Anschein nach wurde es nicht ausgelagert und ist seit Kriegsende verschollen.";2011-12-15;"Bayerische
Staatsgemäldesammlungen
München
Barer Str. 29
80799 München
+45 (0)89 23805-391
provenienz@pinakothek.de 
http://www.pinakothek.de
Dr. Andrea Bambi (Referat für Provenienzforschung)
+49 (0)89 23805-0
provenienz@pinakothek.de
Stephanie Niederalt (Zentrale Dienste der Staatl. Museen und Sammlungen, Juristisches Referat)
+49 (0)89 23805-0";https://www.lostart.de/de/Verlust/449998;
