Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;478327;"Stry, Jacob van [Künstler:in]";Ruinenlandschaft;;Malerei;;;"W. Westfeld, Düsseldorf; 1939 A. Kleucker, Düsseldorf (Abb.)";2013-12-03;"Dr. Monika Tatzkow (Wissenschaftlicher Dokumentationsdienst)
+49 (0) 30 64 128 13
tatzkow@t-online.de";https://www.lostart.de/de/Verlust/478327;
Suchmeldung;Einzelobjekt;6947;"Tintoretto, Jacopo [Künstler:in]";"Bildnis des Dogen Francesco (1468-1553)";"16./20. Jahrhundert [Zeitraum]
1548/1550 (um) [Datierung]";Malerei;263-1930/6;;"1930 erworben.";2001-08-08;"Kunsthalle Bremen
28195 Bremen
+49 (0) 421 32908 47
office@kunsthalle-bremen.de
http://www.kunsthalle-bremen.de
Dr. Christoph Grunenberg (Direktor)
+49 (0)421 32908 200
grunenberg@kunsthalle-bremen.de
Dr. Dorothee Hansen (Kustodin Alte Meister)
+49 (0)421 32908 260
hansen@kunsthalle-bremen.de
Dr. Maria Aresin (Kustodin Kupferstichkabinett)
+49 (0)421 32908 261
aresin@kunsthalle-bremen.de";https://www.lostart.de/de/Verlust/6947;
Suchmeldung;Einzelobjekt;218721;;"ohne Titel";;Bibliotheksgut;A36.jpg;;;2001-08-08;"Deutsches Buch- und
Schriftmuseum der Deutschen
Bücherei Leipzig
04103 Leipzig
(0341) 2271-324
(0341) 2271-240
dbsm@d-nb.de
http://www.d-nb.de
Zentrale (Deutsche Nationalbibliothek Leipzig)
(0341) 2271-0
Dr. Stephanie Jacobs (Leiterin Deutsches Buch- und Schriftmuseum)
(0341) 2271-324
dbsm@d-nb.de";https://www.lostart.de/de/Verlust/218721;
Fundmeldung;Einzelobjekt;453650;"Franz , K. [Künstler:in]";"Dose mit Scharnierdeckel";"1760 [Datierung]";Gefäß;"K 40/202";"Dose mit Scharnierdeckel - rechteckig, Dosenwandung gewellt mit ziselierten Ornamenten";"Ankauf vom Städtischen Leihamt, München, 20 RM, 18. Juni 1940 inventarisiert";2012-05-14;"Münchner Stadtmuseum
St.-Jakobs-Platz 1
80331 München
(089) 23322370
(089) 23325033
stadtmuseum@compuserve.com
http://www.muenchner-stadtmuseum.de
Frau Dr. Regina Prinz (Provenienzforschung)
+49-(0) 89-233-27392
regina.prinz@muenchen.de";https://www.lostart.de/de/Fund/453650;
Suchmeldung;Einzelobjekt;445912;"Unbekannt (Französisch) [Künstler:in]";"Standarte des Husaren-Regiments von Polleretzky";"1758 (vor) [Datierung]";"Gebrauchs- / Raumtextilie";"AD 3871";"Tuch: Weiße Seide. An der Flugseite zweimal abgerundet, dazwischen ausgeschnitten. Beidseitig übereinstimmend in der Mitte strahlende Sonne, in den Ecken silbergestickte Lilien. Oben Devise ""NEC PLURIBUS IMPAR"" in Silber- und Goldstickerei. An den Rändern und längs der Stange silberne Fransen. Stange: Braun. Nach unten verstärkt. Achtkantig. Vier Seiten kanneliert und mit schwarzen Eisenschienen ausgelegt. Eiserne lanzenförmige Spitze. Nagelung: Oben Ring. Zwei Unterringe, ein Längsstreifen. 22 Nägel auf Silberborte. Die Standarte wurde 1758 durch das preußische Husaren-Regiment Nr. 5 von Ruesch erobert. Stange mit Spitze: 168 cm";"Artilleriedepot, die Objekte befanden sich bereits vor 1885 im Berliner Zeughaus";2011-09-19;"Stiftung Deutsches Historisches Museum
Unter den Linden 2
10117 Berlin
+49 (0) 30 203 040 
+49 (0) 30 20304543
info@dhm.de
http://www.dhm.de/
Dr. Brigitte Reineke (Leiterin Zentrale Dokumentation und Provenienzforschung)
+49 (0) 30 203 04406
reineke@dhm.de
Fritz Backhaus (Direktor Sammlungen)
+49 (0) 30 203 04200
backhaus@dhm.de
Prof. Dr. Raphael Gross (Präsident)
+49 (0) 30 203 04101
praesident@dhm.de";https://www.lostart.de/de/Verlust/445912;
Suchmeldung;Einzelobjekt;415794;;"Amphorenvase mit zwei Drachenhenkeln";"618/906 [Datierung]";Gefäß;;"Hellbraun, geflossene Glasur, die den unteren Teil freilässt. Ein Henkel repariert. T`ang.";"Zwangsversteigerung: Die Bestände der Firma Dr. Otto Burchard & Co., Berlin, in Liquidation, Auktionskatalog Paul Graupe, Berlin, Versteigerung 140, 22. und 23. März 1935, Losnummer 71.";2009-11-24;"Pierre-Yves Samson (Nachtragsliquidator)
liquidator@oppenheimer.legal";https://www.lostart.de/de/Verlust/415794;
Fundmeldung;Einzelobjekt;287601;"Unbekannt (Hethitisch / Hittitian) [Künstler:in]";"Sitzende Figur";"1750-700 (ante) und 1470-1900 [Zeitraum]";"Plastik / Skulptur";"inv. 555";"Figürliche Sarstellung / Kultobjekt";"Sammlung (collection) Jacques O. Matossian, Kairo (?); Joseph Soustiel: bis 1961; Didrichsen Art Museum: seit 1961";2003-07-24;"Hakkarainen, Maarit (Projektleiterin)
Tiina Koivulahti, Ph.Lic. (Projektleiterin)
tiina.e.koivulahti@gmail.com";https://www.lostart.de/de/Fund/287601;
Fundmeldung;Einzelobjekt;583866;"Kraus, Georg Melchior [Künstler:in]";Dohlenstein;"1780 [Datierung]";Aquarell;KHz/01636;;"erworben durch das Goethe-Nationalmuseum am 28. Februar 1940 von Antiquariat Friedrich Otto, Mannheim;Vorprovenienz Leon Nathansohn;als verfolgungsbedingt entzogenes Kulturgut identifiziert, Geschädigter: Leon Nathansohn";2019-08-20;"Klassik Stiftung Weimar / Direktion Museen
Frauenplan 1
99423 Weimar
+49 (0) 3643 545 310
+49 (0) 3643 545 356
museen@klassik-stiftung.de
http://www.klassik-stiftung.de/start/";https://www.lostart.de/de/Fund/583866;
Fundmeldung;Einzelobjekt;585537;"Unbekannt [Künstler:in]";Tisch;"1850 (um) / 1943 (vor) [Datierung]";Möbel;"ohne Nummer";"Mächtiger Eichentisch mit runder Tischplatte und vier gedrechselten Beinen";"Nach mündlicher Tradition soll der Tisch aus der 1857/59 neu gegründeten Leeraner Freimaurer-Loge ""Georg zur wahren Brudertreue"" stammen, die 1934 zwangsweise aufgelöst wurde. In der Liste beschlagnahmter Vermögen, der Verlustliste oder in dem Restitutionsgesuch der 1947 wiedergegründeten Loge (NLA Aurich, Rep. 16/1, Nr. 992 (Einziehung von Vermögen staatsfeindlicher Organisationen), Nr. 999 (Auflösung der Freimaurer-Logen) und Rep. 107, Nr. 2184 zum Grundstück und Rep. 252, Nr. 2357 zum finanziellen Schadensersatz der Loge) wird der Tisch nicht erwähnt.";2020-02-11;"Heimatmuseum Leer
Neue Straße 12-14
26789 Leer
http://www.heimatmuseum-leer.de/
Burghardt Sonnenburg M.A.
0491-2019
info@heimatmuseum-leer.de";https://www.lostart.de/de/Fund/585537;"Niedersächsisches Landesarchiv - Abteilung Aurich, Rep. 16/1, Nr. 992; Rep. 16/1, Nr. 999; Rep. 107, Nr. 2184; Rep. 252, Nr. 2357"
Fundmeldung;Einzelobjekt;577051;"Kutzen, Josef [Autor:in]
C. E. Menzel [Verlag]";"Geschichte des Preussischen Staates : Begründung der ersten nothwendigen Kenntnisse in der vaterländischen Geschichte u. Leitfaden für Lehrer an Stadt und Landschulen (Band 1)";"1829 [Erscheinungsdatum]";Buch;"1.8° 115-1";"1 Band (Provenienzmerkmal entfernt)";"ETG (Edith und Georg Tietz) - Berlin; Arisierung 1934, Emigration 1937, Enteignung 1942; via Reichstauschstelle in Stadtbibliothek Bautzen";2018-05-07;"Stadtbibliothek Bautzen
Schloßstraße 10
02625 Bautzen
03591 534-850
stadtbibliothek@bautzen.de
http://www.bautzen.de/stadtbibliothek.asp";https://www.lostart.de/de/Fund/577051;
