Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;472104;"Unbekannt (Korea) [Künstler:in]";"Flache Schüssel";"1601/1700 [Datierung]";Gefäß;;"Derb bemalt in kräftigem Eisenrot und Grün mit sitzendem Chilin zwischen Pflanzenmotiven, umrahmt von Borte mit schlanken Drachen. Randfries mit fünf Blütenreserven und fünf Scheiben auf Gittergrund. Der Boden mit Sandspuren.";"7. November 1934 Auktion Ottmar Strauss bei Helbing Frankfurt (Main), Nr. 42, Lot 696";2013-04-04;"von Trott zu Solz Lammek (Rechtsanwälte • Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/472104;
Suchmeldung;Einzelobjekt;452665;"Unbekannt (Deutsch (Berlin, Königliche Porzellanmanufaktur)) [Künstler:in]";"Teller mit Schloss Fischbach";"1840 (um) [Datierung]";"Kunsthandwerk / -gewerbe";"Gundersheimer Gutachten S.54, Nr.285";"Auf dem Goldfond des Randes Kranz von grünen Efeublättern. Im Spiegel in rechteckigem Feld Schloss Fischbach. Am Boden Berliner Marke.";"Sammlung Ottmar Strauss";2012-03-29;"von Trott zu Solz Lammek (Rechtsanwälte • Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/452665;
Fundmeldung;Einzelobjekt;574572;"Schliestedt, Heinrich [Autor:in]
Verlagsges. d. Dt. Metallarbeiter-Verbandes [Verlag]";"Die Wandlungen in der Weltwirtschaft : mit besonderer Berücksichtigung der Metallindustrie : ein Vortrag, gehalten auf dem 19. ordentlichen Verbandstag des Deutschen Metallarbeiter-Verbandes in Berlin am 21. Aug. 1930";"1930 [Erscheinungsdatum]";Buch;37.c.1401-19;"Weitere Informationen im Online-Katalog der Staats- und Universitätsbibliothek Bremen";"restituiert / Als Dauerleihgabe von den Erben erhaltenRückgabe erfolgtProvenienz: Arbeiterkammer BremenZugang: 1937.10.05
Status
restituiert";2018-01-16;"Staats- und Universitätsbibliothek Bremen
Bibliothekstraße
28359 Bremen
+49 (0)421 218 59610
suub@suub.uni-bremen.de
http://www.suub.uni-bremen.de
Müller, Maria-Elisabeth (Direktorin)
+49 (0)421 218 59400";https://www.lostart.de/de/Fund/574572;
Suchmeldung;Einzelobjekt;175867;;"Akte über 'wahre' Sozialisten";;Archivgut;;;"Die Akten aus dem Polizeipräsidium mit der Kennzeichnung Pr. Br. Rep 30 lagerten bis in den 2. Weltkrieg im Geheimen Staatsarchiv in Berlin-Dahlem. Sie wurden in Salzbergwerke Staßfurt ausgelagert und dort von sowjetischen Militäreinheiten beschlagnahmt.";2001-08-08;"Brandenburgisches
Landeshauptarchiv
Potsdam
14469 Potsdam
(0331) 619012
Beck, Prof. Dr. OAR
Neitmann, Klaus Dr. (Direktor)
(0331) 292971/72
Schröder, Frau (Leiterin  Außenstelle Lübben)
(03546) 201909
Zentrale
(0331) 56740";https://www.lostart.de/de/Verlust/175867;
Fundmeldung;Einzelobjekt;588645;"Antonćesk Hubka [Autor:in]";"Naše menšiny a smíšené kraje na českém jihu";;Buch;"Dublette zu 23 III C 44";"Stempel: Knihovna Ministerstva Zahraničních Věcí; Stempel: Prager Bücherei des Auswärtigen Amtes; Stempel: Nord- und Ostdeutsche Forschungsgemeinschaft; Auf dem Umschlag mit Tinte: F 18.649; Namensvermerk mit Bleistift auf dem Umschlag o.r.: D.[?] Pačeck; Zugangsnummer mit Tinte: 1281/1937; Zugangsnummer: Nord- und Ostdeutsche Forschungsgemeinschaft: 962/41;NS-Raubgut";"Vorbesitzer: Knihovna Ministerstva Zahraničních Věcí; Prager Bücherei des Auswärtigen Amtes; Nord- und Ostdeutsche Forschungsgemeinschaft";2020-05-15;"Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft 
Forschungsbibliothek
Gisonenweg 5-7
35037 Marburg
+49 6421 184-202
+49 6421 184-139
mail@herder-institut.de
http://www.herder-institut.de";https://www.lostart.de/de/Fund/588645;
Suchmeldung;Einzelobjekt;208360;"Unbekannt [Künstler:in]";"Vier Dosen (im Etui)";;Schnitzerei;"Ahv 210";"Drei Dosen aus Hirschhorn und Elfenbein in vergoldeter Silberfassung. Eine Pfeife und ein Griff mit einer Büchse aus Hirschhorn und Elfenbein in Silberfassung. Alles in einem roten Lederetui.";"Laut Inventar 1858 aus dem Besitz von Herzog Ernst I. von Sachsen-Coburg und Gotha und vom Fürsten Franz Josef von Koháry herstammend.";2001-08-08;"Stiftung Schloss Friedenstein 
Gotha
Schlossplatz 1
99867 Gotha
0049 (0) 03621 8234-0
0049 (0) 03621 8234-290
http://www.stiftungfriedenstein.de
Dr. Tobias Pfeifer-Helke (Stiftungsdirektor)
+49 (0) 621-8234 100
vorstand@stiftung-friedenstein.de
Dr. Timo Trümper (Kustode für Gemälde und Plastik)
+49 (0) 3621 8234 553
truemper@stiftung-friedenstein.de
Ronny Licht (Provenienzforscher)
+49 (0) 3621-82 34 329
ronny.licht@friedenstein-stiftung.de";https://www.lostart.de/de/Verlust/208360;"Inventar 1830, fol. 9r, Nr. 63; Inventar 1858, Bd. I, Kap. XXV, Nr. 186; Aldenhoven Plastik, Elfenbein Nr. 210"
Suchmeldung;Einzelobjekt;85765;"Küster, G. G. [Autor:in]";"Bibliotheca historica Brandenburgica scriptores rerum Brandenburgicarum exhibens";"1743 [Erscheinungsdatum]";Buch;6566;;;2001-08-08;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/85765;
Suchmeldung;Einzelobjekt;11380;;Reduktionsmassstab;"1851/1900 [Datierung]";Messgerät;1936/7;;;2001-08-08;"Staatliche Kunstsammlungen Dresden
Mathematisch-Physikalischer Salon
Theaterplatz 1
01067 Dresden
(0351) 4914 6660
mps@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 6660
mps@skd.museum";https://www.lostart.de/de/Verlust/11380;
Fundmeldung;Einzelobjekt;520340;"Keck [Verlag]";"Frische Kräuter : Album zum Besten nothleidender Künstler und Schriftsteller";"1851 [Erscheinungsdatum]";Buch;"Dd 3 : 541 [37]";"Stempel: Thüringische Landesbibliothek <Weimar>Weitere Informationen im Online-Katalog NS-Raubgut der Herzogin Anna Amalia Bibliothek";"Vorbesitz: NN | Einband | Etikett | TilgungVorbesitz: NN | Preis [?] | TilgungVorbesitz: NN | Stempel | Erläuterung: gestempeltes ""a"" im hinteren SpiegelVorbesitz: NN | Merkzeichen | Notiz | Nummer Nr. 1 ; 654 ; Nr. 1122 ; 8623/291 | Preis 24.-Vorbesitz: Modreiner, Carl | Widmung: Autor | Erläuterung: Zur freundlichen Erinnerung Herrn Ludwig Bowitsch dem gemütstollen Lyriker vom dankbaren HerausgeberVorbesitz: Bowitsch, Ludwig | Exemplar: WidmungsempfängerVorbesitz: Gilhofer, Buch- und Kunstantiquariat | Erläuterung: LieferantZugang: Thüringische Landesbibliothek, Weimar | Stempel | Zugangsnummer 1944.3036 | Datum 1945-02-05 | Erläuterung: Erwerbungsart: A";2014-06-23;"Klassik Stiftung Weimar / Herzogin Anna Amalia Bibliothek
Platz der Demokratie 1
99423 Weimar
+49 (0) 3643 545 200  
+49 (0) 3643 545 220 
haab@klassik-stiftung.de
http://www.klassik-stiftung.de/einrichtungen/herzogin-anna-amalia-bibliothek/";https://www.lostart.de/de/Fund/520340;
Suchmeldung;Einzelobjekt;397464;"Liebermann, Max [Künstler:in]";"Bildnis Arno Holz";;Druckgrafik;"Los 1036";"Groß-Oktav. Sign. Sch. 350.";"Berlin / Max Perl, Auktion 180, 1933-5-18/1933-5-19";2007-11-30;;https://www.lostart.de/de/Verlust/397464;
