Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;568612;"Unbekannt (Französisch (?)) [Künstler:in]";Tisch;;Möbel;"90 (WGA)";"mit Marmorplatte, Louis XVI. Beschriftung der Rückseite des Fotos: Tisch, Engelskopf in der Mitte „Seite 4 Lot 25“. Quelle: Liste, der im Ausland beschlagnahmten Kunstgegenstände. In: D - LAB, B Rep. 025-04, Nr. 671/ 57.";"Sammlung Alexander und Richard BallFirma Jansen, Paris 9 Rue Royale (in Kommission) Beschlagnahme durch den ERR, Paris 1941 (um)";2017-08-15;"Rosbach & Fremy (Rechtsanwälte)
+49 (0) 30 280 70 71/72
office@ra-rff.de";https://www.lostart.de/de/Verlust/568612;
Suchmeldung;Einzelobjekt;405035;"Allori, Alessandro [Künstler:in]";"Bildnis einer vornehmen jungen Dame";;Malerei;;"Halbfigur vor grauer Wand, halb nach rechts gewandt, in der erhobenen Rechten einen Handschuh, in hellrotem Gewand mit großem Spitzenkragen und Perlenschmuck. Im dunklen Haar Blumen und Schleifen.";"Versteigerung bei Graupe 21.12.1935, Nr. 2";2008-06-27;"von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/405035;
Suchmeldung;Einzelobjekt;208628;"Priester, Johann Jakob (2) [Künstler:in]
Adam, Elias [Künstler:in]";"Kleiner Becher";"1712/13 [Datierung]";"Kunsthandwerk / -gewerbe";"Ahv 370";"Einer von sechs kleinen Bechern, konische Form mit Emailbemalung von J.J. Priester: Monatsdarstellungen (signiert ""J.J. Priester. Pin.""). Zu Ahv 366 gehörend.";"Geschenk der russischen Zarin Katharina II. an Herzogin Auguste von Sachsen-Coburg-Saalfeld. Ihr Enkelsohn Herzog Ernst II. von Sachsen-Coburg und Gotha schenkte die Kanne und weitere Teile mehrerer Service im Jahr 1878 dem Herzoglichen Museum. [...]. Zwei der Becher wurden 1987 von der Würzburger Kunsthandlung H.P.Lockner jr. auf der Berliner Orangerie präsentiert; 1993 wurden die Becher vom Kunst- und Auktionshaus Dr. Fischer in Heilbronn angeboten.";2001-08-08;"Stiftung Schloss Friedenstein 
Gotha
Schlossplatz 1
99867 Gotha
0049 (0) 03621 8234-0
0049 (0) 03621 8234-290
http://www.stiftungfriedenstein.de
Dr. Tobias Pfeifer-Helke (Stiftungsdirektor)
+49 (0) 621-8234 100
vorstand@stiftung-friedenstein.de
Dr. Timo Trümper (Kustode für Gemälde und Plastik)
+49 (0) 3621 8234 553
truemper@stiftung-friedenstein.de
Ronny Licht (Provenienzforscher)
+49 (0) 3621-82 34 329
ronny.licht@friedenstein-stiftung.de";https://www.lostart.de/de/Verlust/208628;"Aldenhoven Geräth und Schmuck, Goldschmiedsarbeit Nr. 370"
Fundmeldung;Einzelobjekt;218900;"Poussin, Gaspard [Künstler:in]";"Klassische Landschaft mit Landhaus";;Malerei;mü11018;"(Rückseite: K 1817P, II, Bild. Zim 49);Rechts und links hohe Bäume, Mitte Staffage, links zwei fischende Knaben. Mittelgrund Schloß von Büschen und Bäumen umgeben. (Zweitname des Künstlers: Dughet, Gaspart)";"1943 aus dem Nachlaß von Dr. Hans Posse vom Deutschen Reich erworben";2001-08-08;"Kunstverwaltung des Bundes
Herbert-Bayer-Straße 5
13086 Berlin
provenienzforschung@kvdb.bund.de
http://www.kunstverwaltung.bund.de";https://www.lostart.de/de/Fund/218900;
Fundmeldung;Einzelobjekt;572983;"Langer, Sebastian [Künstler:in]";"Holy Mary (Gottes Maria)";"1809 [Datierung]";Druckgrafik;B53.07.4681;"Object Name: Print";"Received through JRSO (Jewish Restitution Successor Organization) - JCR (Jewish Cultural Reconstruction)JRSO Number: Wie 2064b";2018-01-10;"Israel Museum
POB 71117
9171002 Jerusalem
972-2-6708811
972-2-5631833
info@imj.org.il
Bareket Mann (Registrar)
bareket@imj.org.il";https://www.lostart.de/de/Fund/572983;
Suchmeldung;Einzelobjekt;593470;"Porzellanmanufaktur Meissen [Manufaktur]";Triangelspielerin;"1753 (um) [Datierung]";Kleinkunst;;"[...] Triangelspielerin. Stehend. In der linken Hand die Triangel, in der rechten der Anschlagstab. Der Mund singend geöffnet. Weißes, unterm Kinn verknotetes Kopftuch, lichtpurpurne Schoßjacke mit gelben Ärmelaufschlägen, geraffte gelbe Schürze mit purpurnem Zweigmuster, kupfergrüner Rock, weiße Strümpfe und aufgebogene gelbe Holzpantinen. Sockel wie vorher [Goldstaffierter Rocaillesockel]. Eingedrückt: 6. [...] Schwertermarke. Modelle von Kändler und Reinicke [...].";"[…] bis Dezember 1926, Gustav von Klemperer (gest. 27.12.1926), Dresden [1]; 30.06.1927, Nachlassregelung, Nachlass zu gleichen Teilen an Victor, Herbert-Otto und Ralph-Leopold von Klemperer [2]; November 1938, Sicherstellung der Porzellansammlung in der Villa von Victor von Klemperer durch die Geheime Staatspolizei, Dresden [3]; Dezember 1938, Abtransport der Porzellansammlung aus der Villa von Victor von Klemperer, Tiergartenstraße 64, Dresden, in das „Johanneum“, Staatliche Porzellansammlung Dresden, Augustusstraße 1, Dresden [4]; November 1941, Verfall des Vermögens der Familie von Klemperer an das Deutsche Reich gemäß der 11. Verordnung zum Reichsbürgergesetz [5]; Januar 1943, unentgeltliche Übertragung der Sammlung von Klemperer an das Land Sachsen auf Grundlage eines Entscheids von Adolf Hitler [6]; 1943, kriegsbedingte Auslagerung aus der Staatlichen Porzellansammlung Dresden nach Schloss Rammenau in Sachsen [7]";2021-02-08;;https://www.lostart.de/de/Verlust/593470;"Porzellansammlung Gustav von Klemperer, Dresden 1928, S. 171-173, Nr. 634-645, hier Nr. 635; [1] Anette Loesch, Das Schicksal der Porzellansammlung Gustav von Klemperers, in: Beiträge öffentlicher Einrichtungen der Bundesrepublik Deutschland zum Umgang mit Kulturgütern aus ehemaligem jüdischen Besitz, bearb. von Ulf Häder (= Veröffentlichungen der Koordinierungsstelle für Kulturgutverluste, Bd. 1), Magdeburg 2001, S. 56-77; Andreas Graul, Gustav und Victor von Klemperer. Eine biographische Skizze (= Publikationen der Eugen-Gutmann-Gesellschaft, Bd. 2), Leipzig 2005; Sabine Rudolph, Restitution von Kunstwerken aus jüdischem Besitz. Dingliche Herausgabeansprüche nach deutschem Recht (= Schriften zum Kulturgüterschutz / Cultural Property Studies), Berlin 2007; [2] Rudolph 2007, S. 41-47, hier S. 41; Amtsgericht Dresden, Nachlassakte Gustav von Klemperer, Einantwortungsurkunde des Zivilgerichts für Inner-Prag, 30.06.1927; [3] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/1, Bl. 1-2, Fritz Fichtner (Direktor der Porzellansammlung) an Ministerium für Volksbildung, 01.12.1938; [4] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/1, Bl. 5, (nachrichtlich) Fritz Fichtner, 02.12.1938, entspricht der Anlage zu Bl. 4, Fritz Fichtner an Ministerium für Volksbildung, 03.12.1938; [5] Rudolph 2007, S. 45; [6] SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/2, Bl. 1, Reichsministers der Finanzen an Oberfinanzpräsident Dresden, 04.01.1943; ebd., Bl. 10, Oberfinanzpräsident Dresden an Reichsstatthalter Sachsen, 14.01.1943; [7] Archiv der Porzellansammlung, Verzeichnis der außerhalb von Dresden geborgenen Kunstwerke, unpag., ca. 1943; SächsStA-D, 11125 Ministerium des Kultus und öffentlichen Unterrichts, Nr. 18834/2, Bl. 13, (nachrichtlich) A. Richter (Oberregierungsrat, Sächsische Staatskanzlei) an Direktor der Porzellangalerie, 08.04.1943; ebd., Bl. 21, Fritz Fichtner an Sächsische Staatskanzlei, 30.04.1943; ebd., Bl. 48, Fritz Fichtner an Hermann Voss (Sonderbeauftragter für Linz), 25.08.1943.Katalog | catalogue: Externer Link"
Fundmeldung;Einzelobjekt;391051;"Cranach, Lucas (der Ältere) [Künstler:in]";"Bildnis einer Dame vor rotem Hintergrund, Christiane von Eulenau";"1534 [Datierung]";Gemälde;"BSTGS, Inv.Nr. 13706";"Rechts unten signiert mit dem Cranach’schen Drachensignet mit aufrecht stehenden Flügeln und datiert 1534.; Befund der Rückseite: Auf der 1. Vertikalleiste oben links handschriftlich mit Bleistift: >139 32<; auf der 2. Vertikalleiste oben handschriftlich mit blauem Stift: >6743< (CCP München, Münchner Nr.); im Feld zwischen 1. und 2. Schubleiste sowie 2. und 3.Vertikalleiste ein quadratischer, perforierter Aufkleber, auch quer und senkrecht perforiert und mit einem blauen Kreis und Ecksegmenten bedruckt, unbeschriftet; auf der 3. Vertikalleiste, oben, Reste eines Aufklebers mit Spuren einer Tintenbeschriftung, nicht mehr lesbar; darunter handschriftlich mit Bleistift: >schoengemackt in 1923 BoBommel Amsterdam / Basperzyde 245< (Lesart der Straßenangabe nicht ganz sicher); auf der 2. Schubleiste zwischen 3. und 4. Vertikalleiste ein Aufkleber mit einem runden Zollstempel, Durchmesser ca. 1,5 cm, mit dem zentralen Motiv des Bundesadlers und der Aufschrift: >POSTZOLLAMT MÜNCHEN<; auf der 2. Schubleiste, überlappt durch die 4. Vertikalleiste, ein Aufkleber mit der Tintenaufschrift: >Dit schilderij was in den /tyd van Rubens bijnae geheel/overschilderd; Nad (?) een Rubens /- hoed op; pofmouven enzo-/en is nu in 1923. door mij /daarvan geheel ontdaen /sonder de originaele niet te beschadigen is bygepointil/ -leerd en in deeze Toenstand /terug gebracht, in opdracht von de Heer Casirer - uit Berlyn./ Bo Bommel Amsterdam<; neben der Aufschrift handschriftlich mit Bleistift: >63.44 / cm< (Maßangaben); über der Aufschrift, zwischen der 1. und 2. Schubleiste, ein schwarzer runder Zollstempel, Durchmesser 2,9 cm, unlesbar; auf der 4. Vertikalleiste Aufkleber mit rotem Rand und der Aufschrift mit brauner Tinte: >Lucas Cranach/the Elder 1472 -1553/ No. 15426<; darüber dunkle Aufschrift: >7563<; unten auf der 4. Vertikalleiste ovaler Aufkleber mit blauem Rand, darauf handschriftlich mit Filzstift: >7373<; auf der 5. Vertikalleiste zwei Schweizer Zollstempel, Durchmesser 1,6 cm, mit der Aufschrift >ZOLL / I -32< darunter ein Kreuz; im Feld zwischen 4. und 5. Vertikalleiste sowie 3. und 4. Schubleiste ein runder, roter Zollstempel, Durchmesser 2,9 cm, mit dem zentralen Motiv des Reichswappens, des stilisierten Adlers mit ausgestreckten Flügeln und in seinen Greifen einem Medaillon mit dem Hakenkreuz, die Umschrift unlesbar; im Feld zwischen der 4. und 5. Vertikalleiste und der 5. und 6. Schubleiste nochmals der gleiche Zollstempel, gleichfalls unlesbar. - Auf dem Zierrahmen, obere Leiste: >rosa< Aufkleber, darauf handschriftlich in Blau: >F< und in der linken unteren Ecke mit Bleistift: >67<; daneben handschriftlich mit blauem Stift: >6745< (CCP München, Münchner Nr.); Reste eines Papieraufklebers, Maße 31 : 12 mm; in der oberen rechten Ecke: handschriftlich mit rosa Kreide: >G 200<, oval eingefaßt und blau unterstrichen (Transportnummer für das Amerikanische Inventar); daneben mit rotem Stift: >42<; in der unteren rechten Ecke handschriftlich mit blauem Stift: >6745< (CCP München, Münchner Nr.); in der oberen linken Ecke mit Bleistift: >G 200<, oval eingefaßt (Transportnummer für das Amerikanische Inventar).";"Um 1923 in Amsterdam bei dem Restaurator Bommel zur Restaurierung, offenbar im Auftrag von Cassirer, Berlin. - Eventuell in der Versteigerung am 18.12.1928 bei Fievez in Brüssel. - Möglicherweise bis 1931 als Sammlungsnummer 862 im Besitz von Stephan von Auspitz (?). - Am 31.8.-2.9.1933 Auktion Theodor Fischer, Luzern, Nr. 448, aus dem Besitz von einem Herrn Salinger, Berlin. - Nach Angabe von Dr. Paul Fischer damals nicht verkauft. - Möglicherweise dann im Besitz von Arnold Seligmann, New York. - Zu unbekanntem Zeitpunkt bei Julius Böhler, München (?). - Am 14.12.1938 von der Galerie Fischer, Luzern, für 17.812,- RM über Walter Andreas Hofer an Hermann Göring. - Inventar Reichsmarschall, RM-Nr. 79. - CCP München, Münchner Nr. 6745. - Am 9.2.1966 Übertragung von der Oberfinanzdirektion München an die BSTGS; Restaufteilung aus der Sammlung Hermann Göring.";2007-06-26;"Bayerische
Staatsgemäldesammlungen
München
Barer Str. 29
80799 München
+45 (0)89 23805-391
provenienz@pinakothek.de 
http://www.pinakothek.de
Dr. Andrea Bambi (Referat für Provenienzforschung)
+49 (0)89 23805-0
provenienz@pinakothek.de
Stephanie Niederalt (Zentrale Dienste der Staatl. Museen und Sammlungen, Juristisches Referat)
+49 (0)89 23805-0";https://www.lostart.de/de/Fund/391051;
Suchmeldung;Einzelobjekt;388714;"Müller-Brieghel, Wilhelm [Künstler:in]";"Die Welle";;Malerei;;;"Gekauft bei Schulte für 4.000 Mark.";2007-05-07;;https://www.lostart.de/de/Verlust/388714;
Fundmeldung;Einzelobjekt;319063;"Russo, Alfred [Künstler:in]";"Lesender Jude mit aufgestütztem Kopf";;Druckgrafik;;"Bez. rechts unten: ""Alfred Russo"". Auf der Blattvorderseite links unten im Eck Vermerk ""No 61 Judentype II"". Zwei identische Exemplare der Grafik vorhanden.";"im September 1943 durch den OFP Hessen in Darmstadt an die Gemäldegalerie und das Altertumsmuseum der Stadt Mainz überwiesen, Finanzamts-Kenn-Nummer: M. St. 88/851. Wahrscheinlich im September 1942 vom Finanzamt Mainz nach der Deportation der Eigentümer beschlagnahmt. Die Identität des Eigentümers/der Eigentümerin (vermutlich ein Mainzer Sammler mit Spezialisierung auf Druckgraphik der Berliner Secession und der 1920er Jahre) konnte bislang nicht geklärt werden.";2006-11-03;"Landesmuseum Mainz
55116 Mainz
(06131) 28570
(0631) 285757
http://www.landesmuseum-mainz.de
Dorothee Glawe M.A. (Provenienzforschung)
dorothee.glawe@gdke.rlp.de";https://www.lostart.de/de/Fund/319063;
Suchmeldung;Einzelobjekt;482469;"Chodowiecki, Daniel Nicolaus [Künstler:in]";"Miniatur einer Dame mit Witwenschleier";;Malerei;"VI 17907";"Miniatur einer älteren Dame mit Witwenschleier, Brustbild en face, Neuerwerbungen des Märkischen Museum, Bd. 2., Ab 3, S4f";"Ankauf von Hermann Ball, 15.06.1926, 1945 im Märkischen Museum als der Teil der Chodowiecki-Sammlung beschlagnahmt";2014-03-12;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/482469;
