Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Fundmeldung;Einzelobjekt;567768;"Unbekannt (G. van Nymegen?) [Künstler:in]";"Drei Badende Frauen am Fluß";"1771 (?) [Datierung]";Gemälde;"Villa Said";"An einer Flussbiegung, auf einem Ufervorsprung drei badende Frauen. An der Spitze des Vorsprungs hohe Uferpflanzen, gegenüber am bewaldeten Ufer ein Steg, rechts hohe Bäume. An einem überhängenden Ast zwei Früchte.";;2017-05-15;"Bundesamt für Auswärtige Angelegenheiten
Kirchhofstraße 1-2
14776 Brandenburg
I-AU-RL@bfaa.bund.de";https://www.lostart.de/de/Fund/567768;
Fundmeldung;Einzelobjekt;573596;;"Sofa-shaped Hanukkah lamp";"1901/1925 [Datierung]";Beleuchtung;"B50.02.1962;118/1006";"Object Name: Hanukkah lampSubject: Hanukkah lampsThe shelf and oil fonts are missing, as well as two legs and turquoise stones from right leg.";"Received through JRSO (Jewish Restitution Successor Organization), Wiesbaden collecting point";2018-01-10;"Israel Museum
POB 71117
9171002 Jerusalem
972-2-6708811
972-2-5631833
info@imj.org.il
Bareket Mann (Registrar)
bareket@imj.org.il";https://www.lostart.de/de/Fund/573596;
Suchmeldung;Einzelobjekt;529402;"Sommer, August [Künstler:in]";Kentaur;;"Plastik / Skulptur";"ZV 1093";"Der Kentaur trägt auf dem Rücken einen Ziegenschlauch, den er mit dem linken Arm festhält und nach dem er sich umblickt.";"1892 Geschenk des Künstlers. Inventar ZV 458-2814 (1886-1919/20). Entliehen an das Justizministerium Dresden am 2.11.1925. Kriegsverlust.";2015-09-23;"Staatliche Kunstsammlungen Dresden
Skulpturensammlung
Tzschirnerplatz 2
01067 Dresden
+49 (0)351 4914 9740
sks@skd.museum
http://www.skd.museum
Direktion
+49 (0)351 4914 9740
sks@skd.museum";https://www.lostart.de/de/Verlust/529402;"Spezialberichte über die Verwaltung der Königl. Sammlungen im Jahre 1892, S. 7."
Suchmeldung;Einzelobjekt;484420;"Poppe, Fedor [Künstler:in]";"Blick in die Papenstraße";"1885 [Datierung]";Malerei;"XI 23821";"Blick auf die Häuser 23-19 Papenstraße, dahinter e. Teil des Marienkirchturms, rechts eine Ecke d. Hauses Kloster.10";"Schenkung von R. Patzenhofer, Halensee, Johann Georg str. 21/22, 15.02.1921";2014-03-12;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/484420;
Fundmeldung;Einzelobjekt;219142;"Unbekannt (Katalonien) [Künstler:in]";"Sechs Apostel unter Arkaden (seitlicher Teil eines Frescos)";"1101/1200 [Datierung]";Malerei;mü13620/3;"Das Werk zeigt sechs Apostel mit erhobener rechter Hand. Links neben einigen Figuren befinden sich Buchstaben von oben nach unten. Bei den Dargestellten handelt es sich vermutlich von rechts nach links um Jacobus, Johannes sowie Paulus, die anderen sind undeutlich. Die Freskomalerei stammt von der südöstlichen Tonnenwölbung des Sanktuariums der Kirche.";"Bis 1932 Kirche Santa Coloma d‘AndorraAb 1933 Josep Bardolet i Solé (?–?), Barcelona(…)1935 Sammlung S. I., ausgestellt in Aix-en-Provence(…)1938 Privatbesitz, Barcelona(…)Bis 1944 Baron Jean Germain Léon Cassel van Doorn (1882–1952), BrüsselAb 1944 Reichsvermögen („Sonderauftrag Linz“)Nach 1944 Eingang in das Bergwerk Alt-Aussee02.11.1945 Eingang in den Central Collecting Point München1949–2007 Bundesvermögen2007 Restitution
Status
restituiert";2001-08-08;"Kunstverwaltung des Bundes
Herbert-Bayer-Straße 5
13086 Berlin
provenienzforschung@kvdb.bund.de
http://www.kunstverwaltung.bund.de";https://www.lostart.de/de/Fund/219142;
Suchmeldung;Einzelobjekt;168176;"Liebermann, Max [Künstler:in]";"Studie zu einer Dalila";"1910 [Datierung]";Zeichnung;"C 1911-36";"Schwarze Kreide";"Vom Künstler, Berlin 1911.";2001-08-08;"Staatliche Kunstsammlungen Dresden
Kupferstich-Kabinett 
Taschenberg 2
01067 Dresden
(0351) 4914 3210
kk@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 3210
kk@skd.museum";https://www.lostart.de/de/Verlust/168176;"Singer, Hans W(olfgang): Zeichnungen von Otto Greiner. 52 Taf. mit Lichtdr. nach d. Meisters Orig.; (= Meister der Zeichnung ; Bd 4); Leipzig; o.J. (1912) Taf.47"
Suchmeldung;Einzelobjekt;233703;;"1 Figur, Göttin mit vergoldeten Händen, bläulich";"1500/2000 [Zeitraum]";Kleinkunst;"Inventarbuch Seite 190 Nr.21";"weißes Chinaporzella";"Schloß Waldenburg in Waldenburg (Sachsen), Abbildung vor 1945, 2. Reihe";2001-08-08;"Wolf von Trotha (Bevollmächtigter)
+49 (0) 69 710 35 554
office@trotha.de";https://www.lostart.de/de/Verlust/233703;
Suchmeldung;Einzelobjekt;123167;;"Die gefallenen Engel";;Zeichnung;277;;;2001-08-08;"Kunsthalle Bremen
28195 Bremen
+49 (0) 421 32908 47
office@kunsthalle-bremen.de
http://www.kunsthalle-bremen.de
Dr. Christoph Grunenberg (Direktor)
+49 (0)421 32908 200
grunenberg@kunsthalle-bremen.de
Dr. Dorothee Hansen (Kustodin Alte Meister)
+49 (0)421 32908 260
hansen@kunsthalle-bremen.de
Dr. Maria Aresin (Kustodin Kupferstichkabinett)
+49 (0)421 32908 261
aresin@kunsthalle-bremen.de";https://www.lostart.de/de/Verlust/123167;"Baldin, Viktor: Liste der Kunstwerke aus dem Besitz der Kunsthalle Bremen, die der Autor nach dem Krieg nach Moskau brachte; Manuskript (maschinenschriftlich ?) in der Kunsthalle Bremen; ca. 1989 Nr. 270/8."
Suchmeldung;Einzelobjekt;36411;"Honthorst, Gerrit van [Künstler:in]";"Bildnis einer jungen Dame im Jagdkostüm (Luise Christine von Polen?)";;Malerei;"GK I 6163";"Oranische oder pfälzische Prinzessin. Bildfläche oben gerundet; vermutlich seitlich und unten beschnitten.";"Schloß Berlin (B-SCHL), Leihgabe an das Schloßmuseum Berlin (Nummer 160)";2001-08-08;"Stiftung Preußische Schlösser
und Gärten Berlin-Brandenburg
Gemäldesammlung
14469 Potsdam
14414 Potsdam
(0331) 96940
(0331) 9694307
schloesserdirektion@spsg.de
http://www.spsg.de
Dr. Samuel Wittwer (Direktor der Schlösser und Sammlungen)
+49 (0) 331 96 94 307
schloesserdirektion(at)spsg.de
Dr. Ulrike Schmiegelt-Rietig (Provenienzforschung)
+49 (0) 331 96 94 874
u.schmiegelt@spsg.de";https://www.lostart.de/de/Verlust/36411;"Stiftung Preußische Schlösser und Gärten, Zerstört, entführt, verschollen. Die Verluste der preußischen Schlösser im Zweiten Weltkrieg, Gemälde I, Potsdam 2004, S. 239"
Suchmeldung;Einzelobjekt;428272;"Unbekannt (Deutsch) [Künstler:in]";"Ovale Dose";"1760 (um) [Datierung]";Behältnis;"679 (Graupe)";"Mit Purpurlandschaften, die von blau und gold staffierten Reliefrocaillen mit bunten Blumen gerahmt werden. Innen im Deckel Landschaft mit Pilger und Pilgerin, die eine Dame zum Mitkommen auffordern. In bunten Farben. Fassung aus vergoldeter Bronze.Lit.: Paul Graupe: Die Sammlung Frau Emma Budge. Hamburg, Versteigerung am 27., 28. und 29.September 1937. Katalognummer 679; LAB, A Rep. 243-04 Nr. 28, Versteigerungsniederschrift vom 20.10.1937";"Sammlung Budge; Käufer 1937 (Graupe) (Graupe): Steinmeyer für Levy, 130,-";2010-12-13;"Rosbach & Fremy (Rechtsanwälte)
+49 (0) 30 280 70 71/72
office@ra-rff.de";https://www.lostart.de/de/Verlust/428272;
Fundmeldung;Einzelobjekt;568252;"Courbet, Gustave (Werkstatt) [Künstler:in]
Ordinaire, Marcel (?) [Künstler:in]";"Rochers près de la Loue (Ornans?)/Felsen bei der Loue (Ornans?)";"nach 1872 [Datierung]";Gemälde;;"signiert unten rechts: ""G. Courbe"" [die Leinwand ist beschnitten]verso, Rahmen, oben rechts in Bleistift: […]16""; oben mittig in Bleistift: ""16 J. […?]"" und ""BPA""; oben rechts in blau: ""Wie 1937/16""; in Bleistift: ""79""; Mitte rechts in Tinte: ""3250 79 [?]""; auf senkrechter Keilrahmenleiste zwei Etikette: “Umkreis d.h. Mitarbeiter von Gustave Courbet (Oranans bei Besançon 1819–La Tour de Peilz, Schweiz, 1877) Jura Landschaft. Laut Epertise von Jean-Jacques Fernier vom Institut Gustave Courbet in Ornans (1. Februar 2006, s. Unterlagen) handelt”; “es sich um das Werk eines Mitarbeiters (wohl Marcel Ordinaire 1848–1896), wie sie Courbet seit Sommer 1872 beschäftigte, mit Korrekturen des Malers. In der Signatur ‘G. Courbet’ ist das t bei der Rentoilage samt einer Partie rechts entfallen. Ohnehin könnte der Namenszug von einem Mitarbeiter eingefügt worden sein. Fernier nennt den Grund, weist auch auf Mängel im Erhaltungszustand des Bildes hin.”";"(...)Wahrscheinlich bei Theo Hermsen, Paris20. August 1943: Hildebrand Gurlitt, von obigem erworben ?Spätestens 1945: Hildebrand Gurlitt, Aschbach1945–1950 Central Collecting Point Wiesbaden, Nr. WIE 1937/16Seit 15. Dezember 1950: Hildebrand Gurlitt, DüsseldorfBis November 2020: Privatsammlung, Süddeutschland, ErbgangSeit November 2020: Bundesrepublik Deutschland, Schenkung aus Privatbesitz, übernommen zur fortlaufenden Provenienzforschung";2017-07-28;"Kunstverwaltung des Bundes
Herbert-Bayer-Straße 5
13086 Berlin
provenienzforschung@kvdb.bund.de
http://www.kunstverwaltung.bund.de";https://www.lostart.de/de/Fund/568252;
Suchmeldung;Einzelobjekt;208651;"Unbekannt [Künstler:in]";Altarkelch;"1482 (?) [Datierung]";Gefäß;"Z.V. Nr. 1239";"Kelch mit breitem Nodus aus zwölf durchbrochenen Fischblasen. Auf dem Fuß eine in Relief aufgelegte Kreuzigungsgruppe, von der die linke, unter dem Kreuz stehende Figur (Maria) fehlt. Innen am Fuß gravierte Inschrift: ""anni din MCCCCLXXXII ...""";"Erworben 1908 aus der Kirche in Hohenkirchen.";2001-08-08;"Stiftung Schloss Friedenstein 
Gotha
Schlossplatz 1
99867 Gotha
0049 (0) 03621 8234-0
0049 (0) 03621 8234-290
http://www.stiftungfriedenstein.de
Dr. Tobias Pfeifer-Helke (Stiftungsdirektor)
+49 (0) 621-8234 100
vorstand@stiftung-friedenstein.de
Dr. Timo Trümper (Kustode für Gemälde und Plastik)
+49 (0) 3621 8234 553
truemper@stiftung-friedenstein.de
Ronny Licht (Provenienzforscher)
+49 (0) 3621-82 34 329
ronny.licht@friedenstein-stiftung.de";https://www.lostart.de/de/Verlust/208651;"Zugangsverzeichnis Nr. 1239"
Suchmeldung;Einzelobjekt;571883;"Fabrik Gerhard Wolbeer [Künstler:in]";"Ein Paar achtkantige Flaschenvasen";"1701/1715 (um) [Datierung]";"Kunsthandwerk / -gewerbe";;"kannelierte Balusterform. In Blau, Rot, Gelb und Grün bemalt mit Pfauen und anderen Vögeln auf Blumenstauden sowie Blattfriesen und Lambrequinbordüren. Ausgebessert. Berlin, Anfang 18. Jahrh., Fabrik Wolbeer. (O. v. Falke, Alt-Berliner Fayencen, 1923, Abb. 13c.) H. je 34 cm. Literatur: Auktionskatalog Hans W. Lange, Wertvolles Kunstgewerbe, Berlin, 19.-21. Mai 1941, S. 79. Nr. 358, Taf. 45 (DOI: Externer Link)";"Sammlung Dr. Wilhelm Dosquet, Berlin, Auktion Hans. W. Lange, Berlin, Mai 1941";2017-11-15;"Dr. Sibylle Ehringhaus
ehringhaus@revidet.de";https://www.lostart.de/de/Verlust/571883;
Suchmeldung;Einzelobjekt;17443;"Bonzi, Pietro Paolo [Künstler:in]";"Knabe mit Melone";;Gemälde;366;"Tafelmalerei: Bild: Jugendlicher, Heranwachsender & Früchte: Melone; Jugendlicher & Melone";"(frühere) Verwaltung: Berlin; (öffentliche) Sammlung; Staatliche Museen; Gemäldegalerie; Inv. Nr. 366; Zugangsart: Ankauf; Zugangsdatum: 1829; Auslagerungsort: Berlin; Friedrichshain; Flakturm Friedrichshain; Besitzzeit: bis 1945; Zugangsart: Auslagerung; Zugangsdatum: 1941/1942; (erster) Vorbesitzer: Rom; (private) Sammlung: Giustiniani, Vincenzo (Marchese); Besitzzeit: bis 1637";2001-08-08;"Stiftung Preußischer Kulturbesitz
Staatliche Museen zu Berlin
Gemäldegalerie 
Matthäikirchplatz
10785 Berlin
+49 (0) 30 266 42 4001
+49 (0) 30 266 42 4003
gg@smb.spk-berlin.de
http://www.smb.spk-berlin.de
Dr. Neville Rowley (Kurator für italienische Kunst vor 1500)
+49 (0) 30 266 42 4006
n.rowley@smb.spk-berlin.de";https://www.lostart.de/de/Verlust/17443;
Suchmeldung;Einzelobjekt;208873;"Unbekannt (Italienisch / Casteldurante (Urbania) ?) [Künstler:in]";Teller;;Gefäß;"Ahv 33";"Tiefer Teller. Darstellung: Flora.";;2001-08-08;"Stiftung Schloss Friedenstein 
Gotha
Schlossplatz 1
99867 Gotha
0049 (0) 03621 8234-0
0049 (0) 03621 8234-290
http://www.stiftungfriedenstein.de
Dr. Tobias Pfeifer-Helke (Stiftungsdirektor)
+49 (0) 621-8234 100
vorstand@stiftung-friedenstein.de
Dr. Timo Trümper (Kustode für Gemälde und Plastik)
+49 (0) 3621 8234 553
truemper@stiftung-friedenstein.de
Ronny Licht (Provenienzforscher)
+49 (0) 3621-82 34 329
ronny.licht@friedenstein-stiftung.de";https://www.lostart.de/de/Verlust/208873;"Inventar 1830, fol. 32v, Nr. 124-137; Inventar 1858, Bd. I, Cap. XVII, Nr. 183; Aldenhoven Ton und Glas, I, Nr. 33"
Suchmeldung;Einzelobjekt;317948;"Kaulbach, Friedrich [Künstler:in]";"Porträt des Prinzen Hermann zu Stolberg-Wernigerode (als Mädchen dargestellt)";"1870 [Datierung]";Malerei;;"Porträt eines Mädchens mit einer blauen Schleife im Haar sowie an den schulter des weißen Kleides. Links an der schulter Signatur und Datum: Fr. Kaulbach, 1870. oval";"Bis 1945 im Besitz des Grafen Ludwig-Christian zu Stolberg-Wernigerode. Nachdem dessen Familie im Frühjahr 1945 das Gut Radenz (Kreis Krotoschinskij) in Westpolen verlassen mußte, wurden dieses, sowie weitere Gemälde von Sowjetischen Soldaten in das Museum Smolensk gebracht. 2005 war es Teil einer Ausstellung für Deutsche Gemälde aus der Sammlung des Museums Smolensk.";2006-10-13;"Marie Stolberg
marie@stolberg-wernigerode.com";https://www.lostart.de/de/Verlust/317948;
Suchmeldung;Einzelobjekt;472097;"Unbekannt (Chinesisch, Sung) [Künstler:in]";"Kleiner Topf";"901/1300 [Datierung]";Gefäß;;"Flachkugelig, mit ausladendem kurzem Hals, auf Ringfuß. Gelblicher, harter Scherben mit Ausguss unter honigfarbener, fein und bräunlich gesprüngelter Glasur. Chü lu hsien Typ.";"7. November 1934 Auktion Ottmar Strauss bei Helbing Frankfurt (Main), Nr. 42, Lot 662, Abbildung Tafel 50";2013-04-04;"von Trott zu Solz Lammek (Rechtsanwälte • Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/472097;
Fundmeldung;Einzelobjekt;475466;"Unbekannt [Künstler:in]";"Gobelin: Sylvius mit seinem Hund und Dorinda";;"Gebrauchs- / Raumtextilie";"Gob 14";;"Aus der Sammlung Dr. Ernst Gallinek, Baden-Baden; nach dessen Tod 1941 vom Staat angeeignet und an das Badische Landesmuseum Karlsruhe überwiesen
Status
restituiert";2013-07-02;"Badisches Landesmuseum 
Karlsruhe
76131 Karlsruhe
(0721) 9266514/42
(0721) 9266537 und -6549
info@landesmuseum.de
http://www.landesmuseum.de
Prof. Dr. Eckart Köhne (Direktor)
+49 (0) 721 926 6501
direktion@landesmuseum.de";https://www.lostart.de/de/Fund/475466;
Suchmeldung;Einzelobjekt;314697;"Unbekannt (Deutsch (Augsburg), Engelbrecht, Joh. (?)) [Künstler:in]";Gewürzdöschen;"1745 (um) [Datierung]";"Kunsthandwerk / -gewerbe";;"Auf Fuß. Kantig, geschweift und gebuchtet. Auf dem flachen Deckel Rokaillekartusche. Beschau: Augsburg 1743-45. Meistermarke: Joh. Engelbrecht ? 1748. Gew. 80 g.";"Frankfurt (Main) / Verlust 1936";2006-06-23;"Dr. Sabine Rudolph (Rechtsanwältin)
+49 (0)351 / 448 333-0
s.rudolph@steinmeier.eu";https://www.lostart.de/de/Verlust/314697;
Fundmeldung;Einzelobjekt;594981;"Unbekannt (Westerwald / Westerwald region) [Künstler:in]";Kanne;"1650-1675 [Datierung]";Gefäß;18/348;"Kanne mit Sternmotiv, manganfarben";"Herkunft unbekannt, vor Juli 1961 erworben";2021-03-11;"Städtische Museen Wetzlar
Kornblumengasse 1 
35578 Wetzlar
+49 644199-4131
museum@wetzlar.de
https://www.wetzlar.de/kultur/museen/sammlung-von-lemmers-danforth.php
Dr. Anja Eichler (Leiterin der Städtischen Sammlungen Wetzlar)
06441 99-4131
museum@wetzlar.de";https://www.lostart.de/de/Fund/594981;"Wolfram Koeppe, Die Lemmers-Danforth-Sammlung Wetzlar, Heidelberg 1992, S. 395"
Suchmeldung;Einzelobjekt;257701;"Holländischer Monogrammist A. B. S. [Künstler:in]";"Stilleben mit toten Fischen";"1660 (um) [Datierung]";Gemälde;"983 B";"Tafelmalerei: Bild: Fisch; Fischstilleben; Fisch; Stilleben";"(frühere) Verwaltung: Berlin; (öffentliche) Sammlung; Staatliche Museen; Gemäldegalerie; Inv. Nr. 983 B; Zugangsart: Ankauf; Zugangsdatum: 1874;Vorbesitzer: Suermont, Barthold; Besitz bis 1874; (zeitweilige) Verwaltung: Sowjetische Zentralkommandantur; Zugangsart: Beschlagnahme; Zugangsdatum: 1945/1946; (zeitweilige) Verwaltung:Österreich; Zugangsart: Ankauf; Zugangsdatum: um 1948 (zeitweilige) Verwaltung: Kalifornien; Zugangsdatum: vor 1975?";2002-06-03;"Stiftung Preußischer Kulturbesitz
Staatliche Museen zu Berlin
Gemäldegalerie 
Matthäikirchplatz
10785 Berlin
+49 (0) 30 266 42 4001
+49 (0) 30 266 42 4003
gg@smb.spk-berlin.de
http://www.smb.spk-berlin.de
Dr. Neville Rowley (Kurator für italienische Kunst vor 1500)
+49 (0) 30 266 42 4006
n.rowley@smb.spk-berlin.de";https://www.lostart.de/de/Verlust/257701;
Suchmeldung;Einzelobjekt;415111;;"Kleine Kommode";"1786/1800 [Datierung]";Möbel;;"Auf kantigen Füßen, mit Mittelstütze und Einlagen. Louis XVI Stil";"Sammlung Fritz Gugenheim, versteigert bei Harms, 19.8.1936 Nr. 154; Abbildung Tafel 9";2009-10-20;"von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/415111;
Fundmeldung;Einzelobjekt;572932;"Rouet, F.(?) [Künstler:in]";"Angelo, Jew, Born in Alger, Aged 28 Years (Angelo, Juif né à Alger, agé de 28 ans)";"Undated [Datierung]";Zeichnung;B52.11.1854;"Object Name: Drawing";"Received through JRSO (Jewish Restitution Successor Organization)";2018-01-10;"Israel Museum
POB 71117
9171002 Jerusalem
972-2-6708811
972-2-5631833
info@imj.org.il
Bareket Mann (Registrar)
bareket@imj.org.il";https://www.lostart.de/de/Fund/572932;
