Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Fundmeldung;Einzelobjekt;319071;"Thiel, Johannes [Künstler:in]";"Kutsche mit bewaffneten Reitern vor einer Burg, Ex. 2/30";;Druckgrafik;;"Im Stein bez. links oben ""Thiel""; Nummerierung links unten ""2/30"", mit Bleistift bez. rechts unten ""Johannes Thiel"". Unter Passepartout, das maschinenschriftlich links mit dem Werktitel, rechts mit dem Künstlernamen beschriftet ist.";"im September 1943 durch den OFP Hessen in Darmstadt an die Gemäldegalerie und das Altertumsmuseum der Stadt Mainz überwiesen, Finanzamts-Kenn-Nummer: M. St. 88/851. Wahrscheinlich im September 1942 vom Finanzamt Mainz nach der Deportation der Eigentümer beschlagnahmt. Die Identität des Eigentümers/der Eigentümerin (vermutlich ein Mainzer Sammler mit Spezialisierung auf Druckgraphik der Berliner Secession und der 1920er Jahre) konnte bislang nicht geklärt werden.";2006-11-03;"Landesmuseum Mainz
55116 Mainz
(06131) 28570
(0631) 285757
http://www.landesmuseum-mainz.de
Dorothee Glawe M.A. (Provenienzforschung)
dorothee.glawe@gdke.rlp.de";https://www.lostart.de/de/Fund/319071;
Suchmeldung;Einzelobjekt;58851;"Falbe, Joachim Martin (Zuschreibung an) [Künstler:in]";"Prinzessin Ferdinand von Preußen";;Malerei;"GK I 2741";"Bisher als Werk von Anna Rosina de Gasc geb. Lisiewska geführt;";"Neues Palais (P-NP) - Juni 1944 Kloster Lehnin - jetzt als Kriegsbeute im Staatlichen Puschkin-Museum, Moskau (am 22./30. März 1946 dort registrirt; ЗЖ-1268; Internet 1010245)";2001-08-08;"Stiftung Preußische Schlösser
und Gärten Berlin-Brandenburg
Gemäldesammlung
14469 Potsdam
14414 Potsdam
(0331) 96940
(0331) 9694307
schloesserdirektion@spsg.de
http://www.spsg.de
Dr. Samuel Wittwer (Direktor der Schlösser und Sammlungen)
+49 (0) 331 96 94 307
schloesserdirektion(at)spsg.de
Dr. Ulrike Schmiegelt-Rietig (Provenienzforschung)
+49 (0) 331 96 94 874
u.schmiegelt@spsg.de";https://www.lostart.de/de/Verlust/58851;"Stiftung Preußische Schlösser und Gärten, Zerstört, entführt, verschollen. Die Verluste der preußischen Schlösser im Zweiten Weltkrieg, Gemälde I, Potsdam 2004, S. 163"
Suchmeldung;Einzelobjekt;307415;"Unbekannt (Französisch) [Künstler:in]";Uhr;"1770 (um) [Datierung]";Uhr;;"Große Uhr, signiert, Geschenk des Königs von Frankreich an den Zaren; Uhrwerk defekt (Göring nahm sie daraufhin nicht ab)";"Ankauf 1939 bei der Fa. (Friedrich Otto?) Schmid(t?), Wien, für 10.000 RM für Hermann Göring; Einlagerung der Kunstgegenstände 1943 durch Firma Karl Boden Nachf. OHG Spedition, Möbeltransporte; Verlust: ""Lager Mager"" in Groß-Buckow, 1945.";2005-04-21;;https://www.lostart.de/de/Verlust/307415;"Dokumente in Besitz von Konrad Heydenreich"
Fundmeldung;Einzelobjekt;573223;;"Tower-shaped spicebox";"1875/1900 [Datierung]";Behältnis;"B50.02.1018;124/052";"Object Name: SpiceboxSubject: Spice boxes";"Received through JRSO (Jewish Restitution Successor Organization)Wiesbaden collecting point number: 1019";2018-01-10;"Israel Museum
POB 71117
9171002 Jerusalem
972-2-6708811
972-2-5631833
info@imj.org.il
Bareket Mann (Registrar)
bareket@imj.org.il";https://www.lostart.de/de/Fund/573223;
Fundmeldung;Einzelobjekt;304018;"Wolf Heidenheim und Baruch M. Baschwitz [Drucker:in]";"Seder krovot hu mahzor (Machsor)";"1804 [Erscheinungsdatum]";Buch;;"""privilegirte oriental- und occidentalische Buchdruckerey von Wolf Heidenheim und Baruch M. Baschwitz""; Abb. 1: Titelblatt in Hebräisch; Abb. 2: Titelblatt in Hebräisch, Deutsch und Deutsch mit hebräischen Buchstaben";"Dessau / unbekannt, 1933-45 ?";2004-05-24;"Stadtarchiv Dessau-Roßlau
Anhaltische Landesbücherei Dessau
Wissenschaftliche Bibliothek und Sondersammlungen 
Heidestr. 21
06842 Dessau-Roßlau
(0340) 204-2448
wissenschaftliche.bibliothek@dessau-rosslau.de 
http://www.stadtarchiv.dessau-rosslau.de
Dr. Frank Kreißler, Frank (Leiter des Stadtarchivs Dessau-Roßlau)
(0340) 204-1324
frank.kreissler@dessau-rosslau.de
Kreißler, Martine (Leiterin der Wissenschaftlichen Bibliothek)
(0340) 204-2448
martine.kreissler@dessau-rosslau.de
Weischede, Herr Bernhard (Rechtsamt Stadt Dessau-Rosslau / Dezernat II, Amt 30)
(0340) 204-1430
rechtsamt@dessau-rosslau.de";https://www.lostart.de/de/Fund/304018;
Suchmeldung;Einzelobjekt;121228;"Unbekannt (Italienisch / Florenz) [Künstler:in]";"Schreitender nackter Mann";"1501/1600 [Datierung]";Zeichnung;35/148;;"Sir P. Lely (2092); J. Richardson sen. (L.2184); E. Bouverie (L. 325)";2001-08-08;"Kunsthalle Bremen
28195 Bremen
+49 (0) 421 32908 47
office@kunsthalle-bremen.de
http://www.kunsthalle-bremen.de
Dr. Christoph Grunenberg (Direktor)
+49 (0)421 32908 200
grunenberg@kunsthalle-bremen.de
Dr. Dorothee Hansen (Kustodin Alte Meister)
+49 (0)421 32908 260
hansen@kunsthalle-bremen.de
Dr. Maria Aresin (Kustodin Kupferstichkabinett)
+49 (0)421 32908 261
aresin@kunsthalle-bremen.de";https://www.lostart.de/de/Verlust/121228;"Baldin, Viktor: Liste der Kunstwerke aus dem Besitz der Kunsthalle Bremen, die der Autor nach dem Krieg nach Moskau brachte; Manuskript (maschinenschriftlich ?) in der Kunsthalle Bremen; ca. 1989 Nr. 25/25."
Suchmeldung;Einzelobjekt;572269;"Ravesteyn, Jan Anthonisz. van [Künstler:in]";"Porträt eines Mannes/ Portrait d'homme";;Gemälde;;"oval. Männerkopf mit lockigen Haaren, einem kastanienbraunen Bart.";"Richard Semmel, Berlin; angeboten auf der Auktion Muller, Amsterdam 21.11.1933, Nr. 50 (ohne Abb.); angeboten auf Auktion Galerie Moos, Genf, 23.05.1936, Nr. 127, Tafel 18; Verbleib unbekannt";2017-11-22;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/572269;
Fundmeldung;Einzelobjekt;573116;;"Torah mantle";"1801/1900 [Datierung]";"Kunsthandwerk / -gewerbe";"B50.02.1742;151/040";"Object Name: Torah mantleSubject: Torah mantlesHebrew inscription: ""Torah Crown"" (abbreviated)";"Received through JRSO (Jewish Restitution Successor Organization)Wiesbaden collecting point number: 81";2018-01-10;"Israel Museum
POB 71117
9171002 Jerusalem
972-2-6708811
972-2-5631833
info@imj.org.il
Bareket Mann (Registrar)
bareket@imj.org.il";https://www.lostart.de/de/Fund/573116;
Suchmeldung;Einzelobjekt;527201;"Porzellanmanufaktur Meissen [Manufaktur]";Fischterrine;;Gefäß;"Os 308 (Oppenheimer)
Por. 266 (Mannheimer)
Mü 1626/10 
347 (Muller & Cie)";"Supplement Oppenheimer: mit Henkel und Knauf in der Form eines Fisches mit eisenroten Kopf und gelben Schwanz, rote und blaue Schuppen. Auf der Schale zwei Blütenzweige, auf dem Deckel drei Reserven mit drei Blütenzweigen. Marke: Große blaue gekreuzte Schwerter.Muller & Cie: Runde Fischterrine, Dekor polychrom und golden, mit Chinoiserien und Blumensträußen. Die drei Griffe in Form eines Hechtes. Eine kleine Abplatzung an einem Schwanz. Marke gekreuzte Schwerter in blau.Lit.:• Supplement Oppenheimer. S.1-15. In: NL – HaNA, 2.08.42. Stichting Nederlands Kunstbezit (SNK).• US – NARA, RG 260. M1946. Administrative records, correspondence, denazification orders, custody receipts, property cards, Jewish restitution claim records, property declarations, and other records from the Munich CCP. Roll 145. Restitution Research Records. Mannheimer Collection: Catalog, Volume II.• US - NARA, RG 260. M1946. Photographs of art objects stolen by the Nazis from the Linz Museum and other collections in Europe. Roll 276-281. Photographs Taken by the Munich Central Collecting Point, OMGUS, of Artworks Appropriated by Germany during World War II. • Porselein-Mannheimer bestemd voor de verkoop. In: NL - HaNA, 2.08.42. - SNK, Stichting Nederlands Kunstbezit, Nr. 565 - Stukken betreffende de verkoop van kunstvoorwerpen die behoren tot de Mannheimer collectie op de veiling van 14 oktober 1952, 1952.• Frederick Muller & Cie:Catalogue de tableaux, antiquités, objets d'art provenant de la collection du Dr. F. Mannheimer, 14.-21.10.1952. Amsterdam 1952.";"Sammlung Dr. Franz und Margarethe Oppenheimer, Berlin und Wien, - 1938 (um) -Sammlung Dr. Fritz Mannheimer, Amsterdam 1938 (um) -sichergestellt durch Dienststelle Mühlmann für Sonderauftrag Linz, 1941 -CCP MünchenRestitution an die Niederlande, Amsterdam Rijksmuseum AmsterdamAuktion Muller & Cie, Amsterdam 14.-21.10.1952, Lot 347";2015-05-08;"Rosbach & Fremy (Rechtsanwälte)
+49 (0) 30 280 70 71/72
office@ra-rff.de";https://www.lostart.de/de/Verlust/527201;
Suchmeldung;Einzelobjekt;472147;"Unbekannt (Chinesisch, Kang Hsi) [Künstler:in]";"Kleine tiefe Schüssel";"1700 (um) [Datierung]";Gefäß;;"Mit Famille verte-Dekor. Innen Blumenkorb umgeben von Vasen und Emblemen; aussen zwei Phönixe und Lotosranken. Blaumarke Lotosblüte in Doppelring. Johanneums-Nr. 105 I.";"7. November 1934 Auktion Ottmar Strauss bei Helbing Frankfurt (Main), Nr. 42, Lot 719, Abbildung Tafel 56";2013-04-04;"von Trott zu Solz Lammek (Rechtsanwälte • Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/472147;
Suchmeldung;Einzelobjekt;113553;"Dürer, Albrecht (Schule des) [Künstler:in]";"Weiblicher Kopf mit geöffnetem Mund";"1510 [Datierung]";Zeichnung;"Kl. 38";"Signatur: Unten (von fremder Hand): AD 1510.";"J. Grünling (L. 1462, 1463); E. G. Harzen (L. 1244, 1462); H. Klugkist (bei L. 292)";2001-08-08;"Kunsthalle Bremen
28195 Bremen
+49 (0) 421 32908 47
office@kunsthalle-bremen.de
http://www.kunsthalle-bremen.de
Dr. Christoph Grunenberg (Direktor)
+49 (0)421 32908 200
grunenberg@kunsthalle-bremen.de
Dr. Dorothee Hansen (Kustodin Alte Meister)
+49 (0)421 32908 260
hansen@kunsthalle-bremen.de
Dr. Maria Aresin (Kustodin Kupferstichkabinett)
+49 (0)421 32908 261
aresin@kunsthalle-bremen.de";https://www.lostart.de/de/Verlust/113553;"Baldin, Viktor: Liste der Kunstwerke aus dem Besitz der Kunsthalle Bremen, die der Autor nach dem Krieg nach Moskau brachte; Manuskript (maschinenschriftlich ?) in der Kunsthalle Bremen; ca. 1989 Nr. 141/25."
Suchmeldung;Einzelobjekt;573862;"Grimmer, Jacob [Künstler:in]";"Flußdurchzogene Landschaft";;Gemälde;;"Flußdurchzogene Landschaft mit Personenstaffage. Fluß zwischen bewaldeten Ufern. Links flaches Vorgelände mit altem Laubwald, an dessen Rand ein Weg nach vorn führt. Im Bildmittelpunkt ein niedriges Haus. Auf und am Wege sieht man zu Markt ziehende Bauern, rastende Wanderer, weidende Schafe, einen Jäger, der auf einen Fischreiher schießt, einen Angler u.a. Ganz rechts hinten türmt sich ein bläulich-graues Felsmassiv hoch. Antiker geschn. Goldrahmen. Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 19";"Sammlung Arthur Maier, Karlsbad (gestorben 1935), Marianne Matella, Karlsbad (Universalerbin); Versteigerung 1939 durch das Auktionshaus Lempertz, Köln; […]; Verbleib unbekannt";2018-01-09;;https://www.lostart.de/de/Verlust/573862;
Suchmeldung;Einzelobjekt;410315;"Menzel, Adolph [Künstler:in]";"Ruine Aura bei Kissingen";"1884 [Datierung]";Malerei;;"bez.: Ad Menzel 84, Tschudi Nr. 644";"Kühnscher, Berlin; Privatsammlung Guben";2009-02-23;"Dr. Monika Tatzkow (Wissenschaftlicher Dokumentationsdienst)
+49 (0) 30 64 128 13
tatzkow@t-online.de";https://www.lostart.de/de/Verlust/410315;
Suchmeldung;Einzelobjekt;218501;"Brand [Autor:in]
J. C. Spener [Verlag]";"Geschichte der See-Reisen und Entdeckungen im Süd-Meer..";"1774 [Erscheinungsdatum]";Buch;;;;2001-08-08;"Stiftung Preußischer Kulturbesitz
Staatliche Museen zu Berlin
Kunstbibliothek 
Matthäikirchplatz 6
10785 Berlin
+49 (0)30 - 266 424 101 
+49 (0)30 - 266 424 199 
kb@smb.spk-berlin.de 
http://www.smb.spk-berlin.de
Prof. Dr. Moritz Wullen (Direktor)";https://www.lostart.de/de/Verlust/218501;
Suchmeldung;Einzelobjekt;310457;"Cederström, Thure Nikolaus von (Freiherr) [Künstler:in]";"Putztag im Kloster";;Malerei;;"zwei Mönche in weißen Kutten beim Putzen des Kupfergeschirrs in der Klosterküche; signiert";"Heinrich Morgenstern, Fürth; 22.11.1938 Auktion Lepke, Berlin, Lot 9 (mit Abb.); Verbleib unbekannt";2005-09-28;"HCPO (Holocaust Claims Processing Office)
claimsques@dfs.ny.gov
Rowland & Associates (Law Offices)
+ 1 (212) 685 5509
DavidJohnRowland@cs.com";https://www.lostart.de/de/Verlust/310457;
Suchmeldung;Einzelobjekt;519197;"Unbekannt (Syrisch) [Künstler:in]";"Schmaler Glasbecher";"1300/1310 [Datierung]";"Kunsthandwerk / -gewerbe";"261 (Robert Zahn – Bachstitz); 510 (Generalverwaltung)";"Am oberen Rand völlig verstümmelte Rankenbordüre. Zwischen schmalen Fries mit laufenden Tieren und einem unteren glatten Bande nach rechts schreitender, zurückblickender Vogel (Kranich?). […] Fundort: Noworossisijsk (NL - HA-Na, Stichting Nederlands Kunstbezit (SNK), Inv. Nr. 2.08.42)weitere Quellen: Bundesarchiv Koblenz (BArch), B 323, Nr. 574; Bulletin Bachstitz Gallery. Den Haag 1930. S. 38";"Sammlung Kurt Walter Bachstitz, - [26.06.] 1943; - 1943 Oberrheinische Museen, Strassburg, Dr. Kurt Martin, [26.06.] 1943 -";2014-06-16;"Von Trott zu Solz - Lammek (Rechtsanwälte - Notar)
+49 (0) 30 59 00 33 00
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/519197;
