Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Fundmeldung;Einzelobjekt;418076;"Kretschmann, Ernst [Autor:in]
Singer [Verlag]";"Lehrbuch des Arbeiter-Samariter-Bundes";"1920 [Erscheinungsdatum]";Buch;"Jf 6934<2>";"Mit hs. Namenszug auf dem Vortitelbl.: Elfriede SüßmannAkzessions-Nr. auf der Rücks. des Titelbl.: P 1935.6963Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"NS-Raubgut. Quellen: Archiv der Staatsbibliothek, Akten A62, Arnsberg - Schreiben des Oberbürgermeisters als Ortspolizeibehörde Lünen Tgb.Nr.1094/35 VIII c. 1935-10-28 ""Überweisung beschlagnahmter Bücher"" mit hs. ergänzter Akz.-Nr. P 1936.315-319, P 1935.6960-6964; Akzessionsjournal der Preußischen Staatsbibliothek P 1935.6963, ""erh.v.Oberbürgermstr.Lünen"", inventarisiert als Pflicht 1936-02-03Provenienz: Süßmann, ElfriedeProvenienz: LünenProvenienz: Preußische Staatsbibliothek <Berlin> / Zugang / Datum 1936-02-03 / Zugangsnummer P 1935.6963 / NS-RaubgutSüßmann, ElfriedeLünen Preußische Staatsbibliothek <Berlin> NS-Raubgut";2010-11-25;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/418076;
Suchmeldung;Einzelobjekt;532535;"Höppener, Hugo Reinhold Karl Johann [Künstler:in]";"Bleiskizze des Töchterchens";;Zeichnung;;Federzeichnung;"Bis zu seinem Selbstmord 1935 im Besitz von Richard Neuhäuser. Im Jahr 1937 von seiner Tochter , als sie das Land verlassen musste. Was mit den Objekten im Lager passiert ist, ist bis heute unbekannt.";2016-02-05;;https://www.lostart.de/de/Verlust/532535;
Suchmeldung;Einzelobjekt;184793;"Verkolje, Nicolaes [Künstler:in]";"Acht tanzende junge Frauen, links flöteblasende Frau";;Zeichnung;"C 1145";;"Von Moritz G. Weidemann, Leipzig, 1723.";2001-08-08;"Staatliche Kunstsammlungen Dresden
Kupferstich-Kabinett 
Taschenberg 2
01067 Dresden
(0351) 4914 3210
kk@skd.museum
https://www.skd.museum
Direktion
(0351) 4914 3210
kk@skd.museum";https://www.lostart.de/de/Verlust/184793;
Fundmeldung;Einzelobjekt;532376;"Wahrmund, Ludwig [Autor:in]
Lehmann [Verlag]";"Ultramontan : eine Abwehr in vier Artikeln ; 1. Herr P. Fonck SJ als wissenschaftlicher Kritiker, 2. Die Ultramontane Moral, 3. Die Teufelsaustreibung im Wemdinger Kloster, 4. Die ""Religion"" des Papstes Clemens VI., Anhang. Einige berühmte Reliquienschätze";"1908 [Erscheinungsdatum]";Buch;"A 55/388 (2)";"Zusammen gebunden mit: Wahrmund : Katholische Weltanschauung und freie WissenschaftWeitere Informationen im Online-Katalog des Bibliothekssystems der Justus-Liebig-Universität Gießen: Externer Link";"Deutschland (Gebiet unter Alliierter Besatzung, Amerikanische Zone). Amt der Militärregierung für Hessen. Offenbach Archival DepotNS-Raubgut";2016-02-05;"Universitätsbibliothek Gießen
Otto-Behagel-Str. 8
35394 Gießen
+49 (0)641 99-14032
+49 (0)641 99-14039
auskunft@bibsys.uni-giessen.de
http://www.ub.uni-giessen.de
Dr. Olaf Schneider (Bibliotheksoberrat)
+49 (0)641/99-14052
Olaf.Schneider@bibsys.uni-giessen.de";https://www.lostart.de/de/Fund/532376;
Suchmeldung;Einzelobjekt;260787;"/Schiller [Autor:in]
W. H. Schramm, Tübingen [Drucker:in]
J. G. Cottaischen Buchhandlung [Verlag]";"Musen=Almanach fürs Jahr 1797.";;Bibliotheksgut;"Hirzel A 215";"Dritte Auflage; 2, 302, 8 S.; Größe: 8°; kart., 1 Titelkupfer";;2002-06-28;"Universitätsbibliothek
'Bibliotheca Albertina'
Leipzig
Beethovenstr. 6
04107 Leipzig
+49 (0)341 97 30500
(0341) 9730596
http://www.ub.uni-leipzig.de
Dr. Anne Lipp (Direktorin)
+49 (0)341 9730501
lipp@ub.uni-leipzig.de";https://www.lostart.de/de/Verlust/260787;
Suchmeldung;Einzelobjekt;417074;;"Akten der Drechseler";;"Urkunde / Faksimile";;"Behelfs-Inventarnummer: 1885";"Die Sammlung umfasste 1931 ca. 2000 Objekte. In den Kriegswirren 1945 ging diese, eingelagert in Kisten, zum großen Teil verloren.";2009-12-15;"Torgauer Geschichtsverein e.V.
Herr Dr. Jürgen Herzog
Wintergrüne 5
04860 Torgau
03421-70337 27 o. 03421-70336
03421-70337 24
http://www.museum-torgau.de
Kathrin Niese  (Museologin Stadt- und Kulturgeschichtliches Museum Torgau)
info@museum-torgau.de";https://www.lostart.de/de/Verlust/417074;
Suchmeldung;Einzelobjekt;252095;;"Ludwig v. d. Asseburg belehnt die Alemann mit 1 Hof und 3 Hufen in Dalchow, 6 1/4 Hufe in Kammersdorf, Zehnten zu Welsleben usw.";"1654.03.03. [Dokumentdatum]
1411-1885 [Zeitraum]";"Urkunde / Faksimile";"Rep.15  I.v.1";"Urkundevon der Familie        von Asseburg";;2002-04-17;"Mittagstraße 16
39124 Magdeburg
+49 (0) 391 540 2515
+49 (0) 391 540 2141
archiv@magdeburg.de
http://www.magdeburg.de/stadtarchiv
Dr. Maren Ballerstedt (Fachdienstleiterin)
+49 (0) 391 5 40 25 15
archiv@magdeburg.de";https://www.lostart.de/de/Verlust/252095;
Suchmeldung;Einzelobjekt;306852;"Unbekannt (Englisch) [Künstler:in]";"Terzerol mit Steinschloß";"1801/1815 [Datierung]";"Waffen / Zubehör";307;"Doppel Bronzeläufe, Schäftung mit Messing eingelegt (lineare Ornamente)";"Wien/ Verlust 1938";2005-03-04;;https://www.lostart.de/de/Verlust/306852;"Scheurer, Inventar der Waffensammlung Leopold Freiherr Popper von Podhragy, o.O. (Wien - ?) 1931 (?) Inventarnummer entspricht der Verzeichnisnummer bei Scheurer"
Suchmeldung;Einzelobjekt;86454;"Nelkenbrecher, J. C. [Autor:in]";"Taschenbuch der Münz- Maass- und Gewichtskunde";"1805 [Erscheinungsdatum]";Buch;7677;;;2001-08-08;"Stiftung Stadtmuseum Berlin
10178 Berlin
(030) 24002150
(030) 24002187
info@stadtmuseum.de
http://www.stadtmuseum.de
Lukas Seidel
+49 (0) 353 059-820
fotothek@stadtmusuem.de";https://www.lostart.de/de/Verlust/86454;
Suchmeldung;Einzelobjekt;444917;"Karl Wilhelm von Dieskau (1701-1777) / Carl Ludwig von Lüderitz (1715-1778) [Verfasser:in]";"Exerzier-Reglement für die Königlich preußische Artillerie";"1771/1773 [Dokumentdatum]";Archivgut;"Ms 62";;"Dieses Objekt befand sich 1885 bereits im Zeughaus";2011-09-14;"Stiftung Deutsches Historisches Museum
Unter den Linden 2
10117 Berlin
+49 (0) 30 203 040 
+49 (0) 30 20304543
info@dhm.de
http://www.dhm.de/
Dr. Brigitte Reineke (Leiterin Zentrale Dokumentation und Provenienzforschung)
+49 (0) 30 203 04406
reineke@dhm.de
Fritz Backhaus (Direktor Sammlungen)
+49 (0) 30 203 04200
backhaus@dhm.de
Prof. Dr. Raphael Gross (Präsident)
+49 (0) 30 203 04101
praesident@dhm.de";https://www.lostart.de/de/Verlust/444917;
